symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,exit_reason,holding_period_bars
SUNPHARMA,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-04-24,VAL,NEUTRAL,1616.16,1589.33,1669.84,2.0,T1_HIT,1
SUNPHARMA,SHORT_COVERING_CHAMPION_V1,2026-04-24,VAL,NEUTRAL,1616.16,1589.33,1669.84,2.0,T1_HIT,1
SUNPHARMA,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-05-29,VAL,BULL,1794.5,1762.14,1859.22,-1.0,SL_HIT,2
SUNPHARMA,SHORT_COVERING_CHAMPION_V1,2026-05-29,VAL,BULL,1794.5,1762.14,1859.22,-1.0,SL_HIT,2
INFY,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-02-13,VAL,BEAR,1340.1,1231.62,1557.06,-1.0,SL_HIT,18
INFY,SHORT_COVERING_CHAMPION_V1,2026-02-13,VAL,BEAR,1340.1,1231.62,1557.06,-1.0,SL_HIT,18
INFY,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-04-24,VAL,BEAR,1130.14,1111.62,1167.2,2.0,T1_HIT,6
INFY,SHORT_COVERING_CHAMPION_V1,2026-04-24,VAL,BEAR,1130.14,1111.62,1167.2,2.0,T1_HIT,6
INFY,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-06-19,HOLDOUT,BEAR,1051.4,1016.9,1120.4,-1.0,SL_HIT,7
INFY,SHORT_COVERING_CHAMPION_V1,2026-06-19,HOLDOUT,BEAR,1051.4,1016.9,1120.4,-1.0,SL_HIT,7
HEROMOTOCO,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2025-11-04,DEV,BULL,5207.5,5097.1,5428.3,2.0,T1_HIT,5
HEROMOTOCO,SHORT_COVERING_CHAMPION_V1,2025-11-04,DEV,BULL,5207.5,5097.1,5428.3,2.0,T1_HIT,5
FIRSTCRY,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2025-11-14,DEV,BEAR,335.55,325.38,355.89,-1.0,SL_HIT,2
FIRSTCRY,SHORT_COVERING_CHAMPION_V1,2025-11-14,DEV,BEAR,335.55,325.38,355.89,-1.0,SL_HIT,2
FIRSTCRY,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-02-17,VAL,BEAR,229.9,222.29,245.13,-1.0,SL_HIT,1
FIRSTCRY,SHORT_COVERING_CHAMPION_V1,2026-02-17,VAL,BEAR,229.9,222.29,245.13,-1.0,SL_HIT,1
FIRSTCRY,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-05-12,VAL,BEAR,235.48,219.26,267.92,-1.0,SL_HIT,4
FIRSTCRY,SHORT_COVERING_CHAMPION_V1,2026-05-12,VAL,BEAR,235.48,219.26,267.92,-1.0,SL_HIT,4
FIRSTCRY,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-05-19,VAL,BEAR,221.4,214.85,234.51,2.0,T1_HIT,2
FIRSTCRY,SHORT_COVERING_CHAMPION_V1,2026-05-19,VAL,BEAR,221.4,214.85,234.51,2.0,T1_HIT,2
GARFIBRES,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-01-16,VAL,BEAR,629.9,615.32,659.06,-1.0,SL_HIT,1
GARFIBRES,SHORT_COVERING_CHAMPION_V1,2026-01-16,VAL,BEAR,629.9,615.32,659.06,-1.0,SL_HIT,1
HAL,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-05-29,VAL,NEUTRAL,4303.8,4193.01,4525.38,-1.0,SL_HIT,2
HAL,SHORT_COVERING_CHAMPION_V1,2026-05-29,VAL,NEUTRAL,4303.8,4193.01,4525.38,-1.0,SL_HIT,2
GENUSPOWER,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-01-14,VAL,BEAR,275.55,264.42,297.81,-1.0,SL_HIT,4
GENUSPOWER,SHORT_COVERING_CHAMPION_V1,2026-01-14,VAL,BEAR,275.55,264.42,297.81,-1.0,SL_HIT,4
GENUSPOWER,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-02-05,VAL,BEAR,248.98,225.88,295.18,0.369,HORIZON_REACHED,20
GENUSPOWER,SHORT_COVERING_CHAMPION_V1,2026-02-05,VAL,BEAR,248.98,225.88,295.18,0.369,HORIZON_REACHED,20
GENUSPOWER,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-03-30,VAL,BEAR,214.9,205.18,234.34,2.0,T1_HIT,1
