DATE,SYMBOL,EOD_SCORE,5M_DATA_STATUS,FIRST_FAILED_GATE,FINAL_STATUS,MAX_5M_SCORE
2026-09-03,POONAWALLA,100.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,ABCAPITAL,90.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,ACC,90.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,ASHOKLEY,90.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,BANDHANBNK,90.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,CUMMINSIND,90.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,HDFCBANK,90.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,JIOFIN,90.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,MARUTI,90.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,NATIONALUM,90.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,NTPC,90.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,TVSMOTOR,90.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,ABFRL,80.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,BAJFINANCE,80.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,DABUR,80.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,HEROMOTOCO,80.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,HINDUNILVR,80.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,INDUSINDBK,80.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,ITC,80.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,MARICO,80.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,PFC,80.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,SHRIRAMFIN,80.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,HAVELLS,75.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,UPL,75.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,ABBOTINDIA,70.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,ADANIENT,70.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,ALKEM,70.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,ASTRAL,70.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,ATUL,70.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
2026-09-03,BHARATFORG,70.0,INSUFFICIENT,DATA_INSUFFICIENT,NO_ALERT,0.0
