setup_id,regime,alerts,win_rate,expectancy_r,total_r,profit_factor
SETUP_1_BASELINE,BULL,2989,73.13,1.6051,4797.543,7.142
SETUP_1_BASELINE,BEAR,1715,74.46,1.645,2821.148,7.619
SETUP_1_BASELINE,NEUTRAL,2171,73.1,1.5884,3448.474,7.082
SETUP_2_IGNITION_VELOCITY,BULL,1386,82.32,2.2227,3080.725,13.574
SETUP_2_IGNITION_VELOCITY,BEAR,771,85.6,2.4651,1900.63,18.123
SETUP_2_IGNITION_VELOCITY,NEUTRAL,984,83.94,2.3368,2299.37,15.553
SETUP_3_TRAPPED_SHORT_PDH,BULL,805,100.0,2.9099,2342.437,99.0
SETUP_3_TRAPPED_SHORT_PDH,BEAR,460,100.0,3.0259,1391.908,99.0
SETUP_3_TRAPPED_SHORT_PDH,NEUTRAL,613,100.0,3.036,1861.083,99.0
SETUP_4_OPENING_RANGE_SQUEEZE,BULL,915,100.0,2.2018,2014.645,99.0
SETUP_4_OPENING_RANGE_SQUEEZE,BEAR,510,100.0,2.2754,1160.429,99.0
SETUP_4_OPENING_RANGE_SQUEEZE,NEUTRAL,672,100.0,2.248,1510.635,99.0
SETUP_5_COMPOSITE_APEX,BULL,80,100.0,5.923,473.836,99.0
SETUP_5_COMPOSITE_APEX,BEAR,56,100.0,6.0752,340.214,99.0
SETUP_5_COMPOSITE_APEX,NEUTRAL,59,100.0,5.9083,348.587,99.0
