symbol,variant_id,date,partition,regime,entry_price,stop_loss,target_price,risk,target_r,r_multiple,outcome_type,bars_held
360ONE,SC_ABL_4_NO_CPOS_FILTER,2025-09-24,DEV,BEAR,1046.4263836666287,1017.83,1117.92,28.6,2.5,-1.0,SL_HIT,3
360ONE,SC_ABL_4_NO_CPOS_FILTER,2025-10-09,DEV,BEAR,997.6433218689201,977.86,1047.1,19.78,2.5,-1.0,SL_HIT,1
360ONE,SC_ABL_3_NO_VOL_SURGE,2025-10-28,DEV,BEAR,955.7079941448114,923.51,1036.2,32.2,2.5,2.1669,EXPIRED_POS,20
360ONE,SC_ABL_4_NO_CPOS_FILTER,2026-02-03,VAL,BEAR,1111.570773303867,1082.66,1183.85,28.91,2.5,-1.0,SL_HIT,15
360ONE,SC_ABL_4_NO_CPOS_FILTER,2026-06-02,HOLDOUT,BEAR,905.2659344912369,887.1,950.68,18.17,2.5,-1.0,SL_HIT,14
360ONE,SC_ABL_4_NO_CPOS_FILTER,2026-07-07,HOLDOUT,BEAR,879.654075463816,861.24,925.69,18.41,2.5,-1.0,SL_HIT,2
360ONE,SC_ABL_1_NO_RECLAIM_FILTER,2026-07-13,HOLDOUT,BEAR,860.640958607543,844.77,900.32,15.87,2.5,2.5,TARGET_HIT,6
3MINDIA,SC_ABL_5_FIXED_ATR_STOP,2025-12-02,DEV,NEUTRAL,1491.1446655574248,1461.97,1564.08,29.17,2.5,2.5,TARGET_HIT,3
3MINDIA,SC_ABL_1_NO_RECLAIM_FILTER,2026-06-26,HOLDOUT,NEUTRAL,1919.3974401195926,1883.92,2008.09,35.48,2.5,-1.0,SL_HIT,1
3MINDIA,SC_ABL_1_NO_RECLAIM_FILTER,2026-08-13,HOLDOUT,NEUTRAL,1933.335655930892,1890.05,2041.55,43.29,2.5,2.5,TARGET_HIT,4
AADHARHFC,SC_V56_BALANCED_A_15D_16X,2025-12-01,DEV,BEAR,484.79998779296875,477.1,504.05,7.7,2.5,-1.0,SL_HIT,12
AADHARHFC,SC_V56_BALANCED_B_10D_FAST,2025-12-01,DEV,BEAR,484.79998779296875,477.1,504.05,7.7,2.5,-1.0,SL_HIT,12
AADHARHFC,SC_V56_BALANCED_C_BEAR_ONLY,2025-12-01,DEV,BEAR,484.79998779296875,477.1,504.05,7.7,2.5,-1.0,SL_HIT,12
AADHARHFC,SC_V56_BALANCED_D_MULTI_REG,2025-12-01,DEV,BEAR,484.79998779296875,477.1,504.05,7.7,2.5,-1.0,SL_HIT,12
AADHARHFC,SC_ABL_1_NO_RECLAIM_FILTER,2025-12-01,DEV,BEAR,484.79998779296875,477.1,504.05,7.7,2.5,-1.0,SL_HIT,12
AADHARHFC,SC_ABL_2_NO_RSI_FILTER,2025-12-01,DEV,BEAR,484.79998779296875,477.1,504.05,7.7,2.5,-1.0,SL_HIT,12
AADHARHFC,SC_ABL_3_NO_VOL_SURGE,2025-12-01,DEV,BEAR,484.79998779296875,477.1,504.05,7.7,2.5,-1.0,SL_HIT,12
AADHARHFC,SC_ABL_4_NO_CPOS_FILTER,2025-12-01,DEV,BEAR,484.79998779296875,477.1,504.05,7.7,2.5,-1.0,SL_HIT,12
AADHARHFC,SC_ABL_5_FIXED_ATR_STOP,2025-12-01,DEV,BEAR,484.79998779296875,471.43,518.22,13.37,2.5,-0.3628,EXPIRED_NEG,20
AADHARHFC,SC_ABL_6_TARGET_30R,2025-12-01,DEV,BEAR,484.79998779296875,477.1,507.9,7.7,3.0,-1.0,SL_HIT,12
AADHARHFC,SC_ABL_4_NO_CPOS_FILTER,2025-12-02,DEV,BEAR,485.04998779296875,477.1,504.92,7.95,2.5,-1.0,SL_HIT,11
AADHARHFC,SC_ABL_3_NO_VOL_SURGE,2026-01-27,VAL,BEAR,474.54998779296875,463.77,501.5,10.78,2.5,-1.0,SL_HIT,14
AADHARHFC,SC_ABL_3_NO_VOL_SURGE,2026-01-28,VAL,BEAR,475.54998779296875,463.77,505.0,11.78,2.5,-1.0,SL_HIT,13
AADHARHFC,SC_V56_PRECISION_B_20X_VOL,2026-02-25,VAL,BEAR,457.25,432.03,520.3,25.22,2.5,-1.0,SL_HIT,3
AADHARHFC,SC_V56_PRECISION_C_TIGHT_SL,2026-02-25,VAL,BEAR,457.25,432.03,520.3,25.22,2.5,-1.0,SL_HIT,3
AADHARHFC,SC_V56_BALANCED_A_15D_16X,2026-02-25,VAL,BEAR,457.25,432.03,520.3,25.22,2.5,-1.0,SL_HIT,3
AADHARHFC,SC_V56_BALANCED_B_10D_FAST,2026-02-25,VAL,BEAR,457.25,432.03,520.3,25.22,2.5,-1.0,SL_HIT,3
AADHARHFC,SC_V56_BALANCED_C_BEAR_ONLY,2026-02-25,VAL,BEAR,457.25,432.03,520.3,25.22,2.5,-1.0,SL_HIT,3
AADHARHFC,SC_V56_BALANCED_D_MULTI_REG,2026-02-25,VAL,BEAR,457.25,432.03,520.3,25.22,2.5,-1.0,SL_HIT,3
AADHARHFC,SC_ABL_1_NO_RECLAIM_FILTER,2026-02-25,VAL,BEAR,457.25,432.03,520.3,25.22,2.5,-1.0,SL_HIT,3
AADHARHFC,SC_ABL_2_NO_RSI_FILTER,2026-02-25,VAL,BEAR,457.25,432.03,520.3,25.22,2.5,-1.0,SL_HIT,3
AADHARHFC,SC_ABL_3_NO_VOL_SURGE,2026-02-25,VAL,BEAR,457.25,432.03,520.3,25.22,2.5,-1.0,SL_HIT,3
AADHARHFC,SC_ABL_4_NO_CPOS_FILTER,2026-02-25,VAL,BEAR,457.25,432.03,520.3,25.22,2.5,-1.0,SL_HIT,3
AADHARHFC,SC_ABL_5_FIXED_ATR_STOP,2026-02-25,VAL,BEAR,457.25,438.47,504.2,18.78,2.5,-1.0,SL_HIT,3
AADHARHFC,SC_ABL_6_TARGET_30R,2026-02-25,VAL,BEAR,457.25,432.03,532.91,25.22,3.0,-1.0,SL_HIT,3
AADHARHFC,SC_V56_BALANCED_A_15D_16X,2026-03-04,VAL,BEAR,453.1000061035156,428.0,515.85,25.1,2.5,0.0259,EXPIRED_POS,20
AADHARHFC,SC_V56_BALANCED_B_10D_FAST,2026-03-04,VAL,BEAR,453.1000061035156,428.0,515.85,25.1,2.5,0.0259,EXPIRED_POS,20
AADHARHFC,SC_V56_BALANCED_C_BEAR_ONLY,2026-03-04,VAL,BEAR,453.1000061035156,428.0,515.85,25.1,2.5,0.0259,EXPIRED_POS,20
AADHARHFC,SC_V56_BALANCED_D_MULTI_REG,2026-03-04,VAL,BEAR,453.1000061035156,428.0,515.85,25.1,2.5,0.0259,EXPIRED_POS,20
AADHARHFC,SC_ABL_1_NO_RECLAIM_FILTER,2026-03-04,VAL,BEAR,453.1000061035156,428.0,515.85,25.1,2.5,0.0259,EXPIRED_POS,20
AADHARHFC,SC_ABL_2_NO_RSI_FILTER,2026-03-04,VAL,BEAR,453.1000061035156,428.0,515.85,25.1,2.5,0.0259,EXPIRED_POS,20
AADHARHFC,SC_ABL_3_NO_VOL_SURGE,2026-03-04,VAL,BEAR,453.1000061035156,428.0,515.85,25.1,2.5,0.0259,EXPIRED_POS,20
AADHARHFC,SC_ABL_4_NO_CPOS_FILTER,2026-03-04,VAL,BEAR,453.1000061035156,428.0,515.85,25.1,2.5,0.0259,EXPIRED_POS,20
AADHARHFC,SC_ABL_5_FIXED_ATR_STOP,2026-03-04,VAL,BEAR,453.1000061035156,426.88,518.65,26.22,2.5,0.0248,EXPIRED_POS,20
AADHARHFC,SC_ABL_6_TARGET_30R,2026-03-04,VAL,BEAR,453.1000061035156,428.0,528.4,25.1,3.0,0.0259,EXPIRED_POS,20
AADHARHFC,SC_ABL_1_NO_RECLAIM_FILTER,2026-06-02,HOLDOUT,BEAR,465.1499938964844,448.74,506.17,16.41,2.5,2.5,TARGET_HIT,13
AARTIDRUGS,SC_V56_BALANCED_B_10D_FAST,2025-10-29,DEV,BEAR,491.3131408691406,473.07,536.92,18.24,2.5,-1.0,SL_HIT,8
AARTIDRUGS,SC_ABL_4_NO_CPOS_FILTER,2026-01-27,VAL,BEAR,366.0354919433594,358.51,384.85,7.53,2.5,2.5,TARGET_HIT,1
AARTIDRUGS,SC_ABL_3_NO_VOL_SURGE,2026-01-28,VAL,BEAR,382.6463623046875,358.51,442.99,24.14,2.5,-1.0,SL_HIT,5
AARTIDRUGS,SC_ABL_1_NO_RECLAIM_FILTER,2026-02-04,VAL,BEAR,368.9200134277344,352.63,409.65,16.29,2.5,-1.0,SL_HIT,18
AARTIDRUGS,SC_ABL_3_NO_VOL_SURGE,2026-02-05,VAL,BEAR,372.8986511230469,352.63,423.57,20.27,2.5,-1.0,SL_HIT,17
AARTIDRUGS,SC_ABL_3_NO_VOL_SURGE,2026-03-04,VAL,BEAR,360.45001220703125,347.8,392.08,12.65,2.5,-1.0,SL_HIT,3
AARTIDRUGS,SC_V56_PRECISION_A_25X_VOL,2026-03-10,VAL,BEAR,353.45001220703125,342.83,380.0,10.62,2.5,-1.0,SL_HIT,4
AARTIDRUGS,SC_V56_PRECISION_B_20X_VOL,2026-03-10,VAL,BEAR,353.45001220703125,342.83,380.0,10.62,2.5,-1.0,SL_HIT,4
AARTIDRUGS,SC_V56_BALANCED_A_15D_16X,2026-03-10,VAL,BEAR,353.45001220703125,342.83,380.0,10.62,2.5,-1.0,SL_HIT,4
AARTIDRUGS,SC_V56_BALANCED_B_10D_FAST,2026-03-10,VAL,BEAR,353.45001220703125,342.83,380.0,10.62,2.5,-1.0,SL_HIT,4
AARTIDRUGS,SC_V56_BALANCED_C_BEAR_ONLY,2026-03-10,VAL,BEAR,353.45001220703125,342.83,380.0,10.62,2.5,-1.0,SL_HIT,4
AARTIDRUGS,SC_V56_BALANCED_D_MULTI_REG,2026-03-10,VAL,BEAR,353.45001220703125,342.83,380.0,10.62,2.5,-1.0,SL_HIT,4
AARTIDRUGS,SC_ABL_1_NO_RECLAIM_FILTER,2026-03-10,VAL,BEAR,353.45001220703125,342.83,380.0,10.62,2.5,-1.0,SL_HIT,4
AARTIDRUGS,SC_ABL_2_NO_RSI_FILTER,2026-03-10,VAL,BEAR,353.45001220703125,342.83,380.0,10.62,2.5,-1.0,SL_HIT,4
AARTIDRUGS,SC_ABL_3_NO_VOL_SURGE,2026-03-10,VAL,BEAR,353.45001220703125,342.83,380.0,10.62,2.5,-1.0,SL_HIT,4
AARTIDRUGS,SC_ABL_4_NO_CPOS_FILTER,2026-03-10,VAL,BEAR,353.45001220703125,342.83,380.0,10.62,2.5,-1.0,SL_HIT,4
AARTIDRUGS,SC_ABL_5_FIXED_ATR_STOP,2026-03-10,VAL,BEAR,353.45001220703125,341.13,384.25,12.32,2.5,-1.0,SL_HIT,4
AARTIDRUGS,SC_ABL_6_TARGET_30R,2026-03-10,VAL,BEAR,353.45001220703125,342.83,385.31,10.62,3.0,-1.0,SL_HIT,4
AARTIDRUGS,SC_ABL_4_NO_CPOS_FILTER,2026-03-19,VAL,BEAR,337.6000061035156,331.19,353.63,6.41,2.5,-1.0,SL_HIT,2
AARTIPHARM,SC_ABL_1_NO_RECLAIM_FILTER,2025-11-19,DEV,BEAR,706.8018798828125,684.65,762.18,22.15,2.5,-1.0,SL_HIT,3
AARTIPHARM,SC_ABL_4_NO_CPOS_FILTER,2025-11-26,DEV,BEAR,708.9473876953125,667.92,811.52,41.03,2.5,1.2003,EXPIRED_POS,20
AARTIPHARM,SC_ABL_4_NO_CPOS_FILTER,2026-03-25,VAL,BEAR,639.0,610.93,709.18,28.07,2.5,-1.0,SL_HIT,1
AARTIPHARM,SC_ABL_3_NO_VOL_SURGE,2026-06-04,HOLDOUT,BEAR,643.75,601.98,748.18,41.77,2.5,1.2796,EXPIRED_POS,20
AAVAS,SC_ABL_2_NO_RSI_FILTER,2025-11-10,DEV,NEUTRAL,1654.0,1554.59,1902.52,99.41,2.5,-1.0,SL_HIT,14
AAVAS,SC_ABL_1_NO_RECLAIM_FILTER,2025-12-05,DEV,BEAR,1497.0999755859375,1442.75,1632.97,54.35,2.5,-1.0,SL_HIT,10
AAVAS,SC_ABL_4_NO_CPOS_FILTER,2026-01-14,VAL,BEAR,1443.5999755859375,1407.92,1532.8,35.68,2.5,-1.0,SL_HIT,3
AAVAS,SC_ABL_3_NO_VOL_SURGE,2026-02-25,VAL,BEAR,1285.9000244140625,1240.77,1398.73,45.13,2.5,-1.0,SL_HIT,3
AAVAS,SC_ABL_4_NO_CPOS_FILTER,2026-03-06,VAL,BEAR,1227.9000244140625,1198.88,1300.45,29.02,2.5,-1.0,SL_HIT,1
AAVAS,SC_ABL_3_NO_VOL_SURGE,2026-03-10,VAL,BEAR,1220.0999755859375,1146.34,1404.5,73.76,2.5,-1.0,SL_HIT,3
AAVAS,SC_ABL_1_NO_RECLAIM_FILTER,2026-03-18,VAL,BEAR,1123.699951171875,1090.52,1206.65,33.18,2.5,-1.0,SL_HIT,1
AAVAS,SC_ABL_2_NO_RSI_FILTER,2026-05-22,VAL,NEUTRAL,1396.9000244140625,1312.8,1607.15,84.1,2.5,-1.0,SL_HIT,6
AAVAS,SC_ABL_3_NO_VOL_SURGE,2026-06-10,HOLDOUT,BEAR,1299.5999755859375,1241.36,1445.2,58.24,2.5,2.5,TARGET_HIT,5
AAVAS,SC_ABL_4_NO_CPOS_FILTER,2026-06-11,HOLDOUT,BEAR,1328.199951171875,1241.36,1545.3,86.84,2.5,2.0394,EXPIRED_POS,20
AAVAS,SC_ABL_1_NO_RECLAIM_FILTER,2026-08-10,HOLDOUT,BEAR,1404.0,1347.33,1545.68,56.67,2.5,-1.0,SL_HIT,10
ABB,SC_V56_BALANCED_B_10D_FAST,2026-01-09,VAL,BEAR,5072.2548828125,4938.38,5406.94,133.87,2.5,-1.0,SL_HIT,1
ABB,SC_ABL_2_NO_RSI_FILTER,2026-01-09,VAL,BEAR,5072.2548828125,4938.38,5406.94,133.87,2.5,-1.0,SL_HIT,1
ABB,SC_ABL_1_NO_RECLAIM_FILTER,2026-05-12,VAL,NEUTRAL,6328.5,6140.64,6798.15,187.86,2.5,2.5,TARGET_HIT,9
ABBOTINDIA,SC_ABL_4_NO_CPOS_FILTER,2025-11-06,DEV,BEAR,29455.0,28641.08,31489.8,813.92,2.5,-1.0,SL_HIT,6
ABBOTINDIA,SC_ABL_1_NO_RECLAIM_FILTER,2025-12-08,DEV,BEAR,28725.0,28267.95,29867.62,457.05,2.5,-1.0,SL_HIT,1
ABBOTINDIA,SC_V56_BALANCED_B_10D_FAST,2026-01-30,VAL,BEAR,27565.0,26297.85,30732.88,1267.15,2.5,-1.0,SL_HIT,11
ABBOTINDIA,SC_ABL_2_NO_RSI_FILTER,2026-01-30,VAL,BEAR,27565.0,26297.85,30732.88,1267.15,2.5,-1.0,SL_HIT,11
ABBOTINDIA,SC_ABL_3_NO_VOL_SURGE,2026-02-02,VAL,BEAR,27325.0,26297.85,29892.88,1027.15,2.5,-1.0,SL_HIT,10
ABBOTINDIA,SC_ABL_4_NO_CPOS_FILTER,2026-02-03,VAL,BEAR,26880.0,26297.85,28335.38,582.15,2.5,-1.0,SL_HIT,9
ABBOTINDIA,SC_ABL_3_NO_VOL_SURGE,2026-02-17,VAL,BEAR,26620.0,26078.95,27972.62,541.05,2.5,-1.0,SL_HIT,8
ABBOTINDIA,SC_ABL_3_NO_VOL_SURGE,2026-02-27,VAL,BEAR,26530.0,25944.62,27993.45,585.38,2.5,2.5,TARGET_HIT,3
ABBOTINDIA,SC_V56_BALANCED_A_15D_16X,2026-03-02,VAL,BEAR,26805.0,25870.0,29142.5,935.0,2.5,-1.0,SL_HIT,14
ABBOTINDIA,SC_V56_BALANCED_B_10D_FAST,2026-03-02,VAL,BEAR,26805.0,25870.0,29142.5,935.0,2.5,-1.0,SL_HIT,14
ABBOTINDIA,SC_V56_BALANCED_C_BEAR_ONLY,2026-03-02,VAL,BEAR,26805.0,25870.0,29142.5,935.0,2.5,-1.0,SL_HIT,14
ABBOTINDIA,SC_V56_BALANCED_D_MULTI_REG,2026-03-02,VAL,BEAR,26805.0,25870.0,29142.5,935.0,2.5,-1.0,SL_HIT,14
ABBOTINDIA,SC_ABL_1_NO_RECLAIM_FILTER,2026-03-02,VAL,BEAR,26805.0,25870.0,29142.5,935.0,2.5,-1.0,SL_HIT,14
ABBOTINDIA,SC_ABL_2_NO_RSI_FILTER,2026-03-02,VAL,BEAR,26805.0,25870.0,29142.5,935.0,2.5,-1.0,SL_HIT,14
ABBOTINDIA,SC_ABL_3_NO_VOL_SURGE,2026-03-02,VAL,BEAR,26805.0,25870.0,29142.5,935.0,2.5,-1.0,SL_HIT,14
ABBOTINDIA,SC_ABL_4_NO_CPOS_FILTER,2026-03-02,VAL,BEAR,26805.0,25870.0,29142.5,935.0,2.5,-1.0,SL_HIT,14
ABBOTINDIA,SC_ABL_5_FIXED_ATR_STOP,2026-03-02,VAL,BEAR,26805.0,26120.36,28516.6,684.64,2.5,-1.0,SL_HIT,12
ABBOTINDIA,SC_ABL_6_TARGET_30R,2026-03-02,VAL,BEAR,26805.0,25870.0,29610.0,935.0,3.0,-1.0,SL_HIT,14
ABBOTINDIA,SC_ABL_2_NO_RSI_FILTER,2026-03-04,VAL,NEUTRAL,27825.0,25870.0,32712.5,1955.0,2.5,-1.0,SL_HIT,13
ABBOTINDIA,SC_ABL_3_NO_VOL_SURGE,2026-03-24,VAL,BEAR,26800.0,25223.25,30741.88,1576.75,2.5,-1.0,SL_HIT,19
ABBOTINDIA,SC_ABL_4_NO_CPOS_FILTER,2026-04-27,VAL,BEAR,25425.0,25024.25,26426.88,400.75,2.5,2.5,TARGET_HIT,7
ABBOTINDIA,SC_ABL_3_NO_VOL_SURGE,2026-06-09,HOLDOUT,BEAR,26105.0,25541.65,27513.37,563.35,2.5,-1.0,SL_HIT,10
ABBOTINDIA,SC_ABL_3_NO_VOL_SURGE,2026-06-10,HOLDOUT,NEUTRAL,26455.0,25541.65,28738.37,913.35,2.5,-1.0,SL_HIT,9
ABBOTINDIA,SC_ABL_4_NO_CPOS_FILTER,2026-07-01,HOLDOUT,BEAR,25550.0,25074.0,26740.0,476.0,2.5,2.5,TARGET_HIT,3
ABCAPITAL,SC_ABL_1_NO_RECLAIM_FILTER,2025-08-18,DEV,BEAR,283.1499938964844,273.62,306.97,9.53,2.5,2.5,TARGET_HIT,1
