symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,exit_reason,holding_period_bars
SUNPHARMA,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-03-09,VAL,BULL,1802.68,1754.78,1898.47,-1.0,SL_HIT,8
SUNPHARMA,TECHNICAL_CHAMPION_V1,2026-03-09,VAL,BULL,1802.68,1754.78,1898.47,-1.0,SL_HIT,8
AUROPHARMA,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-08-15,DEV,BULL,1067.76,1057.88,1087.52,2.0,T1_HIT,1
AUROPHARMA,TECHNICAL_CHAMPION_V1,2025-08-15,DEV,BULL,1067.76,1057.88,1087.52,2.0,T1_HIT,1
AUROPHARMA,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-10-09,DEV,BULL,1119.9,1095.17,1169.36,-1.0,SL_HIT,1
AUROPHARMA,TECHNICAL_CHAMPION_V1,2025-10-09,DEV,BULL,1119.9,1095.17,1169.36,-1.0,SL_HIT,1
TEGA,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-11-07,DEV,BULL,862.34,852.76,881.5,-1.0,SL_HIT,1
TEGA,TECHNICAL_CHAMPION_V1,2025-11-07,DEV,BULL,862.34,852.76,881.5,-1.0,SL_HIT,1
RADICO,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-10-20,DEV,BULL,3254.7,3146.96,3470.19,-1.0,SL_HIT,6
RADICO,TECHNICAL_CHAMPION_V1,2025-10-20,DEV,BULL,3254.7,3146.96,3470.19,-1.0,SL_HIT,6
RADICO,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-04-20,VAL,BULL,3340.1,3174.62,3671.06,-1.0,SL_HIT,1
RADICO,TECHNICAL_CHAMPION_V1,2026-04-20,VAL,BULL,3340.1,3174.62,3671.06,-1.0,SL_HIT,1
RADICO,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-06-29,HOLDOUT,BULL,3876.9,3761.76,4107.17,2.0,T1_HIT,5
RADICO,TECHNICAL_CHAMPION_V1,2026-06-29,HOLDOUT,BULL,3876.9,3761.76,4107.17,2.0,T1_HIT,5
RADICO,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-07-06,HOLDOUT,BULL,4106.7,3961.49,4397.12,2.0,T1_HIT,17
RADICO,TECHNICAL_CHAMPION_V1,2026-07-06,HOLDOUT,BULL,4106.7,3961.49,4397.12,2.0,T1_HIT,17
QUESS,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-01-07,VAL,BEAR,211.11,201.98,229.38,-1.0,SL_HIT,3
QUESS,TECHNICAL_CHAMPION_V1,2026-01-07,VAL,BEAR,211.11,201.98,229.38,-1.0,SL_HIT,3
NTPCGREEN,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-04-13,VAL,BULL,104.23,98.53,115.64,2.0,T1_HIT,9
NTPCGREEN,TECHNICAL_CHAMPION_V1,2026-04-13,VAL,BULL,104.23,98.53,115.64,2.0,T1_HIT,9
KALYANKJIL,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-07-10,HOLDOUT,BULL,476.15,448.3,531.84,2.0,T1_HIT,1
KALYANKJIL,TECHNICAL_CHAMPION_V1,2026-07-10,HOLDOUT,BULL,476.15,448.3,531.84,2.0,T1_HIT,1
PRUDENT,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-11-21,DEV,BULL,2247.71,2224.32,2294.47,2.0,T1_HIT,5
PRUDENT,TECHNICAL_CHAMPION_V1,2025-11-21,DEV,BULL,2247.71,2224.32,2294.47,2.0,T1_HIT,5
VMARCIND,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-05-11,VAL,BULL,1133.6,1053.84,1293.12,-1.0,SL_HIT,5
VMARCIND,TECHNICAL_CHAMPION_V1,2026-05-11,VAL,BULL,1133.6,1053.84,1293.12,-1.0,SL_HIT,5
AUBANK,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-10-20,DEV,BULL,865.2,834.84,925.93,2.0,T1_HIT,19
AUBANK,TECHNICAL_CHAMPION_V1,2025-10-20,DEV,BULL,865.2,834.84,925.93,2.0,T1_HIT,19
VIJAYA,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-04-27,VAL,BULL,1112.05,1056.79,1222.58,2.0,T1_HIT,8
VIJAYA,TECHNICAL_CHAMPION_V1,2026-04-27,VAL,BULL,1112.05,1056.79,1222.58,2.0,T1_HIT,8
GOLDIAM,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-11-13,DEV,BULL,387.31,367.43,427.08,-1.0,SL_HIT,2
GOLDIAM,TECHNICAL_CHAMPION_V1,2025-11-13,DEV,BULL,387.31,367.43,427.08,-1.0,SL_HIT,2
LINDEINDIA,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-02-09,VAL,BULL,6292.5,6059.95,6757.61,2.0,T1_HIT,1
LINDEINDIA,TECHNICAL_CHAMPION_V1,2026-02-09,VAL,BULL,6292.5,6059.95,6757.61,2.0,T1_HIT,1
LINDEINDIA,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-03-17,VAL,BULL,7327.0,6930.04,8120.93,-1.0,SL_HIT,4
LINDEINDIA,TECHNICAL_CHAMPION_V1,2026-03-17,VAL,BULL,7327.0,6930.04,8120.93,-1.0,SL_HIT,4
CEMPRO,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-06-26,HOLDOUT,BULL,1172.33,1159.03,1198.94,2.0,T1_HIT,1
CEMPRO,TECHNICAL_CHAMPION_V1,2026-06-26,HOLDOUT,BULL,1172.33,1159.03,1198.94,2.0,T1_HIT,1
RITES,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-08-07,HOLDOUT,BULL,232.84,224.26,250.0,-1.0,SL_HIT,3
RITES,TECHNICAL_CHAMPION_V1,2026-08-07,HOLDOUT,BULL,232.84,224.26,250.0,-1.0,SL_HIT,3
BANCOINDIA,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-11-04,DEV,BULL,801.54,762.03,880.58,-1.0,SL_HIT,1
BANCOINDIA,TECHNICAL_CHAMPION_V1,2025-11-04,DEV,BULL,801.54,762.03,880.58,-1.0,SL_HIT,1
VIYASH,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-11-12,DEV,BULL,238.21,225.9,262.82,-1.0,SL_HIT,2
VIYASH,TECHNICAL_CHAMPION_V1,2025-11-12,DEV,BULL,238.21,225.9,262.82,-1.0,SL_HIT,2
BIRLACORPN,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-12-05,DEV,BULL,2224.1,2197.08,2278.13,-1.0,SL_HIT,1
BIRLACORPN,TECHNICAL_CHAMPION_V1,2025-12-05,DEV,BULL,2224.1,2197.08,2278.13,-1.0,SL_HIT,1
PARAS,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-04-16,VAL,BULL,776.7,728.11,873.88,2.0,T1_HIT,15
PARAS,TECHNICAL_CHAMPION_V1,2026-04-16,VAL,BULL,776.7,728.11,873.88,2.0,T1_HIT,15
PARAS,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-05-07,VAL,BULL,869.5,817.48,973.54,-1.0,SL_HIT,3
PARAS,TECHNICAL_CHAMPION_V1,2026-05-07,VAL,BULL,869.5,817.48,973.54,-1.0,SL_HIT,3
TATACOMM,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-01-30,VAL,BULL,1792.32,1776.53,1823.91,2.0,T1_HIT,2
TATACOMM,TECHNICAL_CHAMPION_V1,2026-01-30,VAL,BULL,1792.32,1776.53,1823.91,2.0,T1_HIT,2
GMMPFAUDLR,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-10-31,DEV,BULL,1521.23,1503.45,1556.79,-1.0,SL_HIT,1
GMMPFAUDLR,TECHNICAL_CHAMPION_V1,2025-10-31,DEV,BULL,1521.23,1503.45,1556.79,-1.0,SL_HIT,1
NEOGEN,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-02-26,VAL,BULL,1450.5,1358.18,1635.14,-1.0,SL_HIT,3
NEOGEN,TECHNICAL_CHAMPION_V1,2026-02-26,VAL,BULL,1450.5,1358.18,1635.14,-1.0,SL_HIT,3
