Pattern,Status,Hard_N,Hard_WR,Hard_PF,Hard_Avg_R,Hard_WR_95_CI,OOS_N,OOS_WR,OOS_PF,OOS_Avg_R,OOS_WR_95_CI,Bull_N,Bull_WR,Bear_N,Bear_WR,Sideways_N,Sideways_WR
ASCENDING_TRIANGLE,FAILED_DATA_INTEGRITY,23,39.1,0.76,-0.14,"[22.2%, 59.2%]",16,37.5,0.88,-0.07,"[18.5%, 61.4%]",23,39.1,0,0.0,0,0.0
BULL_FLAG,FAILED_DATA_INTEGRITY,388,47.7,1.25,0.12,"[42.8%, 52.6%]",302,46.7,1.22,0.11,"[41.1%, 52.3%]",332,48.8,1,100.0,55,40.0
BULL_PENNANT,FAILED_DATA_INTEGRITY,68,30.9,0.69,-0.2,"[21.2%, 42.6%]",51,39.2,1.0,0.0,"[27.0%, 52.9%]",28,28.6,9,44.4,31,29.0
CUP_HANDLE,FAILED_DATA_INTEGRITY,696,45.7,1.21,0.11,"[42.0%, 49.4%]",380,43.7,1.11,0.06,"[38.8%, 48.7%]",587,46.8,9,33.3,100,40.0
DOUBLE_BOTTOM,FAILED_DATA_INTEGRITY,325,40.6,0.93,-0.04,"[35.4%, 46.0%]",239,37.2,0.86,-0.08,"[31.4%, 43.5%]",195,40.5,1,100.0,129,40.3
HIGHER_LOW_REVERSAL,FAILED_DATA_INTEGRITY,174,48.3,1.32,0.15,"[41.0%, 55.7%]",114,50.0,1.44,0.2,"[41.0%, 59.0%]",143,49.0,4,50.0,27,44.4
MULTI_MONTH_BASE_BREAKOUT,FAILED_DATA_INTEGRITY,625,49.0,1.34,0.16,"[45.1%, 52.9%]",359,47.1,1.19,0.1,"[42.0%, 52.2%]",604,49.2,0,0.0,21,42.9
SHAKEOUT_RECLAIM,FAILED_DATA_INTEGRITY,885,39.9,0.93,-0.04,"[36.7%, 43.2%]",711,39.4,0.92,-0.05,"[35.9%, 43.0%]",231,40.3,379,39.6,275,40.0
V_REVERSAL,FAILED_DATA_INTEGRITY,734,44.4,1.06,0.03,"[40.9%, 48.0%]",486,41.6,0.98,-0.01,"[37.3%, 46.0%]",306,45.8,71,56.3,357,40.9
WYCKOFF_SPRING_TYPE_2,FAILED_DATA_INTEGRITY,888,52.7,1.57,0.24,"[49.4%, 56.0%]",535,52.9,1.63,0.27,"[48.7%, 57.1%]",218,39.4,202,69.3,468,51.7
