pattern,status,full_base_n,full_base_wr,full_base_pf,full_base_avg_r,full_hard_n,full_hard_wr,full_hard_pf,full_hard_avg_r,full_hard_net_r,full_hard_mae,full_hard_mfe,full_hard_max_dd,full_hard_max_consec_losses,is_2024_n,is_2024_wr,is_2024_pf,is_2024_avg_r,val_2025_n,val_2025_wr,val_2025_pf,val_2025_avg_r,oos_2026_n,oos_2026_wr,oos_2026_pf,oos_2026_avg_r,oos_2026_wilson_ci,oos_2026_bootstrap_ci,bull_n,bull_wr,bull_pf,bull_avg_r,bear_n,bear_wr,bear_pf,bear_avg_r,side_n,side_wr,side_pf,side_avg_r
HIGH_TIGHT_FLAG,INSUFFICIENT_SAMPLE,16,37.5,0.9,-0.06,10,50.0,1.5,0.25,2.5,2.19,1.75,2.0,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,50.0,1.5,0.25,"(23.7, 76.3)","(-0.5, 1.0)",10,50.0,1.5,0.25,0,0.0,0.0,0.0,0,0.0,0.0,0.0
HIGHER_LOW_REVERSAL,RESEARCH_ONLY,264,47.35,1.26,0.12,168,48.81,1.37,0.16,27.25,0.89,1.0,5.28,5,0,0.0,0.0,0.0,59,45.76,1.13,0.06,109,50.46,1.49,0.22,"(41.2, 59.7)","(-0.01, 0.44)",139,48.92,1.37,0.16,4,50.0,1.5,0.25,25,48.0,1.32,0.15
WYCKOFF_SPRING_TYPE_2,RESEARCH_ONLY,8084,46.39,1.26,0.14,2086,47.89,1.32,0.16,330.17,1.05,4.25,22.33,13,8,25.0,0.55,-0.3,823,46.66,1.24,0.12,1255,48.84,1.39,0.19,"(46.1, 51.6)","(0.12, 0.25)",722,41.83,1.04,0.02,358,60.61,2.25,0.44,1006,47.71,1.32,0.16
BULL_FLAG,RESEARCH_ONLY,4158,47.07,1.32,0.17,1222,46.48,1.26,0.13,164.28,0.93,2.85,17.3,10,2,0.0,0.0,-1.0,360,46.39,1.25,0.13,860,46.63,1.26,0.14,"(43.3, 50.0)","(0.06, 0.22)",1110,46.94,1.28,0.15,1,100.0,1.5,1.5,111,41.44,1.0,0.0
ASCENDING_TRIANGLE,RESEARCH_ONLY,1148,44.77,1.2,0.11,375,44.53,1.2,0.11,41.11,1.25,1.4,21.0,9,3,33.33,0.75,-0.17,115,43.48,1.14,0.08,257,45.14,1.23,0.13,"(39.2, 51.2)","(-0.02, 0.29)",316,44.94,1.22,0.12,0,0.0,0.0,0.0,59,42.37,1.1,0.06
MULTI_MONTH_BASE_BREAKOUT,RESEARCH_ONLY,2086,46.74,1.27,0.14,1162,47.07,1.28,0.14,161.46,1.03,1.16,49.53,18,5,0.0,0.0,-1.0,417,49.4,1.45,0.21,740,46.08,1.21,0.11,"(42.5, 49.7)","(0.02, 0.19)",1115,47.09,1.27,0.14,0,0.0,0.0,0.0,47,46.81,1.44,0.21
PULLBACK_EMA_BOUNCE,RESEARCH_ONLY,5753,44.48,1.2,0.11,2718,44.67,1.21,0.12,314.39,1.05,1.19,28.0,10,6,33.33,0.75,-0.17,1141,45.66,1.26,0.14,1571,43.98,1.18,0.1,"(41.5, 46.5)","(0.04, 0.16)",1581,44.91,1.22,0.12,1,100.0,1.5,1.5,1136,44.28,1.19,0.11
CUP_AND_HANDLE,RESEARCH_ONLY,754,43.37,1.14,0.08,329,43.77,1.16,0.09,29.92,0.96,1.24,14.0,10,5,20.0,0.38,-0.5,52,44.23,1.19,0.11,272,44.12,1.18,0.1,"(38.3, 50.1)","(-0.05, 0.24)",286,44.76,1.21,0.12,0,0.0,0.0,0.0,43,37.21,0.89,-0.07
CUP_HANDLE,RESEARCH_ONLY,1126,46.18,1.25,0.13,671,46.05,1.23,0.12,80.65,1.21,1.19,25.28,18,0,0.0,0.0,0.0,302,48.34,1.36,0.18,369,44.17,1.14,0.07,"(39.2, 49.3)","(-0.04, 0.2)",566,47.0,1.28,0.14,8,37.5,0.9,-0.06,97,41.24,1.03,0.02
INVERSE_HEAD_AND_SHOULDERS,RESEARCH_ONLY,535,43.36,1.15,0.08,170,42.35,1.1,0.06,10.0,0.98,1.16,7.0,6,2,50.0,1.5,0.25,40,42.5,1.11,0.06,128,42.19,1.09,0.05,"(34.0, 50.8)","(-0.16, 0.27)",138,41.3,1.06,0.03,0,0.0,0.0,0.0,32,46.88,1.32,0.17
