symbol,pattern,detector_source,signal_date,year,period,regime,score,entry,stop,target,risk_pct,clv,rvol,upper_wick_pct,pass_rvol_hard,pass_clv_hard,pass_wick_hard,pass_score_hard,pass_hardened,outcome,r_multiple,holding_bars,pnl_pct,mfe,mae,exit_date,exit_price,exit_reason
360ONE,PULLBACK_EMA_BOUNCE,EXTENDED_LIBRARY,2025-03-12,2025,VAL_2025,SIDEWAYS,75.0,1322.76,1306.49,1347.16,1.23,0.92,1.35,0.08,True,True,True,True,True,WIN,1.5,2,1.84,2.5,0.0,2025-03-14,1347.1595214549143,TARGET_1
360ONE,V_REVERSAL,TECHNICAL_SCANNER,2025-09-09,2025,VAL_2025,SIDEWAYS,90.0,1081.43,1041.8,1140.89,3.66,0.88,1.67,0.12,True,True,True,True,True,LOSS,-1.0,9,-3.66,0.32,1.48,2025-09-22,1041.8,STOP_LOSS
360ONE,WYCKOFF_SPRING_TYPE_2,EXTENDED_LIBRARY,2025-09-09,2025,VAL_2025,SIDEWAYS,75.0,1081.43,1066.65,1103.6,1.37,0.88,1.67,0.12,True,True,True,True,True,LOSS,-1.0,1,-1.37,0.0,1.19,2025-09-10,1066.654230867007,STOP_LOSS
360ONE,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2025-10-30,2025,VAL_2025,BEAR,75.0,934.99,918.73,959.39,1.74,0.95,1.48,0.05,True,True,True,True,True,WIN,1.5,5,2.61,2.29,0.07,2025-11-06,959.3879375200535,TARGET_1
360ONE,FLAT_BASE_BREAKOUT,EXTENDED_LIBRARY,2025-11-12,2025,VAL_2025,SIDEWAYS,75.0,1005.06,981.18,1040.89,2.38,0.86,1.96,0.14,True,True,True,True,True,WIN,1.5,10,3.56,1.56,0.39,2025-11-26,1040.8886914226252,TARGET_1
360ONE,PULLBACK_EMA_BOUNCE,EXTENDED_LIBRARY,2025-11-12,2025,VAL_2025,SIDEWAYS,75.0,1005.06,989.14,1028.95,1.58,0.86,1.96,0.14,True,True,True,True,True,WIN,1.5,9,2.38,1.56,0.59,2025-11-25,1028.9470540957464,TARGET_1
360ONE,BULL_FLAG,EXTENDED_LIBRARY,2025-12-05,2025,VAL_2025,BULL,75.0,1125.53,1108.73,1150.73,1.49,0.84,1.63,0.16,True,True,True,True,True,LOSS,-1.0,1,-1.49,0.0,1.36,2025-12-08,1108.731233204369,STOP_LOSS
360ONE,MULTI_MONTH_BASE_BREAKOUT,TECHNICAL_SCANNER,2025-12-05,2025,VAL_2025,BULL,90.0,1125.53,1065.08,1216.2,5.37,0.84,1.63,0.16,True,True,True,True,True,WIN,0.21,20,1.15,0.81,0.55,2026-01-02,1138.4219394656536,TIMEOUT_20D
360ONE,FALLING_WEDGE_REVERSAL,EXTENDED_LIBRARY,2026-06-10,2026,OOS_2026,SIDEWAYS,75.0,921.79,909.31,940.5,1.35,0.84,1.49,0.16,True,True,True,True,True,WIN,1.5,2,2.03,1.84,0.0,2026-06-12,940.5038352149998,TARGET_1
360ONE,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2026-06-10,2026,OOS_2026,SIDEWAYS,75.0,921.79,909.31,940.5,1.35,0.84,1.49,0.16,True,True,True,True,True,WIN,1.5,2,2.03,1.84,0.0,2026-06-12,940.5038352149998,TARGET_1
