symbol,pattern,signal_date,year,period,regime,score,entry,stop,target,risk_pct,clv,rvol,upper_wick_pct,outcome,r_multiple,holding_bars,pnl_pct,mfe,mae,exit_date,exit_price,exit_reason
AARTIDRUGS,V_REVERSAL,2025-12-23,2025,VAL_2025,SIDEWAYS,89.0,410.15,385.54,447.06,6.0,0.8,2.98,0.2,LOSS,-1.0,12,-6.0,0.52,1.2,2026-01-08,385.54,STOP_LOSS
AARTIDRUGS,SHAKEOUT_RECLAIM,2026-01-28,2026,OOS_2026,BEAR,87.0,382.65,359.69,417.08,6.0,0.86,1.6,0.14,WIN,1.5,4,9.0,1.62,0.59,2026-02-02,417.08,TARGET_1
AARTIDRUGS,CUP_HANDLE,2026-04-27,2026,OOS_2026,BULL,83.0,381.8,359.05,415.92,5.96,0.81,1.51,0.19,LOSS,-1.0,13,-5.96,0.91,1.02,2026-05-13,359.05,STOP_LOSS
AARTIDRUGS,MULTI_MONTH_BASE_BREAKOUT,2026-05-04,2026,OOS_2026,BULL,95.0,395.85,373.74,429.02,5.59,0.85,3.09,0.15,LOSS,-1.0,6,-5.59,0.3,1.15,2026-05-11,373.74,STOP_LOSS
AARTIDRUGS,SHAKEOUT_RECLAIM,2026-06-22,2026,OOS_2026,SIDEWAYS,92.0,376.4,363.18,396.23,3.51,0.76,2.11,0.24,WIN,1.5,12,5.27,1.67,0.59,2026-07-07,396.23,TARGET_1
AADHARHFC,SHAKEOUT_RECLAIM,2025-12-01,2025,VAL_2025,BEAR,86.0,484.8,477.1,496.35,1.59,0.77,1.67,0.23,WIN,1.5,10,2.38,1.84,0.71,2025-12-14,496.35,TARGET_1
AADHARHFC,SHAKEOUT_RECLAIM,2026-01-21,2026,OOS_2026,BEAR,84.0,470.8,464.07,480.89,1.43,0.79,1.57,0.21,WIN,1.5,6,2.14,3.29,0.7,2026-01-29,480.89,TARGET_1
AADHARHFC,BULL_FLAG,2026-05-05,2026,OOS_2026,BULL,88.0,517.45,486.4,564.03,6.0,0.81,2.18,0.19,LOSS,-1.0,5,-6.0,0.08,1.07,2026-05-11,486.4,STOP_LOSS
AADHARHFC,SHAKEOUT_RECLAIM,2026-06-12,2026,OOS_2026,SIDEWAYS,89.0,473.65,447.55,512.8,5.51,0.86,1.59,0.14,WIN,1.5,5,8.27,1.95,0.0,2026-06-18,512.8,TARGET_1
AADHARHFC,V_REVERSAL,2026-06-19,2026,OOS_2026,SIDEWAYS,89.0,515.1,484.19,561.46,6.0,0.78,6.35,0.22,WIN,1.5,11,9.0,1.55,0.84,2026-07-05,561.46,TARGET_1
AARTIPHARM,BULL_PENNANT,2025-12-22,2025,VAL_2025,SIDEWAYS,85.0,777.7,731.04,847.69,6.0,0.9,1.37,0.1,LOSS,-1.0,4,-6.0,0.1,1.14,2025-12-28,731.04,STOP_LOSS
