config_id,description,n_trades,total_r,er,wr,pf,max_dd,rho_all,tau_all,rho_top10,tau_top10,rho_top5,tau_top5,rho_exec,tau_exec
M_G_45M_BENCHMARK,"Model G Certified Baseline + 45m (No Veto)",1641,2606.87,1.589,92.6,23.26,2.01,0.2498,0.2122,0.1612,0.1403,0.1479,0.1408,0.0720,0.0294
M_G_45M_REGIME_VETO,"Model G Certified Baseline + 45m + Regime Veto",1628,2574.88,1.582,92.8,23.70,2.01,0.2582,0.1917,0.1625,0.0832,0.1622,0.1251,0.0974,0.0679
M_G_ABLATE_FRESHNESS,"Ablation: Freshness OFF (weight=0.0)",1598,2568.85,1.608,93.1,24.92,2.17,0.1547,0.0839,0.1217,0.1128,0.1327,0.0832,0.0622,0.0674
M_G_ABLATE_RS_MOM,"Ablation: RS 3D Momentum OFF (weight=0.0)",1548,2429.52,1.569,92.6,23.34,2.32,0.1848,0.1427,0.1326,0.0764,0.1270,0.0846,0.0655,0.0554
M_G_ABLATE_CLV,"Ablation: CLV Weight OFF (weight=0.0)",1492,2386.21,1.599,93.0,24.98,2.01,0.1316,0.0914,0.1081,0.0914,0.1265,0.1016,0.0712,0.0570
M_G_ABLATE_COMPRESSION,"Ablation: Base Compression OFF (weight=0.0)",1554,2481.47,1.597,92.8,24.14,2.29,0.1703,0.1268,0.1238,0.0744,0.1320,0.1153,0.0698,0.0585
M_G_ABLATE_RUNWAY,"Ablation: Overhead Runway OFF (weight=0.0)",1509,2433.52,1.613,93.2,25.79,2.01,0.1444,0.1140,0.1137,0.0525,0.1244,0.1064,0.0652,0.0490
M_G_ABLATE_VWAP,"Ablation: VWAP Proximity OFF (weight=0.0)",1552,2487.46,1.603,92.9,24.70,2.29,0.1370,0.0895,0.1065,0.0662,0.1269,0.1127,0.0629,0.0564
M_G_ABLATE_VOL_RET,"Ablation: Volume Retention OFF (weight=0.0)",1504,2404.28,1.599,92.8,24.35,2.01,0.1435,0.1220,0.1166,0.0802,0.1249,0.0675,0.0668,0.0494
M_G_FRESHNESS_HIGH,"Freshness HIGH (weight=1.5)",1666,2620.39,1.573,92.3,22.11,2.29,0.2575,0.1854,0.1598,0.1032,0.1523,0.1123,0.0834,0.0764
M_G_CLV_HIGH,"CLV Weight HIGH (weight=1.5)",1696,2678.23,1.579,92.3,22.09,2.01,0.2695,0.1732,0.1686,0.1101,0.1516,0.0957,0.0658,0.0506
M_G_COMPRESSION_HIGH,"Base Compression HIGH (weight=1.5)",1676,2640.70,1.576,92.2,21.98,2.01,0.2630,0.1660,0.1655,0.1162,0.1534,0.0763,0.0717,0.0282
M_G_RUNWAY_HIGH,"Overhead Runway HIGH (weight=1.5)",1687,2665.05,1.580,92.2,21.99,2.17,0.2681,0.1906,0.1656,0.0917,0.1523,0.1103,0.0633,0.0516
M_G_INTER_CLV_COMP_HIGH,"Interaction: CLV(1.5) + Compression(1.5)",1746,2756.98,1.579,92.2,21.66,2.28,0.2790,0.1949,0.1798,0.0754,0.1650,0.0844,0.0611,0.0413
M_G_INTER_CLV_FRESH_HIGH,"Interaction: CLV(1.5) + Freshness(1.5)",1725,2709.61,1.571,92.1,21.62,2.24,0.2673,0.1663,0.1823,0.1269,0.1669,0.0986,0.0716,0.0657
M_G_INTER_CLV_COMP_RUNWAY_HIGH,"Interaction: CLV(1.5) + Comp(1.5) + Runway(1.5)",1795,2826.88,1.575,92.0,21.21,2.28,0.2927,0.1919,0.2007,0.0959,0.1796,0.1344,0.0576,0.0396
M_G_INTER_SIMPLIFIED_PURE_CORE,"Simplified Core: CLV(1.5) + Comp(1.5) + Fresh(1.2) + RS(0.0)",1660,2579.98,1.554,92.2,21.94,2.32,0.2422,0.1420,0.1651,0.1094,0.1515,0.1076,0.0824,0.0470
M_G_INTER_SIMPLIFIED_CORE_REGIME,"Simplified Core + Regime Veto: CLV(1.5) + Comp(1.5) + RS(0.0)",1647,2566.30,1.558,92.5,22.93,2.32,0.2627,0.2178,0.1820,0.1417,0.1605,0.0812,0.0927,0.0456
