alert_date,prev_eod_date,symbol,regime,reclaim_shelf_low,prev_eod_rsi,real_entry_cmp,sl_price,risk_rs,risk_pct,target_price_2_5r,vol_surge_ratio,cpos,status
2026-09-07,2026-09-04,JPPOWER,BEAR,16.28,19.1,16.79,15.94,0.85,5.06,18.91,2.86,0.72,Holding (-0.66R)
2026-09-08,2026-09-07,AVANTIFEED,BEAR,791.90,18.1,837.15,778.34,58.81,7.02,984.18,2.96,0.82,Holding (+0.45R)
2026-09-08,2026-09-07,BHARATFORG,BEAR,1978.30,31.7,2003.70,1917.66,86.04,4.29,2218.80,1.76,0.71,Holding (+0.32R)
2026-09-09,2026-09-08,DATAMATICS,BEAR,750.20,14.4,773.05,728.39,44.66,5.78,884.70,2.74,0.85,Holding (+0.17R)
2026-09-09,2026-09-08,SUBROS,BEAR,702.70,8.2,729.00,689.14,39.86,5.47,828.65,2.54,0.79,Holding (+0.38R)
2026-09-10,2026-09-09,EXIDEIND,BEAR,416.40,13.2,420.85,407.65,13.20,3.14,453.85,1.70,0.78,Holding (-0.62R)
2026-09-10,2026-09-09,KEC,BEAR,399.55,31.8,413.45,387.20,26.25,6.35,479.07,2.33,0.89,Holding (-0.27R)
2026-09-11,2026-09-10,AWFIS,BEAR,250.10,36.2,293.20,242.88,50.32,17.16,419.00,16.44,0.95,OPEN / ACTIVE
2026-09-11,2026-09-10,BSOFT,BEAR,280.30,29.5,281.65,272.83,8.82,3.13,303.70,3.85,0.71,OPEN / ACTIVE
2026-09-11,2026-09-10,DRREDDY,BEAR,1141.80,36.6,1165.50,1124.35,41.15,3.53,1268.38,2.04,0.68,OPEN / ACTIVE
2026-09-11,2026-09-10,SUNTV,BEAR,449.00,35.6,476.00,445.46,30.54,6.42,552.35,6.42,0.88,OPEN / ACTIVE
2026-09-11,2026-09-10,WAAREEENER,BEAR,2552.50,26.1,2625.00,2502.52,122.48,4.67,2931.20,2.14,0.76,OPEN / ACTIVE
