scanner,variant_id,type,tier,total_n,dev_n,val_n,holdout_n,gross_wr,net_wr,gross_er,net_er,net_pf,max_dd_r,adverse_net_er,severe_net_er,ci_95_low,ci_95_high,pct_5r,status
WEALTH,WEALTH_CHAMPION_V1,CONTROL_V58,BASELINE,45082,15940,19068,10074,34.77,34.24,0.2609,0.0999,1.13,499.01,0.0194,-0.0611,0.0835,0.1163,,CONTROL
WEALTH,WLTH_V510_LOCAL_01_P50_V160,CHALLENGER_V510,LOCAL_SEARCH,45082,15940,19068,10074,34.77,34.24,0.2609,0.0999,1.13,499.01,0.0194,-0.0611,0.0835,0.1163,,KEEP_RESEARCHING
WEALTH,WLTH_V510_LOCAL_02_P50_V180,CHALLENGER_V510,LOCAL_SEARCH,45082,15940,19068,10074,34.77,34.24,0.2609,0.0999,1.13,499.01,0.0194,-0.0611,0.0835,0.1163,,KEEP_RESEARCHING
PULLBACK_V2,PULL_V2G_VOL_DRY_BULL_CLOSE_HYBRID,CONTROL_V58,BASELINE,82840,34114,31354,17372,45.61,43.96,0.2612,0.0545,1.09,1268.56,-0.0488,-0.1522,0.0444,0.0646,,CONTROL
PULLBACK_V2,PULL_V510_LOCAL_01_DRY065_THR17_T25,CHALLENGER_V510,LOCAL_SEARCH,82840,34114,31354,17372,45.61,43.96,0.2612,0.0545,1.09,1268.56,-0.0488,-0.1522,0.0444,0.0646,,D_CAPACITY
PULLBACK_V2,PULL_V510_LOCAL_02_DRY060_THR18_T25,CHALLENGER_V510,LOCAL_SEARCH,82840,34114,31354,17372,45.61,43.96,0.2612,0.0545,1.09,1268.56,-0.0488,-0.1522,0.0444,0.0646,,D_CAPACITY
PULLBACK_V2,PULL_V510_LOCAL_03_DRY070_THR16_T25,CHALLENGER_V510,LOCAL_SEARCH,82840,34114,31354,17372,45.61,43.96,0.2612,0.0545,1.09,1268.56,-0.0488,-0.1522,0.0444,0.0646,,D_CAPACITY
ACCUMULATION_VCP,VCP_V55_PRECISION_B_CLV65,CONTROL_V58,BASELINE,12158,4158,4690,3310,46.41,40.76,0.1202,-0.0527,0.9,1044.5,-0.1392,-0.2256,-0.0734,-0.032,,CONTROL
ACCUMULATION_VCP,VCP_V510_LOCAL_01_DRY065_THR17_T25,CHALLENGER_V510,LOCAL_SEARCH,12158,4158,4690,3310,46.41,40.76,0.1202,-0.0527,0.9,1044.5,-0.1392,-0.2256,-0.0734,-0.032,,D_CAPACITY
ACCUMULATION_VCP,VCP_V510_LOCAL_02_DRY060_THR18_T25,CHALLENGER_V510,LOCAL_SEARCH,12158,4158,4690,3310,46.41,40.76,0.1202,-0.0527,0.9,1044.5,-0.1392,-0.2256,-0.0734,-0.032,,D_CAPACITY
