scanner,breakeven_tier,be_mfe_threshold,net_wr,net_er,net_pf,max_dd_r,avg_win_r,avg_loss_r,pct_5r_runners,lock_net_er,lock_net_pf
WEALTH,NO_BREAKEVEN,0.0,34.24,0.0999,1.13,499.01,2.471,1.135,,0.1552,1.22
WEALTH,BE_PLUS_05R,0.5,34.24,0.2468,1.41,499.01,2.471,0.911,,0.2871,1.51
WEALTH,BE_PLUS_08R,0.8,34.24,0.2278,1.37,499.01,2.471,0.94,,0.271,1.47
WEALTH,BE_PLUS_10R,1.0,34.24,0.215,1.34,499.01,2.471,0.96,,0.2554,1.43
WEALTH,BE_PLUS_12R,1.2,34.24,0.2023,1.31,499.01,2.471,0.979,,0.2468,1.41
WEALTH,BE_PLUS_15R,1.5,34.24,0.1835,1.28,499.01,2.471,1.008,,0.2285,1.37
PULLBACK_V2,NO_BREAKEVEN,0.0,43.96,0.0545,1.09,1268.56,1.574,1.137,,0.0529,1.08
PULLBACK_V2,BE_PLUS_05R,0.5,43.96,0.1813,1.36,998.39,1.574,0.911,,0.1867,1.36
PULLBACK_V2,BE_PLUS_08R,0.8,43.96,0.1649,1.31,998.39,1.574,0.941,,0.1695,1.32
PULLBACK_V2,BE_PLUS_10R,1.0,43.96,0.154,1.29,998.39,1.574,0.96,,0.1648,1.31
PULLBACK_V2,BE_PLUS_12R,1.2,43.96,0.1428,1.26,998.39,1.574,0.98,,0.1542,1.28
PULLBACK_V2,BE_PLUS_15R,1.5,43.96,0.1264,1.22,1008.85,1.574,1.009,,0.1392,1.25
ACCUMULATION_VCP,NO_BREAKEVEN,0.0,40.76,-0.0527,0.9,1044.5,1.127,0.864,,0.0585,1.14
ACCUMULATION_VCP,BE_PLUS_05R,0.5,40.76,0.0412,1.1,702.37,1.127,0.705,,0.1547,1.47
ACCUMULATION_VCP,BE_PLUS_08R,0.8,40.76,0.0305,1.07,748.79,1.127,0.724,,0.1462,1.43
ACCUMULATION_VCP,BE_PLUS_10R,1.0,40.76,0.0208,1.05,748.79,1.127,0.74,,0.1261,1.35
