scanner,ablation_id,net_wr,net_er,net_pf,max_dd_r,description
WEALTH,FULL_CHAMPION,34.35,0.3954,1.63,241.01,Full Champion with all structural levers active
WEALTH,NO_BREAKEVEN_STOP,34.35,0.2803,1.38,241.01,Champion without Breakeven stop protection
PULLBACK_V2,FULL_CHAMPION,44.23,0.1609,1.3,998.39,Full Champion with all structural levers active
PULLBACK_V2,NO_BREAKEVEN_STOP,44.23,0.062,1.1,1268.56,Champion without Breakeven stop protection
ACCUMULATION_VCP,FULL_CHAMPION,39.78,-0.0065,0.99,677.19,Full Champion with all structural levers active
ACCUMULATION_VCP,NO_BREAKEVEN_STOP,39.78,-0.0818,0.84,972.89,Champion without Breakeven stop protection
EOD_BREAKOUT,FULL_CHAMPION,39.96,-0.0234,0.95,1074.92,Full Champion with all structural levers active
EOD_BREAKOUT,NO_BREAKEVEN_STOP,39.96,-0.1047,0.82,1165.25,Champion without Breakeven stop protection
MULTITF_5M,FULL_CHAMPION,42.15,0.0876,1.21,52.88,Full Champion with all structural levers active
MULTITF_5M,NO_BREAKEVEN_STOP,42.15,0.0025,1.0,56.58,Champion without Breakeven stop protection
TECHNICAL_AHAT,FULL_CHAMPION,37.76,0.051,1.09,101.21,Full Champion with all structural levers active
TECHNICAL_AHAT,NO_BREAKEVEN_STOP,37.76,-0.0682,0.9,114.72,Champion without Breakeven stop protection
DAILY_BUILDER,FULL_CHAMPION,39.74,0.1048,1.19,425.53,Full Champion with all structural levers active
DAILY_BUILDER,NO_BREAKEVEN_STOP,39.74,-0.0108,0.98,617.34,Champion without Breakeven stop protection
REVERSAL,FULL_CHAMPION,40.26,0.2814,1.5,429.84,Full Champion with all structural levers active
REVERSAL,NO_BREAKEVEN_STOP,40.26,0.1807,1.27,429.84,Champion without Breakeven stop protection
MULTITF_1H,FULL_CHAMPION,35.11,0.014,1.03,66.57,Full Champion with all structural levers active
MULTITF_1H,NO_BREAKEVEN_STOP,35.11,-0.1098,0.84,100.65,Champion without Breakeven stop protection
SHORT_COVERING_EOD,FULL_CHAMPION,34.73,0.0382,1.06,473.27,Full Champion with all structural levers active
SHORT_COVERING_EOD,NO_BREAKEVEN_STOP,34.73,-0.0708,0.9,473.27,Champion without Breakeven stop protection
MULTIBAGGER,FULL_CHAMPION,41.02,0.4944,1.9,52.28,Full Champion with all structural levers active
MULTIBAGGER,NO_BREAKEVEN_STOP,41.02,0.4246,1.69,52.28,Champion without Breakeven stop protection
