scanner,control_id,challenger_id,ctrl_net_wr,chlg_net_wr,delta_net_wr,ctrl_net_er,chlg_net_er,delta_net_er,ctrl_net_pf,chlg_net_pf,ctrl_max_dd,chlg_max_dd,delta_dd_pct,decision
WEALTH,WEALTH_CHAMPION_V1,WLTH_V511_PREC_01_H15_P50_BE10_T30,34.24,34.35,0.11,0.0999,0.3954,0.2955,1.13,1.63,499.01,241.01,-51.7,A_MAJOR_IMPROVEMENT
PULLBACK_V2,PULL_V2G_VOL_DRY_BULL_CLOSE_HYBRID,PULL_V511_PREC_01_DRY060_CLV75_BE10_T25,43.96,44.23,0.27,0.0545,0.1609,0.1064,1.09,1.3,1268.56,998.39,-21.3,A_MAJOR_IMPROVEMENT
ACCUMULATION_VCP,VCP_V55_PRECISION_B_CLV65,VCP_V511_PREC_01_SQUEEZE_CLV75_BE10_T25,40.76,39.78,-0.98,-0.0527,-0.0065,0.0462,0.9,0.99,1044.5,677.19,-35.2,A_MAJOR_IMPROVEMENT
EOD_BREAKOUT,EOD_ABL_3_NO_VOL_FILTER,EOD_V511_PREC_01_H30_CLV75_BE10_T25,41.01,39.96,-1.05,-0.0742,-0.0234,0.0508,0.87,0.95,1165.25,1074.92,-7.8,A_MAJOR_IMPROVEMENT
MULTITF_5M,MULTITF_5M_CHAMPION_V1,M5M_V511_PREC_02_CLV80_BE08_T21,42.0,42.15,0.15,-0.0176,0.0876,0.1052,0.97,1.21,76.24,52.88,-30.6,A_MAJOR_IMPROVEMENT
TECHNICAL_AHAT,TECHNICAL_CHAMPION_V1,AHAT_V511_PREC_01_RS80_CLV75_BE08_T20,37.45,37.76,0.31,-0.075,0.051,0.126,0.89,1.09,129.67,101.21,-21.9,A_MAJOR_IMPROVEMENT
DAILY_BUILDER,DAILY_BUILDER_CHAMPION_V1,BLD_V511_PREC_01_ORB15_CLV75_BE08_T20,40.12,39.74,-0.38,0.0001,0.1048,0.1047,1.0,1.19,617.34,425.53,-31.1,A_MAJOR_IMPROVEMENT
REVERSAL,REV_V23D_15D_MULTI_REGIME,REV_V511_PREC_03_WICK20_BE10_T26,39.92,40.26,0.34,0.1376,0.2814,0.1438,1.2,1.5,565.14,429.84,-23.9,A_MAJOR_IMPROVEMENT
MULTITF_1H,M1H_V57_QUAL_F_MULTI_REG,M1H_V511_PREC_01_V180_CLV75_BE08_T20,36.58,35.11,-1.47,-0.0284,0.014,0.0424,0.96,1.03,100.65,66.57,-33.9,A_MAJOR_IMPROVEMENT
SHORT_COVERING_EOD,SC_ABL_2_NO_RSI_FILTER,SC_V511_PREC_01_BEAR_CLV75_BE10_T25,34.67,34.73,0.06,-0.0681,0.0382,0.1063,0.91,1.06,517.23,473.27,-8.5,A_MAJOR_IMPROVEMENT
MULTIBAGGER,MBAG_V57_SCALE_A_60D_165V,MBAG_V511_PREC_02_80D_200V_60R_BE15,40.15,41.02,0.87,0.2287,0.4944,0.2657,1.37,1.9,73.3,52.28,-28.7,A_MAJOR_IMPROVEMENT
