scanner,total_ctrl_alerts,total_chlg_alerts,ctrl_losses,chlg_losses,losing_alerts_pruned,pct_false_alerts_pruned,winning_alerts_retained,delta_net_wr,delta_net_er,delta_net_pf,delta_max_dd_pct
WEALTH,45082,45082,29646,29598,48,0.2,15484,0.11,0.2955,0.5,-51.7
PULLBACK_V2,82840,72899,46427,40654,5773,12.4,32245,0.27,0.1064,0.21,-21.3
ACCUMULATION_VCP,12158,10699,7203,6443,760,10.6,4256,-0.98,0.0462,0.09,-35.2
EOD_BREAKOUT,10523,9260,6208,5560,648,10.4,3700,-1.05,0.0508,0.08,-7.8
MULTITF_5M,1824,1459,1058,844,214,20.2,615,0.15,0.1052,0.24,-30.6
TECHNICAL_AHAT,1036,911,648,567,81,12.5,344,0.31,0.126,0.2,-21.9
DAILY_BUILDER,29754,26183,17816,15777,2039,11.4,10406,-0.38,0.1047,0.19,-31.1
REVERSAL,35440,31896,21291,19055,2236,10.5,12841,0.34,0.1438,0.3,-23.9
MULTITF_1H,596,524,378,340,38,10.1,184,-1.47,0.0424,0.07,-33.9
SHORT_COVERING_EOD,6842,6020,4470,3929,541,12.1,2091,0.06,0.1063,0.15,-8.5
MULTIBAGGER,2493,1994,1492,1176,316,21.2,818,0.87,0.2657,0.53,-28.7
