scanner,frontier_tier,net_wr,net_er,net_pf,n_trades,max_dd_r,lock_net_wr,lock_net_er,lock_net_pf,status
WEALTH,F50_BALANCED,34.04,0.1144,1.18,39672,725.87,36.6,0.1346,1.23,SUPERIOR_ALPHA_EXPANSION
WEALTH,F55_PRECISION,34.29,0.0523,1.08,35704,1936.34,36.96,0.0804,1.14,DIMINISHING_RETURNS
WEALTH,F60_SELECTIVE,34.17,-0.0224,0.96,32458,3730.87,37.02,0.0104,1.02,REJECT_ECONOMIC_COLLAPSE
WEALTH,F65_ULTRA_SELECTIVE,34.03,-0.088,0.86,32458,5572.07,36.69,-0.058,0.9,REJECT_ECONOMIC_COLLAPSE
WEALTH,F70_EXTREME,33.99,-0.118,0.8,32458,6373.83,36.61,-0.0871,0.85,REJECT_ECONOMIC_COLLAPSE
WEALTH,F80_TIGHT,33.91,-0.1477,0.75,32458,7118.6,36.42,-0.1194,0.79,REJECT_ECONOMIC_COLLAPSE
WEALTH,F90_MAX,33.72,-0.2134,0.64,32458,8828.33,35.96,-0.1865,0.67,REJECT_ECONOMIC_COLLAPSE
PULLBACK_V2,F50_BALANCED,43.94,0.0808,1.15,72899,1901.59,43.52,0.1051,1.2,SUPERIOR_ALPHA_EXPANSION
PULLBACK_V2,F55_PRECISION,43.64,0.0199,1.04,65609,4729.33,43.36,0.0499,1.1,REJECT_EXCESSIVE_ALPHA_SACRIFICE
PULLBACK_V2,F60_SELECTIVE,43.51,-0.0435,0.92,59644,7050.43,42.71,-0.0347,0.93,REJECT_ECONOMIC_COLLAPSE
PULLBACK_V2,F65_ULTRA_SELECTIVE,42.99,-0.0985,0.81,59644,9836.92,42.06,-0.0897,0.83,REJECT_ECONOMIC_COLLAPSE
PULLBACK_V2,F70_EXTREME,42.86,-0.1234,0.76,59644,11085.85,41.97,-0.1124,0.78,REJECT_ECONOMIC_COLLAPSE
PULLBACK_V2,F80_TIGHT,42.58,-0.148,0.71,59644,12268.35,41.66,-0.1372,0.73,REJECT_ECONOMIC_COLLAPSE
PULLBACK_V2,F90_MAX,41.94,-0.2031,0.6,59644,14921.39,41.1,-0.193,0.61,REJECT_ECONOMIC_COLLAPSE
ACCUMULATION_VCP,F50_BALANCED,39.27,-0.06,0.86,10699,1171.04,44.57,0.0425,1.12,REJECT_ECONOMIC_COLLAPSE
ACCUMULATION_VCP,F55_PRECISION,39.33,-0.0923,0.79,9629,1228.97,43.75,0.0045,1.01,REJECT_ECONOMIC_COLLAPSE
ACCUMULATION_VCP,F60_SELECTIVE,38.92,-0.1358,0.69,8753,1451.62,44.26,-0.0327,0.91,REJECT_ECONOMIC_COLLAPSE
ACCUMULATION_VCP,F65_ULTRA_SELECTIVE,38.2,-0.1728,0.6,8753,1715.26,43.33,-0.0778,0.78,REJECT_ECONOMIC_COLLAPSE
ACCUMULATION_VCP,F70_EXTREME,37.29,-0.1898,0.56,8753,1833.83,42.52,-0.0955,0.73,REJECT_ECONOMIC_COLLAPSE
ACCUMULATION_VCP,F80_TIGHT,36.7,-0.2064,0.51,8753,1949.22,41.62,-0.1109,0.68,REJECT_ECONOMIC_COLLAPSE
