scanner,variant_id,type,tier,total_n,lock_n,gross_wr,net_wr,lock_net_wr,gross_er,net_er,lock_net_er,net_pf,lock_net_pf,max_dd_r,lock_max_dd,adverse_net_er,severe_net_er,status
WEALTH,WEALTH_CHAMPION_V1,CONTROL_V58,BASELINE,45082,10074,34.77,34.24,37.48,0.2609,0.0999,0.1552,1.13,1.22,499.01,216.01,0.0194,-0.0611,CONTROL
WEALTH,WLTH_V511_PREC_01_H15_P50_BE10_T30,PRECISION_V511_CHAMPION,SIGNAL_QUALITY,45082,10074,34.77,34.35,37.62,0.5564,0.3954,0.437,1.63,1.74,241.01,157.92,0.3149,0.2344,A_MAJOR_IMPROVEMENT
PULLBACK_V2,PULL_V2G_VOL_DRY_BULL_CLOSE_HYBRID,CONTROL_V58,BASELINE,82840,17372,45.61,43.96,42.97,0.2612,0.0545,0.0529,1.09,1.08,1268.56,656.99,-0.0488,-0.1522,CONTROL
PULLBACK_V2,PULL_V511_PREC_01_DRY060_CLV75_BE10_T25,PRECISION_V511_CHAMPION,SIGNAL_QUALITY,72899,15268,45.91,44.23,43.76,0.357,0.1609,0.1889,1.3,1.36,998.39,266.29,0.0628,-0.0352,A_MAJOR_IMPROVEMENT
ACCUMULATION_VCP,VCP_V55_PRECISION_B_CLV65,CONTROL_V58,BASELINE,12158,3310,46.41,40.76,46.28,0.1202,-0.0527,0.0585,0.9,1.14,1044.5,215.93,-0.1392,-0.2256,CONTROL
ACCUMULATION_VCP,VCP_V511_PREC_01_SQUEEZE_CLV75_BE10_T25,PRECISION_V511_CHAMPION,SIGNAL_QUALITY,10699,2930,45.55,39.78,45.02,0.1666,-0.0065,0.0948,0.99,1.26,677.19,114.61,-0.0931,-0.1796,A_MAJOR_IMPROVEMENT
EOD_BREAKOUT,EOD_ABL_3_NO_VOL_FILTER,CONTROL_V58,BASELINE,10523,2421,45.74,41.01,47.5,0.0982,-0.0742,0.1195,0.87,1.24,1165.25,126.74,-0.1605,-0.2467,CONTROL
EOD_BREAKOUT,EOD_V511_PREC_01_H30_CLV75_BE10_T25,PRECISION_V511_CHAMPION,SIGNAL_QUALITY,9260,2160,44.51,39.96,46.3,0.1491,-0.0234,0.1523,0.95,1.35,1074.92,126.74,-0.1096,-0.1958,A_MAJOR_IMPROVEMENT
MULTITF_5M,MULTITF_5M_CHAMPION_V1,CONTROL_V58,BASELINE,1824,464,44.19,42.0,51.29,0.0904,-0.0176,0.1649,0.97,1.4,76.24,17.97,-0.0716,-0.1256,CONTROL
MULTITF_5M,M5M_V511_PREC_02_CLV80_BE08_T21,PRECISION_V511_CHAMPION,SIGNAL_QUALITY,1459,374,44.07,42.15,50.27,0.1956,0.0876,0.2299,1.21,1.68,52.88,17.38,0.0336,-0.0204,A_MAJOR_IMPROVEMENT
