scanner,architecture,net_wr,net_er,net_pf,max_dd_r,n_trades,decision
WEALTH,UNIVERSAL,34.35,0.3954,1.63,241.01,45082,STANDARD_BASELINE
WEALTH,REGIME_GATED,34.35,0.3954,1.63,241.01,45082,SUPERIOR_REGIME_EFFICIENCY
PULLBACK_V2,UNIVERSAL,44.23,0.1609,1.3,998.39,72899,STANDARD_BASELINE
PULLBACK_V2,REGIME_GATED,44.23,0.1609,1.3,998.39,72899,SUPERIOR_REGIME_EFFICIENCY
ACCUMULATION_VCP,UNIVERSAL,39.78,-0.0065,0.99,677.19,10699,STANDARD_BASELINE
ACCUMULATION_VCP,REGIME_GATED,39.75,-0.0065,0.99,674.36,10637,SUPERIOR_REGIME_EFFICIENCY
EOD_BREAKOUT,UNIVERSAL,39.96,-0.0234,0.95,1074.92,9260,STANDARD_BASELINE
EOD_BREAKOUT,REGIME_GATED,40.02,-0.0219,0.95,1066.94,9237,SUPERIOR_REGIME_EFFICIENCY
MULTITF_5M,UNIVERSAL,42.15,0.0876,1.21,52.88,1459,STANDARD_BASELINE
MULTITF_5M,REGIME_GATED,41.13,0.0652,1.15,50.67,1172,MODERATE
TECHNICAL_AHAT,UNIVERSAL,37.76,0.051,1.09,101.21,911,STANDARD_BASELINE
TECHNICAL_AHAT,REGIME_GATED,37.26,0.033,1.06,103.95,832,MODERATE
DAILY_BUILDER,UNIVERSAL,39.74,0.1048,1.19,425.53,26183,STANDARD_BASELINE
DAILY_BUILDER,REGIME_GATED,39.74,0.1048,1.19,425.53,26183,SUPERIOR_REGIME_EFFICIENCY
REVERSAL,UNIVERSAL,40.26,0.2814,1.5,429.84,31896,STANDARD_BASELINE
REVERSAL,REGIME_GATED,40.2,0.2825,1.5,435.12,27698,SUPERIOR_REGIME_EFFICIENCY
MULTITF_1H,UNIVERSAL,35.11,0.014,1.03,66.57,524,STANDARD_BASELINE
MULTITF_1H,REGIME_GATED,33.87,-0.0315,0.94,64.61,496,MODERATE
SHORT_COVERING_EOD,UNIVERSAL,34.73,0.0382,1.06,473.27,6020,STANDARD_BASELINE
SHORT_COVERING_EOD,REGIME_GATED,34.67,0.0373,1.06,471.39,5991,MODERATE
MULTIBAGGER,UNIVERSAL,41.02,0.4944,1.9,52.28,1994,STANDARD_BASELINE
MULTIBAGGER,REGIME_GATED,41.02,0.4944,1.9,52.28,1994,SUPERIOR_REGIME_EFFICIENCY
