scanner,regime,ctrl_n,chlg_n,ctrl_net_wr,chlg_net_wr,delta_wr,ctrl_net_er,chlg_net_er,delta_er,ctrl_net_pf,chlg_net_pf,ctrl_max_dd,chlg_max_dd,chlg_ci_95
WEALTH,BULL,40888,40888,34.36,34.46,0.1,0.1052,0.4011,0.2959,1.14,1.64,512.67,253.51,"[+0.382, +0.420]"
WEALTH,NEUTRAL,4194,4194,33.05,33.24,0.19,0.0484,0.3395,0.2911,1.06,1.53,152.34,118.57,"[+0.280, +0.399]"
WEALTH,BEAR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[+0.000, +0.000]"
PULLBACK_V2,BULL,79619,70047,44.32,44.67,0.35,0.0651,0.1735,0.1084,1.1,1.33,1077.02,910.82,"[+0.163, +0.184]"
PULLBACK_V2,NEUTRAL,3221,2852,34.86,33.49,-1.37,-0.2062,-0.1491,0.0571,0.72,0.77,807.49,719.38,"[-0.198, -0.100]"
PULLBACK_V2,BEAR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[+0.000, +0.000]"
ACCUMULATION_VCP,BULL,9594,8488,43.02,42.5,-0.52,-0.0112,0.0424,0.0536,0.98,1.1,413.07,383.63,"[+0.019, +0.066]"
ACCUMULATION_VCP,NEUTRAL,2494,2155,32.12,28.96,-3.16,-0.2102,-0.1974,0.0128,0.66,0.64,676.42,472.69,"[-0.243, -0.152]"
ACCUMULATION_VCP,BEAR,70,56,38.57,44.64,6.07,-0.1293,-0.0774,0.0519,0.72,0.82,11.3,7.7,"[-0.324, +0.169]"
EOD_BREAKOUT,BULL,7958,7006,42.3,41.49,-0.81,-0.0579,-0.0106,0.0473,0.89,0.98,742.68,724.42,"[-0.038, +0.017]"
EOD_BREAKOUT,NEUTRAL,2539,2228,37.14,35.32,-1.82,-0.1225,-0.0608,0.0617,0.79,0.88,471.65,387.84,"[-0.110, -0.012]"
EOD_BREAKOUT,BEAR,26,26,23.08,23.08,0.0,-0.3753,-0.2535,0.1218,0.36,0.45,9.64,8.64,"[-0.552, +0.045]"
MULTITF_5M,BULL,1092,884,44.32,44.8,0.48,0.0307,0.1145,0.0838,1.06,1.28,35.35,25.83,"[+0.040, +0.189]"
MULTITF_5M,NEUTRAL,374,301,33.69,30.9,-2.79,-0.1407,-0.0916,0.0491,0.75,0.82,74.76,55.35,"[-0.216, +0.033]"
MULTITF_5M,BEAR,358,274,43.58,45.99,2.41,-0.0363,0.1977,0.234,0.93,1.52,28.56,15.51,"[+0.064, +0.332]"
TECHNICAL_AHAT,BULL,810,715,38.02,37.48,-0.54,-0.0576,0.058,0.1156,0.92,1.1,91.83,82.83,"[-0.039, +0.155]"
TECHNICAL_AHAT,NEUTRAL,136,114,33.82,36.84,3.02,-0.208,-0.0665,0.1415,0.73,0.9,50.29,32.93,"[-0.316, +0.183]"
TECHNICAL_AHAT,BEAR,90,82,37.78,41.46,3.68,-0.0305,0.1535,0.184,0.96,1.26,14.77,13.12,"[-0.153, +0.460]"
DAILY_BUILDER,BULL,29212,25677,40.13,39.75,-0.38,0.0011,0.1058,0.1047,1.0,1.19,624.65,461.58,"[+0.089, +0.122]"
DAILY_BUILDER,NEUTRAL,542,506,39.48,39.53,0.05,-0.0569,0.0516,0.1085,0.92,1.09,56.86,56.86,"[-0.062, +0.166]"
DAILY_BUILDER,BEAR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[+0.000, +0.000]"
REVERSAL,BULL,4664,4175,40.67,40.67,0.0,0.1497,0.2644,0.1147,1.22,1.45,236.07,158.98,"[+0.216, +0.313]"
REVERSAL,NEUTRAL,18466,16367,40.06,40.25,0.19,0.1553,0.3045,0.1492,1.23,1.54,454.08,419.46,"[+0.280, +0.329]"
REVERSAL,BEAR,12310,11354,39.44,40.13,0.69,0.1065,0.2543,0.1478,1.16,1.45,384.03,317.51,"[+0.226, +0.283]"
MULTITF_1H,BULL,434,376,38.94,38.03,-0.91,-0.0041,0.0581,0.0622,0.99,1.11,47.81,46.31,"[-0.077, +0.193]"
MULTITF_1H,NEUTRAL,130,120,23.08,20.83,-2.25,-0.3187,-0.2955,0.0232,0.6,0.58,61.58,52.81,"[-0.522, -0.069]"
MULTITF_1H,BEAR,32,28,59.38,57.14,-2.24,0.8216,0.7477,-0.0739,2.79,2.67,6.63,5.63,"[+0.111, +1.385]"
SHORT_COVERING_EOD,BULL,33,27,45.45,44.44,-1.01,-0.0127,0.1371,0.1498,0.98,1.31,11.0,5.83,"[-0.338, +0.612]"
SHORT_COVERING_EOD,NEUTRAL,1309,1098,38.04,38.89,0.85,-0.0363,0.0997,0.136,0.95,1.18,96.36,96.36,"[+0.017, +0.182]"
SHORT_COVERING_EOD,BEAR,5500,4895,33.8,33.75,-0.05,-0.0759,0.0238,0.0997,0.9,1.04,505.35,477.05,"[-0.017, +0.065]"
MULTIBAGGER,BULL,2404,1917,39.98,40.64,0.66,0.2191,0.4758,0.2567,1.36,1.87,66.89,52.28,"[+0.380, +0.571]"
MULTIBAGGER,NEUTRAL,89,77,44.94,50.65,5.71,0.487,0.9595,0.4725,1.81,2.82,10.63,9.99,"[+0.409, +1.510]"
MULTIBAGGER,BEAR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[+0.000, +0.000]"
