scanner,lever,description,delta_net_wr,delta_net_er,delta_net_pf,delta_dd_pct,decision
WEALTH,CLV_ALONE,Close Location Value >= 0.75 alone,-0.14,-0.006,0.0,-21.2,NEUTRAL_OR_NEGATIVE
WEALTH,WICK_ALONE,Upper Wick Exhaustion <= 0.20 alone,-0.19,-0.0072,-0.01,-20.1,NEUTRAL_OR_NEGATIVE
WEALTH,ATR_SQUEEZE_ALONE,ATR5/ATR20 Volatility Squeeze <= 0.75 alone,-0.02,-0.0029,0.0,-21.2,NEUTRAL_OR_NEGATIVE
WEALTH,RS_ALONE,Relative Strength Rating >= 75 alone,-0.02,-0.0029,0.0,-21.2,NEUTRAL_OR_NEGATIVE
WEALTH,BREAKEVEN_ALONE,Breakeven Stop at +1.0R MFE alone,0.0,0.1151,0.21,0.0,POSITIVE
PULLBACK_V2,CLV_ALONE,Close Location Value >= 0.75 alone,0.27,0.0075,0.01,0.0,POSITIVE
PULLBACK_V2,WICK_ALONE,Upper Wick Exhaustion <= 0.20 alone,0.24,0.0064,0.01,0.0,POSITIVE
PULLBACK_V2,ATR_SQUEEZE_ALONE,ATR5/ATR20 Volatility Squeeze <= 0.75 alone,0.26,0.0075,0.01,0.0,POSITIVE
PULLBACK_V2,RS_ALONE,Relative Strength Rating >= 75 alone,0.26,0.0075,0.01,0.0,POSITIVE
PULLBACK_V2,BREAKEVEN_ALONE,Breakeven Stop at +1.0R MFE alone,0.0,0.0995,0.2,-21.3,POSITIVE
ACCUMULATION_VCP,CLV_ALONE,Close Location Value >= 0.75 alone,-0.98,-0.0291,-0.06,-6.9,NEUTRAL_OR_NEGATIVE
ACCUMULATION_VCP,WICK_ALONE,Upper Wick Exhaustion <= 0.20 alone,-1.05,-0.03,-0.06,0.0,NEUTRAL_OR_NEGATIVE
ACCUMULATION_VCP,ATR_SQUEEZE_ALONE,ATR5/ATR20 Volatility Squeeze <= 0.75 alone,-0.6,-0.0257,-0.05,-14.5,NEUTRAL_OR_NEGATIVE
ACCUMULATION_VCP,RS_ALONE,Relative Strength Rating >= 75 alone,-0.6,-0.0257,-0.05,-14.5,NEUTRAL_OR_NEGATIVE
ACCUMULATION_VCP,BREAKEVEN_ALONE,Breakeven Stop at +1.0R MFE alone,0.0,0.0735,0.15,-28.3,POSITIVE
EOD_BREAKOUT,CLV_ALONE,Close Location Value >= 0.75 alone,-1.05,-0.0305,-0.05,0.0,NEUTRAL_OR_NEGATIVE
EOD_BREAKOUT,WICK_ALONE,Upper Wick Exhaustion <= 0.20 alone,-0.94,-0.0258,-0.05,0.0,NEUTRAL_OR_NEGATIVE
EOD_BREAKOUT,ATR_SQUEEZE_ALONE,ATR5/ATR20 Volatility Squeeze <= 0.75 alone,-1.34,-0.035,-0.06,0.0,NEUTRAL_OR_NEGATIVE
EOD_BREAKOUT,RS_ALONE,Relative Strength Rating >= 75 alone,-1.34,-0.035,-0.06,0.0,NEUTRAL_OR_NEGATIVE
EOD_BREAKOUT,BREAKEVEN_ALONE,Breakeven Stop at +1.0R MFE alone,0.0,0.0797,0.14,-10.7,POSITIVE
MULTITF_5M,CLV_ALONE,Close Location Value >= 0.75 alone,-0.13,-0.0117,-0.03,0.0,NEUTRAL_OR_NEGATIVE
MULTITF_5M,WICK_ALONE,Upper Wick Exhaustion <= 0.20 alone,-0.2,-0.0137,-0.03,0.0,NEUTRAL_OR_NEGATIVE
MULTITF_5M,ATR_SQUEEZE_ALONE,ATR5/ATR20 Volatility Squeeze <= 0.75 alone,-0.45,-0.0149,-0.03,0.0,NEUTRAL_OR_NEGATIVE
MULTITF_5M,RS_ALONE,Relative Strength Rating >= 75 alone,-0.45,-0.0149,-0.03,0.0,NEUTRAL_OR_NEGATIVE
MULTITF_5M,BREAKEVEN_ALONE,Breakeven Stop at +1.0R MFE alone,0.0,0.0761,0.17,-16.3,POSITIVE
TECHNICAL_AHAT,CLV_ALONE,Close Location Value >= 0.75 alone,0.31,0.0068,0.01,-11.5,POSITIVE
TECHNICAL_AHAT,WICK_ALONE,Upper Wick Exhaustion <= 0.20 alone,0.1,0.0013,0.01,-11.5,POSITIVE
TECHNICAL_AHAT,ATR_SQUEEZE_ALONE,ATR5/ATR20 Volatility Squeeze <= 0.75 alone,0.96,0.025,0.04,-11.5,POSITIVE
TECHNICAL_AHAT,RS_ALONE,Relative Strength Rating >= 75 alone,0.96,0.025,0.04,-11.5,POSITIVE
TECHNICAL_AHAT,BREAKEVEN_ALONE,Breakeven Stop at +1.0R MFE alone,0.0,0.1078,0.16,-11.1,POSITIVE
DAILY_BUILDER,CLV_ALONE,Close Location Value >= 0.75 alone,-0.38,-0.0109,-0.02,0.0,NEUTRAL_OR_NEGATIVE
DAILY_BUILDER,WICK_ALONE,Upper Wick Exhaustion <= 0.20 alone,-0.36,-0.0105,-0.02,0.0,NEUTRAL_OR_NEGATIVE
DAILY_BUILDER,ATR_SQUEEZE_ALONE,ATR5/ATR20 Volatility Squeeze <= 0.75 alone,-0.22,-0.0068,-0.01,0.0,NEUTRAL_OR_NEGATIVE
