scanner,ctype,combo,be,n,wr,er,pf,mdd,r5,lock_n,lock_er,lock_pf,dwr,der,ci_lo,ci_hi,adv_er,sev_er,v511_wr,v511_er,v58_wr,v58_er
ACCUMULATION_VCP,PAIR,F1F2_CPOS_RS70,0.0,408,41.18,-0.0743,0.858,46.35,0.0,126,0.0763,1.184,0.42,-0.0953,-0.1856,0.037,-0.1498,-0.2253,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,PAIR,F1F2_CPOS_RS70,0.5,408,41.18,0.0265,1.063,38.59,0.0,126,0.1877,1.619,0.42,0.0055,-0.0795,0.1325,-0.049,-0.1245,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,PAIR,F1F2_CPOS_RS70,1.0,408,41.18,0.0099,1.023,38.69,0.0,126,0.1718,1.538,0.42,-0.0111,-0.097,0.1168,-0.0656,-0.1411,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,PAIR,F1F2_CPOS_RS70,1.5,408,41.18,-0.0172,0.963,39.18,0.0,126,0.1158,1.309,0.42,-0.0382,-0.1256,0.0913,-0.0927,-0.1682,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,PAIR,F1F3_CPOS_SEC,0.0,751,40.08,-0.0631,0.879,75.71,0.0,202,-0.0153,0.964,-0.68,-0.0841,-0.1466,0.0204,-0.1386,-0.2141,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,PAIR,F1F3_CPOS_SEC,0.5,751,40.08,0.0329,1.077,54.09,0.0,202,0.1126,1.379,-0.68,0.0119,-0.0471,0.1129,-0.0426,-0.1181,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,PAIR,F1F3_CPOS_SEC,1.0,751,40.08,0.012,1.027,54.09,0.0,202,0.0524,1.147,-0.68,-0.009,-0.0689,0.0928,-0.0635,-0.139,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,PAIR,F1F3_CPOS_SEC,1.5,751,40.08,-0.0131,0.972,70.75,0.0,202,0.02,1.051,-0.68,-0.0341,-0.0949,0.0687,-0.0886,-0.1641,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,PAIR,F1F4_CPOS_VOL15,0.0,536,39.55,-0.0421,0.919,61.81,0.0,157,0.1182,1.282,-1.21,-0.0631,-0.143,0.0587,-0.1176,-0.1931,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,PAIR,F1F4_CPOS_VOL15,0.5,536,39.55,0.0555,1.131,42.79,0.0,157,0.2088,1.635,-1.21,0.0345,-0.041,0.1521,-0.02,-0.0955,40.76,0.021,40.76,-0.053
