n,wr,er,pf,mdd,r5,ci_lo,ci_hi,regime,scanner,vid,combo,dwr
1245,44.26,0.118,1.309,50.81,0.0,0.0559,0.1801,BULL,ACCUMULATION_VCP,ACCUMULATION_VCP_V512_F2F4F6_RS_VOL_BRD_BE5,F2F4F6_RS_VOL_BRD,3.5
0,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,ACCUMULATION_VCP,ACCUMULATION_VCP_V512_F2F4F6_RS_VOL_BRD_BE5,F2F4F6_RS_VOL_BRD,3.5
0,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,ACCUMULATION_VCP,ACCUMULATION_VCP_V512_F2F4F6_RS_VOL_BRD_BE5,F2F4F6_RS_VOL_BRD,3.5
359,44.29,0.1502,1.378,30.15,0.0,0.0274,0.273,BULL,EOD_BREAKOUT,EOD_BREAKOUT_V512_F1F9_CPOS_EARLY_BE5,F1F9_CPOS_EARLY,3.91
112,47.32,0.1595,1.433,10.13,0.0,-0.055,0.374,NEUTRAL,EOD_BREAKOUT,EOD_BREAKOUT_V512_F1F9_CPOS_EARLY_BE5,F1F9_CPOS_EARLY,3.91
1,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,EOD_BREAKOUT,EOD_BREAKOUT_V512_F1F9_CPOS_EARLY_BE5,F1F9_CPOS_EARLY,3.91
181,46.96,0.2013,1.544,11.13,0.0,0.0279,0.3748,BULL,EOD_BREAKOUT,EOD_BREAKOUT_V512_F1F4F7_CPOS_VOL_COMP_BE5,F1F4F7_CPOS_VOL_COMP,3.61
68,39.71,0.1256,1.365,7.83,0.0,-0.1433,0.3946,NEUTRAL,EOD_BREAKOUT,EOD_BREAKOUT_V512_F1F4F7_CPOS_VOL_COMP_BE5,F1F4F7_CPOS_VOL_COMP,3.61
2,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,EOD_BREAKOUT,EOD_BREAKOUT_V512_F1F4F7_CPOS_VOL_COMP_BE5,F1F4F7_CPOS_VOL_COMP,3.61
2,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BULL,SHORT_COVERING,SHORT_COVERING_V512_F1_CPOS80_BE5,F1_CPOS80,2.23
75,41.33,0.1664,1.314,11.16,0.0,-0.1605,0.4934,NEUTRAL,SHORT_COVERING,SHORT_COVERING_V512_F1_CPOS80_BE5,F1_CPOS80,2.23
381,35.96,0.1631,1.29,28.01,0.0,0.0126,0.3135,BEAR,SHORT_COVERING,SHORT_COVERING_V512_F1_CPOS80_BE5,F1_CPOS80,2.23
0,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BULL,SHORT_COVERING,SHORT_COVERING_V512_F1F3F12_CPOS_SEC_MOM_BE5,F1F3F12_CPOS_SEC_MOM,2.78
47,46.81,0.3022,1.688,5.73,0.0,-0.1077,0.7121,NEUTRAL,SHORT_COVERING,SHORT_COVERING_V512_F1F3F12_CPOS_SEC_MOM_BE5,F1F3F12_CPOS_SEC_MOM,2.78
212,35.38,0.1171,1.199,26.43,0.0,-0.0856,0.3199,BEAR,SHORT_COVERING,SHORT_COVERING_V512_F1F3F12_CPOS_SEC_MOM_BE5,F1F3F12_CPOS_SEC_MOM,2.78
80,50.0,0.5016,2.263,4.42,0.0,0.1724,0.8308,BULL,MULTITF_1H,MULTITF_1H_V512_F1F2F4_CPOS_RS_VOL_BE5,F1F2F4_CPOS_RS_VOL,12.38
14,50.0,0.4115,1.855,3.19,0.0,-0.5125,1.3354,NEUTRAL,MULTITF_1H,MULTITF_1H_V512_F1F2F4_CPOS_RS_VOL_BE5,F1F2F4_CPOS_RS_VOL,12.38
2,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,MULTITF_1H,MULTITF_1H_V512_F1F2F4_CPOS_RS_VOL_BE5,F1F2F4_CPOS_RS_VOL,12.38
