scanner,ctype,combo,be,n,wr,er,pf,mdd,r5,lock_n,lock_er,lock_pf,dwr,der,ci_lo,ci_hi,adv_er,sev_er,v511_wr,v511_er,v58_wr,v58_er
ACCUMULATION_VCP,SINGLE,F1_CPOS75,0.0,1279,40.34,-0.0651,0.873,134.79,0.0,340,0.0077,1.018,-0.42,-0.0861,-0.1276,-0.0026,-0.1406,-0.2161,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F1_CPOS75,0.5,1279,40.34,0.0315,1.076,99.23,0.0,340,0.116,1.361,-0.42,0.0105,-0.0282,0.0912,-0.044,-0.1195,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F1_CPOS75,0.8,1279,40.34,0.02,1.047,103.68,0.0,340,0.1025,1.306,-0.42,-0.001,-0.0401,0.0801,-0.0555,-0.131,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F1_CPOS75,1.0,1279,40.34,0.0104,1.024,103.68,0.0,340,0.0759,1.21,-0.42,-0.0106,-0.05,0.0707,-0.0651,-0.1406,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F1_CPOS75,1.5,1279,40.34,-0.0134,0.971,120.89,0.0,340,0.0361,1.09,-0.42,-0.0344,-0.0745,0.0477,-0.0889,-0.1644,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F1_CPOS80,0.0,814,40.17,-0.0919,0.822,112.61,0.0,225,-0.0074,0.983,-0.59,-0.1129,-0.1686,-0.0152,-0.1674,-0.2429,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F1_CPOS80,0.5,814,40.17,0.0078,1.019,79.35,0.0,225,0.1023,1.315,-0.59,-0.0132,-0.0654,0.0809,-0.0677,-0.1432,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F1_CPOS80,0.8,814,40.17,-0.0046,0.989,83.93,0.0,225,0.0763,1.218,-0.59,-0.0256,-0.0783,0.069,-0.0801,-0.1556,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F1_CPOS80,1.0,814,40.17,-0.014,0.968,83.93,0.0,225,0.0496,1.132,-0.59,-0.035,-0.088,0.06,-0.0895,-0.165,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F1_CPOS80,1.5,814,40.17,-0.0404,0.913,100.93,0.0,225,0.0205,1.05,-0.59,-0.0614,-0.1154,0.0346,-0.1159,-0.1914,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F2_RS70,0.0,3813,41.73,-0.0159,0.968,223.83,0.0,1035,0.0688,1.161,0.97,-0.0369,-0.0532,0.0215,-0.0914,-0.1669,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F2_RS70,0.5,3813,41.73,0.0807,1.2,172.91,0.0,1035,0.1681,1.514,0.97,0.0597,0.045,0.1163,0.0052,-0.0703,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F2_RS70,0.8,3813,41.73,0.069,1.166,172.91,0.0,1035,0.1564,1.462,0.97,0.048,0.0332,0.1049,-0.0065,-0.082,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F2_RS70,1.0,3813,41.73,0.0593,1.14,172.91,0.0,1035,0.14,1.394,0.97,0.0383,0.0232,0.0953,-0.0162,-0.0917,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F2_RS70,1.5,3813,41.73,0.0368,1.082,172.91,0.0,1035,0.1102,1.286,0.97,0.0158,0.0004,0.0733,-0.0387,-0.1142,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F2_RS80,0.0,1947,40.63,-0.0462,0.909,183.67,0.0,520,0.0283,1.065,-0.13,-0.0672,-0.0979,0.0054,-0.1217,-0.1972,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F2_RS80,0.5,1947,40.63,0.0513,1.124,123.2,0.0,520,0.1184,1.345,-0.13,0.0303,0.002,0.1005,-0.0242,-0.0997,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F2_RS80,0.8,1947,40.63,0.0382,1.09,130.32,0.0,520,0.1108,1.316,-0.13,0.0172,-0.0114,0.0878,-0.0373,-0.1128,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F2_RS80,1.0,1947,40.63,0.0302,1.07,132.03,0.0,520,0.0956,1.261,-0.13,0.0092,-0.0196,0.08,-0.0453,-0.1208,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F2_RS80,1.5,1947,40.63,0.0069,1.015,132.03,0.0,520,0.0642,1.161,-0.13,-0.0141,-0.0435,0.0573,-0.0686,-0.1441,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F3_SECTOR,0.0,6669,40.62,-0.0432,0.915,556.3,0.0,1791,0.0767,1.186,-0.14,-0.0642,-0.0711,-0.0154,-0.1187,-0.1942,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F3_SECTOR,0.5,6669,40.62,0.0517,1.126,371.21,0.0,1791,0.1769,1.566,-0.14,0.0307,0.0251,0.0783,-0.0238,-0.0993,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F3_SECTOR,0.8,6669,40.62,0.0405,1.096,391.63,0.0,1791,0.1658,1.512,-0.14,0.0195,0.0138,0.0673,-0.035,-0.1105,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F3_SECTOR,1.0,6669,40.62,0.0313,1.072,391.63,0.0,1791,0.1471,1.429,-0.14,0.0103,0.0043,0.0582,-0.0442,-0.1197,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F3_SECTOR,1.5,6669,40.62,0.0098,1.022,417.21,0.0,1791,0.1161,1.311,-0.14,-0.0112,-0.0174,0.037,-0.0657,-0.1412,40.76,0.021,40.76,-0.053
