scanner,combo,ctype,be,n_candidates,n_confirmed,n_executed,funnel_pct,wr,er,pf,dwr,der
EOD_BREAKOUT,G1_RISK_TIGHT,SINGLE,0.0,10523,4210,4210,40.0,36.91,-0.1406,0.782,-8.01,-0.2906
EOD_BREAKOUT,G1_RISK_TIGHT,SINGLE,0.5,10523,4210,4210,40.0,36.91,-0.0135,0.974,-8.01,-0.1635
EOD_BREAKOUT,G1_RISK_TIGHT,SINGLE,0.8,10523,4210,4210,40.0,36.91,-0.0314,0.941,-8.01,-0.1814
EOD_BREAKOUT,G1_RISK_TIGHT,SINGLE,1.0,10523,4210,4210,40.0,36.91,-0.0425,0.922,-8.01,-0.1925
EOD_BREAKOUT,G1_RISK_TIGHT,SINGLE,1.2,10523,4210,4210,40.0,36.91,-0.0537,0.904,-8.01,-0.2037
EOD_BREAKOUT,G1_RISK_TIGHT,SINGLE,1.5,10523,4210,4210,40.0,36.91,-0.0699,0.878,-8.01,-0.2199
EOD_BREAKOUT,G2_TARGET_HIGH,SINGLE,0.0,10523,9227,9227,87.7,41.18,-0.0713,0.874,-3.74,-0.2213
EOD_BREAKOUT,G2_TARGET_HIGH,SINGLE,0.5,10523,9227,9227,87.7,41.18,0.0395,1.087,-3.74,-0.1105
EOD_BREAKOUT,G2_TARGET_HIGH,SINGLE,0.8,10523,9227,9227,87.7,41.18,0.0245,1.052,-3.74,-0.1255
EOD_BREAKOUT,G2_TARGET_HIGH,SINGLE,1.0,10523,9227,9227,87.7,41.18,0.014,1.029,-3.74,-0.136
EOD_BREAKOUT,G2_TARGET_HIGH,SINGLE,1.2,10523,9227,9227,87.7,41.18,0.0043,1.009,-3.74,-0.1457
EOD_BREAKOUT,G2_TARGET_HIGH,SINGLE,1.5,10523,9227,9227,87.7,41.18,-0.0083,0.984,-3.74,-0.1583
EOD_BREAKOUT,G3_TIGHT_PCTSTOP,SINGLE,0.0,10523,3684,3684,35.0,41.97,-0.055,0.912,-2.95,-0.205
EOD_BREAKOUT,G3_TIGHT_PCTSTOP,SINGLE,0.5,10523,3684,3684,35.0,41.97,0.0714,1.144,-2.95,-0.0786
EOD_BREAKOUT,G3_TIGHT_PCTSTOP,SINGLE,0.8,10523,3684,3684,35.0,41.97,0.0538,1.105,-2.95,-0.0962
EOD_BREAKOUT,G3_TIGHT_PCTSTOP,SINGLE,1.0,10523,3684,3684,35.0,41.97,0.0427,1.081,-2.95,-0.1073
EOD_BREAKOUT,G3_TIGHT_PCTSTOP,SINGLE,1.2,10523,3684,3684,35.0,41.97,0.0316,1.059,-2.95,-0.1184
EOD_BREAKOUT,G3_TIGHT_PCTSTOP,SINGLE,1.5,10523,3684,3684,35.0,41.97,0.0147,1.027,-2.95,-0.1353
EOD_BREAKOUT,G4_HIGH_R_TGT,SINGLE,0.0,10523,394,394,3.7,43.4,-0.0507,0.894,-1.52,-0.2007
EOD_BREAKOUT,G4_HIGH_R_TGT,SINGLE,0.5,10523,394,394,3.7,43.4,0.0419,1.108,-1.52,-0.1081
EOD_BREAKOUT,G4_HIGH_R_TGT,SINGLE,0.8,10523,394,394,3.7,43.4,0.0294,1.074,-1.52,-0.1206
EOD_BREAKOUT,G4_HIGH_R_TGT,SINGLE,1.0,10523,394,394,3.7,43.4,0.0196,1.048,-1.52,-0.1304
EOD_BREAKOUT,G4_HIGH_R_TGT,SINGLE,1.2,10523,394,394,3.7,43.4,0.0105,1.025,-1.52,-0.1395
EOD_BREAKOUT,G4_HIGH_R_TGT,SINGLE,1.5,10523,394,394,3.7,43.4,0.0017,1.004,-1.52,-0.1483
EOD_BREAKOUT,G5_FAST_RESOLVE,SINGLE,0.0,10523,3881,3881,36.9,19.09,-0.531,0.456,-25.83,-0.681
EOD_BREAKOUT,G5_FAST_RESOLVE,SINGLE,0.5,10523,3881,3881,36.9,19.09,-0.3338,0.571,-25.83,-0.4838
EOD_BREAKOUT,G5_FAST_RESOLVE,SINGLE,0.8,10523,3881,3881,36.9,19.09,-0.3595,0.553,-25.83,-0.5095
EOD_BREAKOUT,G5_FAST_RESOLVE,SINGLE,1.0,10523,3881,3881,36.9,19.09,-0.3767,0.541,-25.83,-0.5267
EOD_BREAKOUT,G5_FAST_RESOLVE,SINGLE,1.2,10523,3881,3881,36.9,19.09,-0.3939,0.53,-25.83,-0.5439
EOD_BREAKOUT,G5_FAST_RESOLVE,SINGLE,1.5,10523,3881,3881,36.9,19.09,-0.4196,0.515,-25.83,-0.5696
EOD_BREAKOUT,G6_NO_STALL,SINGLE,0.0,10523,10523,10523,100.0,41.51,-0.0718,0.871,-3.41,-0.2218
EOD_BREAKOUT,G6_NO_STALL,SINGLE,0.5,10523,10523,10523,100.0,41.51,0.0372,1.083,-3.41,-0.1128
EOD_BREAKOUT,G6_NO_STALL,SINGLE,0.8,10523,10523,10523,100.0,41.51,0.0225,1.049,-3.41,-0.1275
EOD_BREAKOUT,G6_NO_STALL,SINGLE,1.0,10523,10523,10523,100.0,41.51,0.0123,1.026,-3.41,-0.1377
EOD_BREAKOUT,G6_NO_STALL,SINGLE,1.2,10523,10523,10523,100.0,41.51,0.0025,1.005,-3.41,-0.1475
EOD_BREAKOUT,G6_NO_STALL,SINGLE,1.5,10523,10523,10523,100.0,41.51,-0.0097,0.98,-3.41,-0.1597
EOD_BREAKOUT,G11_NOT_IMMEDIATE,SINGLE,0.0,10523,10197,10197,96.9,42.1,-0.0617,0.887,-2.82,-0.2117
EOD_BREAKOUT,G11_NOT_IMMEDIATE,SINGLE,0.5,10523,10197,10197,96.9,42.1,0.0447,1.102,-2.82,-0.1053
EOD_BREAKOUT,G11_NOT_IMMEDIATE,SINGLE,0.8,10523,10197,10197,96.9,42.1,0.0303,1.067,-2.82,-0.1197
EOD_BREAKOUT,G11_NOT_IMMEDIATE,SINGLE,1.0,10523,10197,10197,96.9,42.1,0.0201,1.043,-2.82,-0.1299
EOD_BREAKOUT,G11_NOT_IMMEDIATE,SINGLE,1.2,10523,10197,10197,96.9,42.1,0.0108,1.023,-2.82,-0.1392
EOD_BREAKOUT,G11_NOT_IMMEDIATE,SINGLE,1.5,10523,10197,10197,96.9,42.1,-0.0011,0.998,-2.82,-0.1511
EOD_BREAKOUT,G12_EARLY_CYCLE,SINGLE,0.0,10523,2494,2494,23.7,14.64,-0.689,0.331,-30.28,-0.839
EOD_BREAKOUT,G12_EARLY_CYCLE,SINGLE,0.5,10523,2494,2494,23.7,14.64,-0.4812,0.414,-30.28,-0.6312
EOD_BREAKOUT,G12_EARLY_CYCLE,SINGLE,0.8,10523,2494,2494,23.7,14.64,-0.5084,0.401,-30.28,-0.6584
EOD_BREAKOUT,G12_EARLY_CYCLE,SINGLE,1.0,10523,2494,2494,23.7,14.64,-0.5262,0.393,-30.28,-0.6762
EOD_BREAKOUT,G12_EARLY_CYCLE,SINGLE,1.2,10523,2494,2494,23.7,14.64,-0.5445,0.385,-30.28,-0.6945
EOD_BREAKOUT,G12_EARLY_CYCLE,SINGLE,1.5,10523,2494,2494,23.7,14.64,-0.5717,0.373,-30.28,-0.7217
EOD_BREAKOUT,G7_BULL,SINGLE,0.0,10523,7958,7958,75.6,42.89,-0.0548,0.9,-2.03,-0.2048
EOD_BREAKOUT,G7_BULL,SINGLE,0.5,10523,7958,7958,75.6,42.89,0.0498,1.113,-2.03,-0.1002
EOD_BREAKOUT,G7_BULL,SINGLE,0.8,10523,7958,7958,75.6,42.89,0.0354,1.078,-2.03,-0.1146
EOD_BREAKOUT,G7_BULL,SINGLE,1.0,10523,7958,7958,75.6,42.89,0.025,1.054,-2.03,-0.125
EOD_BREAKOUT,G7_BULL,SINGLE,1.2,10523,7958,7958,75.6,42.89,0.015,1.032,-2.03,-0.135
EOD_BREAKOUT,G7_BULL,SINGLE,1.5,10523,7958,7958,75.6,42.89,0.0047,1.01,-2.03,-0.1453
EOD_BREAKOUT,G8_NON_BEAR,SINGLE,0.0,10523,10497,10497,99.8,41.55,-0.071,0.872,-3.37,-0.221
EOD_BREAKOUT,G8_NON_BEAR,SINGLE,0.5,10523,10497,10497,99.8,41.55,0.0379,1.085,-3.37,-0.1121
EOD_BREAKOUT,G8_NON_BEAR,SINGLE,0.8,10523,10497,10497,99.8,41.55,0.0231,1.05,-3.37,-0.1269
EOD_BREAKOUT,G8_NON_BEAR,SINGLE,1.0,10523,10497,10497,99.8,41.55,0.0129,1.027,-3.37,-0.1371
EOD_BREAKOUT,G8_NON_BEAR,SINGLE,1.2,10523,10497,10497,99.8,41.55,0.0032,1.007,-3.37,-0.1468
EOD_BREAKOUT,G8_NON_BEAR,SINGLE,1.5,10523,10497,10497,99.8,41.55,-0.009,0.982,-3.37,-0.159
EOD_BREAKOUT,G9_BEAR_NEUTRAL,SINGLE,0.0,10523,2565,2565,24.4,37.23,-0.1244,0.789,-7.69,-0.2744
EOD_BREAKOUT,G9_BEAR_NEUTRAL,SINGLE,0.5,10523,2565,2565,24.4,37.23,-0.001,0.998,-7.69,-0.151
EOD_BREAKOUT,G9_BEAR_NEUTRAL,SINGLE,0.8,10523,2565,2565,24.4,37.23,-0.0168,0.965,-7.69,-0.1668
EOD_BREAKOUT,G9_BEAR_NEUTRAL,SINGLE,1.0,10523,2565,2565,24.4,37.23,-0.0292,0.941,-7.69,-0.1792
EOD_BREAKOUT,G9_BEAR_NEUTRAL,SINGLE,1.2,10523,2565,2565,24.4,37.23,-0.0408,0.919,-7.69,-0.1908
EOD_BREAKOUT,G9_BEAR_NEUTRAL,SINGLE,1.5,10523,2565,2565,24.4,37.23,-0.0587,0.888,-7.69,-0.2087
EOD_BREAKOUT,G13_UPPER_CLOSE,SINGLE,0.0,10523,4218,4218,40.1,42.27,-0.0631,0.872,-2.65,-0.2131
EOD_BREAKOUT,G13_UPPER_CLOSE,SINGLE,0.5,10523,4218,4218,40.1,42.27,0.0266,1.066,-2.65,-0.1234
EOD_BREAKOUT,G13_UPPER_CLOSE,SINGLE,0.8,10523,4218,4218,40.1,42.27,0.013,1.031,-2.65,-0.137
EOD_BREAKOUT,G13_UPPER_CLOSE,SINGLE,1.0,10523,4218,4218,40.1,42.27,0.0053,1.012,-2.65,-0.1447
EOD_BREAKOUT,G13_UPPER_CLOSE,SINGLE,1.2,10523,4218,4218,40.1,42.27,-0.0021,0.995,-2.65,-0.1521
EOD_BREAKOUT,G13_UPPER_CLOSE,SINGLE,1.5,10523,4218,4218,40.1,42.27,-0.0133,0.97,-2.65,-0.1633
EOD_BREAKOUT,G14_ASYMMETRIC,SINGLE,0.0,10523,3759,3759,35.7,36.5,-0.1437,0.781,-8.42,-0.2937
EOD_BREAKOUT,G14_ASYMMETRIC,SINGLE,0.5,10523,3759,3759,35.7,36.5,-0.0149,0.972,-8.42,-0.1649
EOD_BREAKOUT,G14_ASYMMETRIC,SINGLE,0.8,10523,3759,3759,35.7,36.5,-0.0324,0.941,-8.42,-0.1824
EOD_BREAKOUT,G14_ASYMMETRIC,SINGLE,1.0,10523,3759,3759,35.7,36.5,-0.0442,0.921,-8.42,-0.1942
EOD_BREAKOUT,G14_ASYMMETRIC,SINGLE,1.2,10523,3759,3759,35.7,36.5,-0.0549,0.903,-8.42,-0.2049
EOD_BREAKOUT,G14_ASYMMETRIC,SINGLE,1.5,10523,3759,3759,35.7,36.5,-0.0718,0.877,-8.42,-0.2218
EOD_BREAKOUT,G16_FAST_TIGHT,SINGLE,0.0,10523,2020,2020,19.2,19.16,-0.528,0.458,-25.76,-0.678
EOD_BREAKOUT,G16_FAST_TIGHT,SINGLE,0.5,10523,2020,2020,19.2,19.16,-0.3312,0.574,-25.76,-0.4812
EOD_BREAKOUT,G16_FAST_TIGHT,SINGLE,0.8,10523,2020,2020,19.2,19.16,-0.3569,0.556,-25.76,-0.5069
EOD_BREAKOUT,G16_FAST_TIGHT,SINGLE,1.0,10523,2020,2020,19.2,19.16,-0.3742,0.544,-25.76,-0.5242
