scanner,ctype,combo,be,n,nc,wr,er,pf,mdd,r5,lock_n,lock_er,lock_pf,dwr,der,ci_lo,ci_hi,adv_er,sev_er,v512_wr,v512_er,v58_wr,v58_er
EOD_BREAKOUT,PAIR,G1_G5_TIGHT_FAST,0.0,2020,2020,19.16,-0.528,0.458,1096.71,0.0,407,-0.2337,0.733,-25.76,-0.678,-0.5888,-0.4671,-0.6252,-0.7225,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G5_TIGHT_FAST,0.5,2020,2020,19.16,-0.3312,0.574,833.68,0.0,407,0.0137,1.022,-25.76,-0.4812,-0.3905,-0.2719,-0.4229,-0.5146,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G5_TIGHT_FAST,0.8,2020,2020,19.16,-0.3569,0.556,873.77,0.0,407,-0.0436,0.936,-25.76,-0.5069,-0.4165,-0.2973,-0.4493,-0.5417,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G5_TIGHT_FAST,1.0,2020,2020,19.16,-0.3742,0.544,908.75,0.0,407,-0.0827,0.886,-25.76,-0.5242,-0.434,-0.3145,-0.4671,-0.56,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G5_TIGHT_FAST,1.2,2020,2020,19.16,-0.391,0.533,934.69,0.0,407,-0.0879,0.879,-25.76,-0.541,-0.4509,-0.3311,-0.4844,-0.5778,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G5_TIGHT_FAST,1.5,2020,2020,19.16,-0.4167,0.518,953.49,0.0,407,-0.0905,0.876,-25.76,-0.5667,-0.4768,-0.3566,-0.5108,-0.6049,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G7_TIGHT_BULL,0.0,2892,2892,38.31,-0.1306,0.798,473.05,0.0,592,0.263,1.491,-6.61,-0.2806,-0.1783,-0.0828,-0.2182,-0.3058,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G7_TIGHT_BULL,0.5,2892,2892,38.31,-0.0086,0.984,431.51,0.0,592,0.3884,1.947,-6.61,-0.1586,-0.0544,0.0371,-0.0931,-0.1776,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G7_TIGHT_BULL,0.8,2892,2892,38.31,-0.0261,0.952,431.51,0.0,592,0.3795,1.906,-6.61,-0.1761,-0.0722,0.0199,-0.1111,-0.196,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G7_TIGHT_BULL,1.0,2892,2892,38.31,-0.0378,0.932,431.51,0.0,592,0.3478,1.772,-6.61,-0.1878,-0.0841,0.0085,-0.123,-0.2083,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G7_TIGHT_BULL,1.2,2892,2892,38.31,-0.0491,0.913,431.51,0.0,592,0.3389,1.738,-6.61,-0.1991,-0.0956,-0.0027,-0.1347,-0.2203,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G7_TIGHT_BULL,1.5,2892,2892,38.31,-0.0651,0.888,431.51,0.0,592,0.3389,1.738,-6.61,-0.2151,-0.1118,-0.0183,-0.151,-0.237,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G12_TIGHT_EARLY,0.0,1320,1320,14.85,-0.6807,0.337,897.9,0.0,259,-0.6192,0.384,-30.07,-0.8307,-0.7487,-0.6127,-0.7793,-0.8778,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G12_TIGHT_EARLY,0.5,1320,1320,14.85,-0.4735,0.422,681.56,0.0,259,-0.3368,0.534,-30.07,-0.6235,-0.5407,-0.4064,-0.5662,-0.6589,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G12_TIGHT_EARLY,0.8,1320,1320,14.85,-0.5008,0.409,716.64,0.0,259,-0.4146,0.483,-30.07,-0.6508,-0.5682,-0.4335,-0.5943,-0.6878,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G12_TIGHT_EARLY,1.0,1320,1320,14.85,-0.5185,0.4,739.96,0.0,259,-0.4473,0.464,-30.07,-0.6685,-0.586,-0.4511,-0.6125,-0.7064,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G12_TIGHT_EARLY,1.2,1320,1320,14.85,-0.537,0.392,764.34,0.0,259,-0.4841,0.444,-30.07,-0.687,-0.6046,-0.4694,-0.6315,-0.7259,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G1_G12_TIGHT_EARLY,1.5,1320,1320,14.85,-0.5635,0.381,799.32,0.0,259,-0.4923,0.44,-30.07,-0.7135,-0.6312,-0.4958,-0.6587,-0.7539,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G5_TGT_FAST,0.0,3526,3526,19.03,-0.5266,0.461,1855.69,0.0,800,-0.4094,0.563,-25.89,-0.6766,-0.5729,-0.4803,-0.6239,-0.7212,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G5_TGT_FAST,0.5,3526,3526,19.03,-0.3294,0.577,1413.33,0.0,800,-0.1842,0.741,-25.89,-0.4794,-0.3745,-0.2843,-0.4211,-0.5128,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G5_TGT_FAST,0.8,3526,3526,19.03,-0.355,0.559,1475.62,0.0,800,-0.2186,0.707,-25.89,-0.505,-0.4003,-0.3096,-0.4474,-0.5398,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G5_TGT_FAST,1.0,3526,3526,19.03,-0.3724,0.547,1532.06,0.0,800,-0.2398,0.687,-25.89,-0.5224,-0.4179,-0.327,-0.4653,-0.5583,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G5_TGT_FAST,1.2,3526,3526,19.03,-0.3895,0.536,1563.01,0.0,800,-0.2478,0.68,-25.89,-0.5395,-0.4351,-0.344,-0.483,-0.5764,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G5_TGT_FAST,1.5,3526,3526,19.03,-0.4151,0.52,1623.52,0.0,800,-0.2769,0.655,-25.89,-0.5651,-0.4608,-0.3694,-0.5092,-0.6034,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G7_TGT_BULL,0.0,7018,7018,42.62,-0.0535,0.903,647.74,0.0,1681,0.1336,1.258,-2.3,-0.2035,-0.0825,-0.0245,-0.1384,-0.2234,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G7_TGT_BULL,0.5,7018,7018,42.62,0.0528,1.118,541.82,0.0,1681,0.2462,1.606,-2.3,-0.0972,0.0252,0.0805,-0.0294,-0.1117,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G7_TGT_BULL,0.8,7018,7018,42.62,0.0383,1.083,612.11,0.0,1681,0.2419,1.589,-2.3,-0.1117,0.0104,0.0661,-0.0444,-0.127,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G7_TGT_BULL,1.0,7018,7018,42.62,0.0279,1.059,612.11,0.0,1681,0.226,1.53,-2.3,-0.1221,-0.0001,0.0559,-0.055,-0.1379,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G7_TGT_BULL,1.2,7018,7018,42.62,0.0176,1.036,624.03,0.0,1681,0.209,1.471,-2.3,-0.1324,-0.0105,0.0457,-0.0656,-0.1488,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G2_G7_TGT_BULL,1.5,7018,7018,42.62,0.0068,1.014,634.89,0.0,1681,0.2027,1.451,-2.3,-0.1432,-0.0215,0.035,-0.0767,-0.1602,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G3_G7_PCTSTOP_BULL,0.0,2766,2766,43.38,-0.0269,0.956,273.34,0.0,602,0.188,1.34,-1.54,-0.1769,-0.0772,0.0235,-0.114,-0.2011,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G3_G7_PCTSTOP_BULL,0.5,2766,2766,43.38,0.0959,1.198,246.84,0.0,602,0.3103,1.72,-1.54,-0.0541,0.048,0.1439,0.0121,-0.0717,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G3_G7_PCTSTOP_BULL,0.8,2766,2766,43.38,0.0786,1.156,273.34,0.0,602,0.2962,1.666,-1.54,-0.0714,0.0303,0.127,-0.0057,-0.09,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G3_G7_PCTSTOP_BULL,1.0,2766,2766,43.38,0.0678,1.132,273.34,0.0,602,0.2892,1.64,-1.54,-0.0822,0.0192,0.1163,-0.0168,-0.1014,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G3_G7_PCTSTOP_BULL,1.2,2766,2766,43.38,0.0569,1.108,273.34,0.0,602,0.2786,1.602,-1.54,-0.0931,0.0081,0.1056,-0.028,-0.1129,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G3_G7_PCTSTOP_BULL,1.5,2766,2766,43.38,0.0409,1.076,273.34,0.0,602,0.271,1.576,-1.54,-0.1091,-0.0082,0.09,-0.0445,-0.1298,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G4_G7_HRR_BULL,0.0,286,286,45.1,-0.0613,0.87,38.46,0.0,58,0.2426,1.582,0.18,-0.2113,-0.1883,0.0657,-0.1436,-0.2259,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G4_G7_HRR_BULL,0.5,286,286,45.1,0.0258,1.067,32.5,0.0,58,0.3562,2.175,0.18,-0.1242,-0.0953,0.1469,-0.0544,-0.1347,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G4_G7_HRR_BULL,0.8,286,286,45.1,0.0143,1.036,35.79,0.0,58,0.3562,2.175,0.18,-0.1357,-0.1077,0.1363,-0.0663,-0.1468,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G4_G7_HRR_BULL,1.0,286,286,45.1,0.005,1.012,38.46,0.0,58,0.338,2.051,0.18,-0.145,-0.1177,0.1276,-0.0758,-0.1566,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G4_G7_HRR_BULL,1.2,286,286,45.1,-0.0062,0.985,38.46,0.0,58,0.3014,1.842,0.18,-0.1562,-0.1296,0.1173,-0.0872,-0.1683,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G4_G7_HRR_BULL,1.5,286,286,45.1,-0.0151,0.965,38.46,0.0,58,0.3014,1.842,0.18,-0.1651,-0.1392,0.109,-0.0964,-0.1777,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G7_FAST_BULL,0.0,2835,2835,19.19,-0.5269,0.459,1492.46,0.0,695,-0.4267,0.546,-25.73,-0.6769,-0.5782,-0.4755,-0.6241,-0.7214,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G7_FAST_BULL,0.5,2835,2835,19.19,-0.3302,0.576,1128.15,0.0,695,-0.2041,0.716,-25.73,-0.4802,-0.3803,-0.2801,-0.4219,-0.5136,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G7_FAST_BULL,0.8,2835,2835,19.19,-0.3556,0.557,1174.12,0.0,695,-0.2422,0.68,-25.73,-0.5056,-0.4059,-0.3053,-0.448,-0.5404,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G7_FAST_BULL,1.0,2835,2835,19.19,-0.3728,0.546,1220.72,0.0,695,-0.2468,0.676,-25.73,-0.5228,-0.4233,-0.3224,-0.4657,-0.5586,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G7_FAST_BULL,1.2,2835,2835,19.19,-0.39,0.534,1255.93,0.0,695,-0.2575,0.666,-25.73,-0.54,-0.4406,-0.3395,-0.4834,-0.5768,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G7_FAST_BULL,1.5,2835,2835,19.19,-0.4158,0.518,1291.54,0.0,695,-0.2727,0.653,-25.73,-0.5658,-0.4666,-0.3651,-0.5099,-0.604,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G13_FAST_CLV,0.0,1055,1055,19.81,-0.5109,0.472,593.69,0.0,273,-0.2985,0.666,-25.11,-0.6609,-0.5955,-0.4262,-0.6079,-0.705,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G13_FAST_CLV,0.5,1055,1055,19.81,-0.316,0.591,472.62,0.0,273,-0.0228,0.963,-25.11,-0.466,-0.3984,-0.2336,-0.4075,-0.4991,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G13_FAST_CLV,0.8,1055,1055,19.81,-0.3411,0.572,489.98,0.0,273,-0.081,0.88,-25.11,-0.4911,-0.4239,-0.2583,-0.4333,-0.5256,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G13_FAST_CLV,1.0,1055,1055,19.81,-0.3582,0.56,497.4,0.0,273,-0.081,0.88,-25.11,-0.5082,-0.4412,-0.2751,-0.4509,-0.5436,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G13_FAST_CLV,1.2,1055,1055,19.81,-0.3753,0.549,507.16,0.0,273,-0.0888,0.87,-25.11,-0.5253,-0.4585,-0.292,-0.4685,-0.5617,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G5_G13_FAST_CLV,1.5,1055,1055,19.81,-0.4014,0.532,534.72,0.0,273,-0.1393,0.81,-25.11,-0.5514,-0.485,-0.3178,-0.4953,-0.5893,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G7_G13_BULL_CLV,0.0,3177,3177,43.85,-0.0618,0.875,382.78,0.0,876,0.1954,1.433,-1.07,-0.2118,-0.101,-0.0226,-0.1445,-0.2272,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G7_G13_BULL_CLV,0.5,3177,3177,43.85,0.0217,1.052,346.82,0.0,876,0.3134,1.94,-1.07,-0.1283,-0.016,0.0593,-0.0591,-0.14,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G7_G13_BULL_CLV,0.8,3177,3177,43.85,0.0108,1.025,379.85,0.0,876,0.3134,1.94,-1.07,-0.1392,-0.027,0.0486,-0.0703,-0.1513,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G7_G13_BULL_CLV,1.0,3177,3177,43.85,0.0017,1.004,381.97,0.0,876,0.2891,1.808,-1.07,-0.1483,-0.0363,0.0397,-0.0796,-0.1609,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G7_G13_BULL_CLV,1.2,3177,3177,43.85,-0.0074,0.983,381.97,0.0,876,0.267,1.703,-1.07,-0.1574,-0.0456,0.0308,-0.0889,-0.1704,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G7_G13_BULL_CLV,1.5,3177,3177,43.85,-0.0156,0.965,381.97,0.0,876,0.2602,1.673,-1.07,-0.1656,-0.0539,0.0228,-0.0973,-0.179,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G7_G14_BULL_ASYM,0.0,2608,2608,37.77,-0.1363,0.793,438.02,0.0,551,0.2377,1.432,-7.15,-0.2863,-0.1872,-0.0854,-0.2243,-0.3123,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G7_G14_BULL_ASYM,0.5,2608,2608,37.77,-0.0123,0.977,388.88,0.0,551,0.3654,1.865,-7.15,-0.1623,-0.061,0.0365,-0.097,-0.1818,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G7_G14_BULL_ASYM,0.8,2608,2608,37.77,-0.0298,0.946,388.88,0.0,551,0.359,1.837,-7.15,-0.1798,-0.0789,0.0193,-0.115,-0.2002,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,PAIR,G7_G14_BULL_ASYM,1.0,2608,2608,37.77,-0.0411,0.927,388.88,0.0,551,0.325,1.702,-7.15,-0.1911,-0.0904,0.0082,-0.1266,-0.2122,44.92,0.15,41.01,-0.074
