n,nc,wr,er,pf,mdd,r5,ci_lo,ci_hi,regime,scanner,vid,combo,ctype,be,dwr,der
286,286,45.1,0.0258,1.067,32.5,0.0,-0.0953,0.1469,BULL,EOD_BREAKOUT,EOD_BREAKOUT_V513_G4_G7_HRR_BULL_BE5,G4_G7_HRR_BULL,PAIR,0.5,0.18,-0.1242
0,286,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,EOD_BREAKOUT,EOD_BREAKOUT_V513_G4_G7_HRR_BULL_BE5,G4_G7_HRR_BULL,PAIR,0.5,0.18,-0.1242
0,286,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,EOD_BREAKOUT,EOD_BREAKOUT_V513_G4_G7_HRR_BULL_BE5,G4_G7_HRR_BULL,PAIR,0.5,0.18,-0.1242
286,394,45.1,0.0184,1.047,34.62,0.0,-0.1033,0.1401,BULL,EOD_BREAKOUT,EOD_BREAKOUT_V513_G4_HIGH_R_TGT_BE5,G4_HIGH_R_TGT,SINGLE,0.5,-1.52,-0.1081
108,394,38.89,0.1039,1.28,14.9,0.0,-0.1148,0.3227,NEUTRAL,EOD_BREAKOUT,EOD_BREAKOUT_V513_G4_HIGH_R_TGT_BE5,G4_HIGH_R_TGT,SINGLE,0.5,-1.52,-0.1081
0,394,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,EOD_BREAKOUT,EOD_BREAKOUT_V513_G4_HIGH_R_TGT_BE5,G4_HIGH_R_TGT,SINGLE,0.5,-1.52,-0.1081
2766,2766,43.38,0.0959,1.198,246.84,0.0,0.048,0.1439,BULL,EOD_BREAKOUT,EOD_BREAKOUT_V513_G3_G7_PCTSTOP_BULL_BE5,G3_G7_PCTSTOP_BULL,PAIR,0.5,-1.54,-0.0541
0,2766,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,EOD_BREAKOUT,EOD_BREAKOUT_V513_G3_G7_PCTSTOP_BULL_BE5,G3_G7_PCTSTOP_BULL,PAIR,0.5,-1.54,-0.0541
0,2766,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,EOD_BREAKOUT,EOD_BREAKOUT_V513_G3_G7_PCTSTOP_BULL_BE5,G3_G7_PCTSTOP_BULL,PAIR,0.5,-1.54,-0.0541
3350,3350,47.82,0.2275,1.513,109.69,0.0,0.1828,0.2722,BULL,ACCUMULATION_VCP,ACCUMULATION_VCP_V513_G3_G7_PCTSTOP_BULL_BE5,G3_G7_PCTSTOP_BULL,PAIR,0.5,3.56,0.1095
0,3350,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,ACCUMULATION_VCP,ACCUMULATION_VCP_V513_G3_G7_PCTSTOP_BULL_BE5,G3_G7_PCTSTOP_BULL,PAIR,0.5,3.56,0.1095
0,3350,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,ACCUMULATION_VCP,ACCUMULATION_VCP_V513_G3_G7_PCTSTOP_BULL_BE5,G3_G7_PCTSTOP_BULL,PAIR,0.5,3.56,0.1095
1444,2864,41.9,0.2746,1.523,48.4,0.0,0.1972,0.3519,BULL,REVERSAL,REVERSAL_V513_G3_G5_PCTSTOP_FAST_BE5,G3_G5_PCTSTOP_FAST,PAIR,0.5,0.8,0.0273
1074,2864,42.64,0.2738,1.514,59.78,0.0,0.1839,0.3636,NEUTRAL,REVERSAL,REVERSAL_V513_G3_G5_PCTSTOP_FAST_BE5,G3_G5_PCTSTOP_FAST,PAIR,0.5,0.8,0.0273
346,2864,45.38,0.3163,1.616,18.83,0.0,0.1629,0.4697,BEAR,REVERSAL,REVERSAL_V513_G3_G5_PCTSTOP_FAST_BE5,G3_G5_PCTSTOP_FAST,PAIR,0.5,0.8,0.0273
1202,1202,41.85,0.2893,1.552,81.86,0.0,0.2042,0.3745,BULL,REVERSAL,REVERSAL_V513_G1_G3_G7_TIGHT_PCT_BULL_BE5,G1_G3_G7_TIGHT_PCT_BULL,TRIPLE,0.5,0.05,0.0373
0,1202,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,REVERSAL,REVERSAL_V513_G1_G3_G7_TIGHT_PCT_BULL_BE5,G1_G3_G7_TIGHT_PCT_BULL,TRIPLE,0.5,0.05,0.0373
0,1202,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,REVERSAL,REVERSAL_V513_G1_G3_G7_TIGHT_PCT_BULL_BE5,G1_G3_G7_TIGHT_PCT_BULL,TRIPLE,0.5,0.05,0.0373
31711,31711,46.69,0.1555,1.38,335.81,0.0,0.1424,0.1685,BULL,PULLBACK_V2,PULLBACK_V2_V513_G7_G13_BULL_CLV_BE5,G7_G13_BULL_CLV,PAIR,0.5,1.09,-0.1055
0,31711,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,PULLBACK_V2,PULLBACK_V2_V513_G7_G13_BULL_CLV_BE5,G7_G13_BULL_CLV,PAIR,0.5,1.09,-0.1055
0,31711,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,PULLBACK_V2,PULLBACK_V2_V513_G7_G13_BULL_CLV_BE5,G7_G13_BULL_CLV,PAIR,0.5,1.09,-0.1055
31711,31711,46.69,0.1555,1.38,335.81,0.0,0.1424,0.1685,BULL,PULLBACK_V2,PULLBACK_V2_V513_G13_G7_CLV_BULL_BE5,G13_G7_CLV_BULL,PAIR,0.5,1.09,-0.1055
0,31711,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,PULLBACK_V2,PULLBACK_V2_V513_G13_G7_CLV_BULL_BE5,G13_G7_CLV_BULL,PAIR,0.5,1.09,-0.1055
0,31711,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,PULLBACK_V2,PULLBACK_V2_V513_G13_G7_CLV_BULL_BE5,G13_G7_CLV_BULL,PAIR,0.5,1.09,-0.1055
624,624,47.76,0.19,1.518,21.33,0.0,0.1028,0.2772,BULL,MULTITF_5M,MULTITF_5M_V513_G2_G7_TGT_BULL_BE5,G2_G7_TGT_BULL,PAIR,0.5,3.56,0.1
0,624,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,MULTITF_5M,MULTITF_5M_V513_G2_G7_TGT_BULL_BE5,G2_G7_TGT_BULL,PAIR,0.5,3.56,0.1
0,624,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,MULTITF_5M,MULTITF_5M_V513_G2_G7_TGT_BULL_BE5,G2_G7_TGT_BULL,PAIR,0.5,3.56,0.1
360,360,47.22,0.2564,1.673,18.69,0.0,0.1324,0.3803,BULL,MULTITF_5M,MULTITF_5M_V513_G11_G1_G7_NOTIMM_TIGHT_BULL_BE5,G11_G1_G7_NOTIMM_TIGHT_BULL,TRIPLE,0.5,3.02,0.1664
0,360,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,MULTITF_5M,MULTITF_5M_V513_G11_G1_G7_NOTIMM_TIGHT_BULL_BE5,G11_G1_G7_NOTIMM_TIGHT_BULL,TRIPLE,0.5,3.02,0.1664
0,360,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,MULTITF_5M,MULTITF_5M_V513_G11_G1_G7_NOTIMM_TIGHT_BULL_BE5,G11_G1_G7_NOTIMM_TIGHT_BULL,TRIPLE,0.5,3.02,0.1664
212,212,47.17,0.2844,1.749,11.39,0.0,0.1206,0.4481,BULL,MULTITF_5M,MULTITF_5M_V513_G7_G14_BULL_ASYM_BE5,G7_G14_BULL_ASYM,PAIR,0.5,2.97,0.1944
0,212,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,MULTITF_5M,MULTITF_5M_V513_G7_G14_BULL_ASYM_BE5,G7_G14_BULL_ASYM,PAIR,0.5,2.97,0.1944
0,212,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,MULTITF_5M,MULTITF_5M_V513_G7_G14_BULL_ASYM_BE5,G7_G14_BULL_ASYM,PAIR,0.5,2.97,0.1944
212,212,47.17,0.2844,1.749,11.39,0.0,0.1206,0.4481,BULL,MULTITF_5M,MULTITF_5M_V513_G1_G2_G7_TIGHT_TGT_BULL_BE5,G1_G2_G7_TIGHT_TGT_BULL,TRIPLE,0.5,2.97,0.1944
0,212,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,MULTITF_5M,MULTITF_5M_V513_G1_G2_G7_TIGHT_TGT_BULL_BE5,G1_G2_G7_TIGHT_TGT_BULL,TRIPLE,0.5,2.97,0.1944
0,212,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,MULTITF_5M,MULTITF_5M_V513_G1_G2_G7_TIGHT_TGT_BULL_BE5,G1_G2_G7_TIGHT_TGT_BULL,TRIPLE,0.5,2.97,0.1944
184,184,45.65,0.2881,1.671,14.43,0.0,0.0997,0.4765,BULL,MULTITF_5M,MULTITF_5M_V513_G1_G3_G7_TIGHT_PCT_BULL_BE5,G1_G3_G7_TIGHT_PCT_BULL,TRIPLE,0.5,1.45,0.1981
0,184,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,MULTITF_5M,MULTITF_5M_V513_G1_G3_G7_TIGHT_PCT_BULL_BE5,G1_G3_G7_TIGHT_PCT_BULL,TRIPLE,0.5,1.45,0.1981
0,184,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,MULTITF_5M,MULTITF_5M_V513_G1_G3_G7_TIGHT_PCT_BULL_BE5,G1_G3_G7_TIGHT_PCT_BULL,TRIPLE,0.5,1.45,0.1981
2277,2277,41.11,0.1348,1.286,112.95,0.0,0.0809,0.1886,BULL,MULTITF_1H,MULTITF_1H_V513_G7_G13_BULL_CLV_BE5,G7_G13_BULL_CLV,PAIR,0.5,-7.85,-0.3202
0,2277,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,MULTITF_1H,MULTITF_1H_V513_G7_G13_BULL_CLV_BE5,G7_G13_BULL_CLV,PAIR,0.5,-7.85,-0.3202
0,2277,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,MULTITF_1H,MULTITF_1H_V513_G7_G13_BULL_CLV_BE5,G7_G13_BULL_CLV,PAIR,0.5,-7.85,-0.3202
2277,2277,41.11,0.1348,1.286,112.95,0.0,0.0809,0.1886,BULL,MULTITF_1H,MULTITF_1H_V513_G13_G7_CLV_BULL_BE5,G13_G7_CLV_BULL,PAIR,0.5,-7.85,-0.3202
0,2277,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,NEUTRAL,MULTITF_1H,MULTITF_1H_V513_G13_G7_CLV_BULL_BE5,G13_G7_CLV_BULL,PAIR,0.5,-7.85,-0.3202
0,2277,0.0,-9.99,0.0,0.0,0.0,-9.99,-9.99,BEAR,MULTITF_1H,MULTITF_1H_V513_G13_G7_CLV_BULL_BE5,G13_G7_CLV_BULL,PAIR,0.5,-7.85,-0.3202
