scanner,ctype,combo,be,n,nc,wr,er,pf,mdd,r5,lock_n,lock_er,lock_pf,dwr,der,ci_lo,ci_hi,adv_er,sev_er,v512_wr,v512_er,v58_wr,v58_er
EOD_BREAKOUT,SINGLE,G1_RISK_TIGHT,0.0,4210,4210,36.91,-0.1406,0.782,764.35,0.0,821,0.1874,1.337,-8.01,-0.2906,-0.1801,-0.1012,-0.2282,-0.3158,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G1_RISK_TIGHT,0.5,4210,4210,36.91,-0.0135,0.974,591.17,0.0,821,0.3245,1.773,-8.01,-0.1635,-0.0512,0.0242,-0.0977,-0.1819,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G1_RISK_TIGHT,0.8,4210,4210,36.91,-0.0314,0.941,631.18,0.0,821,0.2921,1.646,-8.01,-0.1814,-0.0694,0.0066,-0.1161,-0.2008,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G1_RISK_TIGHT,1.0,4210,4210,36.91,-0.0425,0.922,631.43,0.0,821,0.27,1.569,-8.01,-0.1925,-0.0807,-0.0044,-0.1275,-0.2125,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G1_RISK_TIGHT,1.2,4210,4210,36.91,-0.0537,0.904,642.7,0.0,821,0.2674,1.561,-8.01,-0.2037,-0.092,-0.0154,-0.139,-0.2243,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G1_RISK_TIGHT,1.5,4210,4210,36.91,-0.0699,0.878,655.56,0.0,821,0.2622,1.544,-8.01,-0.2199,-0.1084,-0.0313,-0.1556,-0.2413,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G2_TARGET_HIGH,0.0,9227,9227,41.18,-0.0713,0.874,1005.92,0.0,2140,0.1252,1.243,-3.74,-0.2213,-0.0966,-0.0459,-0.1565,-0.2418,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G2_TARGET_HIGH,0.5,9227,9227,41.18,0.0395,1.087,817.03,0.0,2140,0.246,1.624,-3.74,-0.1105,0.0153,0.0636,-0.0429,-0.1253,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G2_TARGET_HIGH,0.8,9227,9227,41.18,0.0245,1.052,865.87,0.0,2140,0.2306,1.563,-3.74,-0.1255,0.0002,0.0489,-0.0583,-0.1411,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G2_TARGET_HIGH,1.0,9227,9227,41.18,0.014,1.029,898.35,0.0,2140,0.211,1.492,-3.74,-0.136,-0.0104,0.0385,-0.069,-0.1521,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G2_TARGET_HIGH,1.2,9227,9227,41.18,0.0043,1.009,931.64,0.0,2140,0.2016,1.46,-3.74,-0.1457,-0.0202,0.0289,-0.079,-0.1623,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G2_TARGET_HIGH,1.5,9227,9227,41.18,-0.0083,0.984,946.61,0.0,2140,0.1903,1.423,-3.74,-0.1583,-0.033,0.0164,-0.0919,-0.1756,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G3_TIGHT_PCTSTOP,0.0,3684,3684,41.97,-0.055,0.912,409.18,0.0,746,0.1463,1.254,-2.95,-0.205,-0.0986,-0.0115,-0.1426,-0.2301,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G3_TIGHT_PCTSTOP,0.5,3684,3684,41.97,0.0714,1.144,369.3,0.0,746,0.2906,1.675,-2.95,-0.0786,0.0299,0.1128,-0.0127,-0.0968,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G3_TIGHT_PCTSTOP,0.8,3684,3684,41.97,0.0538,1.105,407.49,0.0,746,0.275,1.616,-2.95,-0.0962,0.012,0.0956,-0.0308,-0.1154,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G3_TIGHT_PCTSTOP,1.0,3684,3684,41.97,0.0427,1.081,407.49,0.0,746,0.2606,1.566,-2.95,-0.1073,0.0007,0.0847,-0.0422,-0.1271,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G3_TIGHT_PCTSTOP,1.2,3684,3684,41.97,0.0316,1.059,409.18,0.0,746,0.2492,1.528,-2.95,-0.1184,-0.0105,0.0738,-0.0536,-0.1388,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G3_TIGHT_PCTSTOP,1.5,3684,3684,41.97,0.0147,1.027,409.18,0.0,746,0.2235,1.449,-2.95,-0.1353,-0.0277,0.0572,-0.0709,-0.1566,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G4_HIGH_R_TGT,0.0,394,394,43.4,-0.0507,0.894,52.31,0.0,82,0.2011,1.477,-1.52,-0.2007,-0.1623,0.061,-0.1332,-0.2157,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G4_HIGH_R_TGT,0.5,394,394,43.4,0.0419,1.108,42.14,0.0,82,0.3286,2.116,-1.52,-0.1081,-0.0645,0.1482,-0.0384,-0.1186,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G4_HIGH_R_TGT,0.8,394,394,43.4,0.0294,1.074,45.98,0.0,82,0.3157,2.027,-1.52,-0.1206,-0.0777,0.1365,-0.0511,-0.1317,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G4_HIGH_R_TGT,1.0,394,394,43.4,0.0196,1.048,46.77,0.0,82,0.2815,1.824,-1.52,-0.1304,-0.0881,0.1273,-0.0612,-0.1419,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G4_HIGH_R_TGT,1.2,394,394,43.4,0.0105,1.025,47.77,0.0,82,0.2685,1.757,-1.52,-0.1395,-0.0977,0.1188,-0.0705,-0.1515,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G4_HIGH_R_TGT,1.5,394,394,43.4,0.0017,1.004,48.16,0.0,82,0.2556,1.696,-1.52,-0.1483,-0.1071,0.1104,-0.0796,-0.1608,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G5_FAST_RESOLVE,0.0,3881,3881,19.09,-0.531,0.456,2059.62,0.0,868,-0.4092,0.562,-25.83,-0.681,-0.5748,-0.4872,-0.6283,-0.7255,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G5_FAST_RESOLVE,0.5,3881,3881,19.09,-0.3338,0.571,1567.58,0.0,868,-0.1796,0.745,-25.83,-0.4838,-0.3765,-0.2911,-0.4255,-0.5172,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G5_FAST_RESOLVE,0.8,3881,3881,19.09,-0.3595,0.553,1637.35,0.0,868,-0.2211,0.703,-25.83,-0.5095,-0.4023,-0.3166,-0.4519,-0.5443,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G5_FAST_RESOLVE,1.0,3881,3881,19.09,-0.3767,0.541,1698.18,0.0,868,-0.2357,0.69,-25.83,-0.5267,-0.4197,-0.3337,-0.4696,-0.5625,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G5_FAST_RESOLVE,1.2,3881,3881,19.09,-0.3939,0.53,1731.75,0.0,868,-0.2443,0.682,-25.83,-0.5439,-0.437,-0.3508,-0.4873,-0.5807,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G5_FAST_RESOLVE,1.5,3881,3881,19.09,-0.4196,0.515,1797.83,0.0,868,-0.2748,0.656,-25.83,-0.5696,-0.4628,-0.3763,-0.5137,-0.6078,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G6_NO_STALL,0.0,10523,10523,41.51,-0.0718,0.871,1153.01,0.0,2421,0.1224,1.243,-3.41,-0.2218,-0.0951,-0.0484,-0.1567,-0.2417,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G6_NO_STALL,0.5,10523,10523,41.51,0.0372,1.083,950.62,0.0,2421,0.2418,1.627,-3.41,-0.1128,0.0149,0.0594,-0.045,-0.1272,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G6_NO_STALL,0.8,10523,10523,41.51,0.0225,1.049,997.04,0.0,2421,0.2269,1.567,-3.41,-0.1275,0.0,0.0449,-0.0601,-0.1427,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G6_NO_STALL,1.0,10523,10523,41.51,0.0123,1.026,1036.96,0.0,2421,0.2071,1.493,-3.41,-0.1377,-0.0102,0.0349,-0.0705,-0.1534,44.92,0.15,41.01,-0.074
