scanner,candidate_id,timing_mode,compound,be_threshold,n,net_wr,net_er,net_pf,max_dd_r,r5_pct,lock_n,lock_wr,lock_er,lock_pf,bull_n,bull_wr,bull_er,neut_n,neut_wr,neut_er,bear_n,bear_wr,bear_er
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_RS70_BE0,T0_IMMEDIATE,CPOS75_RS70,0.0,1465,48.74,0.0086,1.022,38.13,0.0,254,49.21,0.1172,1.313,1269,49.25,-0.0004,164,45.73,0.0899,32,43.75,-0.0484
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_RS70_BE5,T0_IMMEDIATE,CPOS75_RS70,0.5,1465,48.74,0.0904,1.298,19.6,0.0,254,49.21,0.2191,1.804,1269,49.25,0.083,164,45.73,0.1597,32,43.75,0.0295
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_RS70_BE8,T0_IMMEDIATE,CPOS75_RS70,0.8,1465,48.74,0.0446,1.127,23.1,0.0,254,49.21,0.182,1.587,1269,49.25,0.0349,164,45.73,0.135,32,43.75,-0.0373
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_RS70_BE10,T0_IMMEDIATE,CPOS75_RS70,1.0,1465,48.74,0.0305,1.084,25.59,0.0,254,49.21,0.1653,1.506,1269,49.25,0.0214,164,45.73,0.1139,32,43.75,-0.0373
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_RS70_BE12,T0_IMMEDIATE,CPOS75_RS70,1.2,1465,48.74,0.0208,1.056,29.2,0.0,254,49.21,0.1432,1.411,1269,49.25,0.0119,164,45.73,0.1035,32,43.75,-0.0484
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_RS70_BE15,T0_IMMEDIATE,CPOS75_RS70,1.5,1465,48.74,0.0126,1.033,34.7,0.0,254,49.21,0.1265,1.346,1269,49.25,0.0032,164,45.73,0.0971,32,43.75,-0.0484
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_VOL14X_BE0,T0_IMMEDIATE,CPOS75_VOL14X,0.0,754,45.09,-0.0709,0.835,76.11,0.0,137,42.34,-0.0236,0.948,576,48.44,-0.0329,140,40.0,-0.0991,38,13.16,-0.5435
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_VOL14X_BE5,T0_IMMEDIATE,CPOS75_VOL14X,0.5,754,45.09,0.0134,1.039,31.9,0.0,137,42.34,0.0845,1.243,576,48.44,0.0502,140,40.0,-0.0104,38,13.16,-0.4564
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_VOL14X_BE8,T0_IMMEDIATE,CPOS75_VOL14X,0.8,754,45.09,-0.0253,0.934,49.09,0.0,137,42.34,0.0416,1.107,576,48.44,0.0045,140,40.0,-0.0213,38,13.16,-0.4913
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_VOL14X_BE10,T0_IMMEDIATE,CPOS75_VOL14X,1.0,754,45.09,-0.0445,0.89,61.16,0.0,137,42.34,0.026,1.064,576,48.44,-0.0099,140,40.0,-0.0611,38,13.16,-0.5063
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_VOL14X_BE12,T0_IMMEDIATE,CPOS75_VOL14X,1.2,754,45.09,-0.0608,0.855,70.85,0.0,137,42.34,-0.0236,0.948,576,48.44,-0.0224,140,40.0,-0.0877,38,13.16,-0.5435
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_CPOS75_VOL14X_BE15,T0_IMMEDIATE,CPOS75_VOL14X,1.5,754,45.09,-0.0663,0.844,74.77,0.0,137,42.34,-0.0236,0.948,576,48.44,-0.0289,140,40.0,-0.0907,38,13.16,-0.5435
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_RS70_VOL14X_BE0,T0_IMMEDIATE,RS70_VOL14X,0.0,1759,51.28,0.0814,1.231,20.12,0.0,298,45.64,0.0246,1.059,1565,52.33,0.0863,159,45.28,0.0684,35,31.43,-0.0797
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_RS70_VOL14X_BE5,T0_IMMEDIATE,RS70_VOL14X,0.5,1759,51.28,0.145,1.502,17.81,0.0,298,45.64,0.1267,1.4,1565,52.33,0.1454,159,45.28,0.1692,35,31.43,0.0202
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_RS70_VOL14X_BE8,T0_IMMEDIATE,RS70_VOL14X,0.8,1759,51.28,0.1084,1.333,18.26,0.0,298,45.64,0.0742,1.201,1565,52.33,0.1085,159,45.28,0.131,35,31.43,-0.0003
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_RS70_VOL14X_BE10,T0_IMMEDIATE,RS70_VOL14X,1.0,1759,51.28,0.0976,1.29,18.95,0.0,298,45.64,0.063,1.166,1565,52.33,0.0992,159,45.28,0.1027,35,31.43,-0.0003
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_RS70_VOL14X_BE12,T0_IMMEDIATE,RS70_VOL14X,1.2,1759,51.28,0.0911,1.266,20.12,0.0,298,45.64,0.0406,1.101,1565,52.33,0.0945,159,45.28,0.0868,35,31.43,-0.0407
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_RS70_VOL14X_BE15,T0_IMMEDIATE,RS70_VOL14X,1.5,1759,51.28,0.0856,1.246,20.12,0.0,298,45.64,0.0282,1.068,1565,52.33,0.0891,159,45.28,0.0868,35,31.43,-0.0797
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_BULL_CPOS75_BE0,T0_IMMEDIATE,BULL_CPOS75,0.0,1864,49.2,0.0071,1.018,32.17,0.0,320,50.62,0.0917,1.241,1864,49.2,0.0071,0,0.0,-9.99,0,0.0,-9.99
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_BULL_CPOS75_BE5,T0_IMMEDIATE,BULL_CPOS75,0.5,1864,49.2,0.0858,1.277,25.84,0.0,320,50.62,0.1713,1.568,1864,49.2,0.0858,0,0.0,-9.99,0,0.0,-9.99
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_BULL_CPOS75_BE8,T0_IMMEDIATE,BULL_CPOS75,0.8,1864,49.2,0.0391,1.11,28.21,0.0,320,50.62,0.1392,1.417,1864,49.2,0.0391,0,0.0,-9.99,0,0.0,-9.99
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_BULL_CPOS75_BE10,T0_IMMEDIATE,BULL_CPOS75,1.0,1864,49.2,0.0277,1.075,28.5,0.0,320,50.62,0.1259,1.363,1864,49.2,0.0277,0,0.0,-9.99,0,0.0,-9.99
EOD_BREAKOUT,EOD_BREAKOUT_V514_T0_IMMEDIATE_BULL_CPOS75_BE12,T0_IMMEDIATE,BULL_CPOS75,1.2,1864,49.2,0.0187,1.05,30.0,0.0,320,50.62,0.1117,1.309,1864,49.2,0.0187,0,0.0,-9.99,0,0.0,-9.99
