scanner,timing_mode,n_candidates,n_confirmed,n_executed,retention_pct,net_wr,net_er,net_pf,max_dd_r
EOD_BREAKOUT,T0_IMMEDIATE,9668,9668,9668,100.0,51.07,0.0712,1.197,47.22
EOD_BREAKOUT,T1_CONFIRM_GREEN,9289,4236,4236,45.6,52.22,0.0701,1.22,35.12
EOD_BREAKOUT,T2_CONFIRM_DEFENSE,9259,5458,5458,58.9,51.94,0.0734,1.226,42.85
EOD_BREAKOUT,T3_CONFIRM_VOL,9830,3872,3872,39.4,50.52,0.0713,1.191,31.87
EOD_BREAKOUT,T4_CONFIRM_RANGE,9292,4608,4608,49.6,50.93,0.0517,1.153,47.78
ACCUMULATION_VCP,T0_IMMEDIATE,8381,8381,8381,100.0,49.36,0.0764,1.177,77.87
ACCUMULATION_VCP,T1_CONFIRM_GREEN,8192,4041,4041,49.3,50.93,0.0646,1.173,48.79
ACCUMULATION_VCP,T2_CONFIRM_DEFENSE,8199,4969,4969,60.6,51.04,0.0786,1.206,60.43
ACCUMULATION_VCP,T3_CONFIRM_VOL,8274,3200,3200,38.7,49.69,0.0879,1.209,32.75
ACCUMULATION_VCP,T4_CONFIRM_RANGE,8190,4413,4413,53.9,49.97,0.0553,1.141,55.83
REVERSAL,T0_IMMEDIATE,10579,10579,10579,100.0,41.02,-0.0174,0.974,323.29
REVERSAL,T1_CONFIRM_GREEN,13348,6659,6659,49.9,47.89,0.1257,1.224,64.82
REVERSAL,T2_CONFIRM_DEFENSE,12853,9017,9017,70.2,44.62,0.0498,1.082,120.25
REVERSAL,T3_CONFIRM_VOL,12387,3795,3795,30.6,45.72,0.0663,1.112,70.66
REVERSAL,T4_CONFIRM_RANGE,12882,7886,7886,61.2,46.07,0.0859,1.146,71.38
PULLBACK_V2,T0_IMMEDIATE,21369,21369,21369,100.0,41.19,-0.007,0.989,447.03
PULLBACK_V2,T1_CONFIRM_GREEN,26423,12960,12960,49.0,47.78,0.1374,1.252,130.55
PULLBACK_V2,T2_CONFIRM_DEFENSE,25434,13175,13175,51.8,48.07,0.1552,1.282,106.75
PULLBACK_V2,T3_CONFIRM_VOL,24465,8101,8101,33.1,46.85,0.1098,1.195,55.23
PULLBACK_V2,T4_CONFIRM_RANGE,25530,15270,15270,59.8,46.19,0.1027,1.18,141.26
MULTITF_5M,T0_IMMEDIATE,1041,1041,1041,100.0,36.6,-0.0954,0.659,105.75
MULTITF_5M,T1_CONFIRM_GREEN,1550,530,530,34.2,34.34,-0.1031,0.621,61.61
MULTITF_5M,T2_CONFIRM_DEFENSE,1248,798,798,63.9,35.59,-0.0877,0.661,76.05
MULTITF_5M,T3_CONFIRM_VOL,1386,692,692,49.9,34.39,-0.0971,0.657,74.57
MULTITF_5M,T4_CONFIRM_RANGE,1399,663,663,47.4,35.6,-0.0883,0.66,67.0
MULTITF_1H,T0_IMMEDIATE,3417,3417,3417,100.0,41.09,-0.072,0.776,267.38
MULTITF_1H,T1_CONFIRM_GREEN,3396,1547,1547,45.6,39.95,-0.0814,0.728,130.86
MULTITF_1H,T2_CONFIRM_DEFENSE,3396,2269,2269,66.8,39.97,-0.0888,0.717,206.45
MULTITF_1H,T3_CONFIRM_VOL,3394,2148,2148,63.3,39.39,-0.0985,0.708,222.65
MULTITF_1H,T4_CONFIRM_RANGE,3392,1867,1867,55.0,40.97,-0.0821,0.736,165.23
