scanner,champion_id,regime,n,wr,er
EOD_BREAKOUT,EOD_BREAKOUT_V514_T2_CONFIRM_DEFENSE_BULL_RS70_VOL14X_BE5,BULL,915,54.64,0.1429
EOD_BREAKOUT,EOD_BREAKOUT_V514_T2_CONFIRM_DEFENSE_BULL_RS70_VOL14X_BE5,NEUTRAL,0,0.0,-9.99
EOD_BREAKOUT,EOD_BREAKOUT_V514_T2_CONFIRM_DEFENSE_BULL_RS70_VOL14X_BE5,BEAR,0,0.0,-9.99
ACCUMULATION_VCP,ACCUMULATION_VCP_V514_T4_CONFIRM_RANGE_BULL_RS70_VOL14X_BE5,BULL,722,53.32,0.17
ACCUMULATION_VCP,ACCUMULATION_VCP_V514_T4_CONFIRM_RANGE_BULL_RS70_VOL14X_BE5,NEUTRAL,0,0.0,-9.99
ACCUMULATION_VCP,ACCUMULATION_VCP_V514_T4_CONFIRM_RANGE_BULL_RS70_VOL14X_BE5,BEAR,0,0.0,-9.99
REVERSAL,REVERSAL_V514_T1_CONFIRM_GREEN_QUAD_BULL_CPOS75_RS70_VOL14X_BE5,BULL,116,61.21,0.6023
REVERSAL,REVERSAL_V514_T1_CONFIRM_GREEN_QUAD_BULL_CPOS75_RS70_VOL14X_BE5,NEUTRAL,0,0.0,-9.99
REVERSAL,REVERSAL_V514_T1_CONFIRM_GREEN_QUAD_BULL_CPOS75_RS70_VOL14X_BE5,BEAR,0,0.0,-9.99
PULLBACK_V2,PULLBACK_V2_V514_T1_CONFIRM_GREEN_RS70_VOL14X_BE5,BULL,508,49.8,0.3069
PULLBACK_V2,PULLBACK_V2_V514_T1_CONFIRM_GREEN_RS70_VOL14X_BE5,NEUTRAL,30,53.33,0.5459
PULLBACK_V2,PULLBACK_V2_V514_T1_CONFIRM_GREEN_RS70_VOL14X_BE5,BEAR,46,91.3,1.6216
MULTITF_5M,MULTITF_5M_V514_T0_IMMEDIATE_STRUCTURE_TIGHT_NONBEAR_CPOS75_BE0,BULL,419,33.17,-0.1406
MULTITF_5M,MULTITF_5M_V514_T0_IMMEDIATE_STRUCTURE_TIGHT_NONBEAR_CPOS75_BE0,NEUTRAL,322,39.44,-0.0748
MULTITF_5M,MULTITF_5M_V514_T0_IMMEDIATE_STRUCTURE_TIGHT_NONBEAR_CPOS75_BE0,BEAR,0,0.0,-9.99
MULTITF_1H,MULTITF_1H_V514_T1_CONFIRM_GREEN_BULL_CPOS75_RS70_BE5,BULL,129,39.53,0.0517
MULTITF_1H,MULTITF_1H_V514_T1_CONFIRM_GREEN_BULL_CPOS75_RS70_BE5,NEUTRAL,0,0.0,-9.99
MULTITF_1H,MULTITF_1H_V514_T1_CONFIRM_GREEN_BULL_CPOS75_RS70_BE5,BEAR,0,0.0,-9.99
