scanner,feature,n,net_wr,net_er,net_pf,max_dd_r
EOD_BREAKOUT,F_BASE,9668,51.07,0.0712,1.197,47.22
EOD_BREAKOUT,F1_CPOS_70,2914,47.87,-0.0011,0.997,55.29
EOD_BREAKOUT,F1_CPOS_75,2378,47.31,-0.0161,0.96,65.12
EOD_BREAKOUT,F2_RS_70,6300,52.1,0.0922,1.266,42.85
EOD_BREAKOUT,F2_RS_80,4357,52.12,0.0901,1.264,41.89
EOD_BREAKOUT,F3_VOL_14X,2755,49.66,0.0513,1.138,24.47
EOD_BREAKOUT,F3_VOL_18X,778,47.04,0.0146,1.036,32.39
EOD_BREAKOUT,F4_TIGHT_SPAN,1261,41.79,-0.1121,0.778,156.08
EOD_BREAKOUT,F5_TIGHT_RISK,1988,52.31,0.1757,1.411,24.27
EOD_BREAKOUT,F6_REGIME_BULL,8003,51.99,0.0819,1.233,39.91
EOD_BREAKOUT,F6_REGIME_NONBEAR,9306,51.3,0.0743,1.207,48.01
EOD_BREAKOUT,F7_TREND_SMA,7216,51.61,0.0784,1.22,50.21
EOD_BREAKOUT,F8_MOMENTUM_RSI,6651,49.87,0.0481,1.128,66.98
EOD_BREAKOUT,F9_ADX_TRENDING,8773,52.54,0.1017,1.296,49.0
ACCUMULATION_VCP,F_BASE,8381,49.36,0.0764,1.177,77.87
ACCUMULATION_VCP,F1_CPOS_70,2694,45.17,-0.0214,0.955,99.35
ACCUMULATION_VCP,F1_CPOS_75,2216,45.31,-0.0241,0.95,79.2
ACCUMULATION_VCP,F2_RS_70,5780,50.92,0.1023,1.248,56.36
ACCUMULATION_VCP,F2_RS_80,4395,51.31,0.1095,1.271,53.54
ACCUMULATION_VCP,F3_VOL_14X,2255,49.49,0.0742,1.172,48.69
ACCUMULATION_VCP,F3_VOL_18X,599,47.75,0.0506,1.114,21.18
ACCUMULATION_VCP,F4_TIGHT_SPAN,737,36.77,-0.1991,0.675,160.08
ACCUMULATION_VCP,F5_TIGHT_RISK,4134,49.9,0.1359,1.286,40.27
ACCUMULATION_VCP,F6_REGIME_BULL,6948,50.45,0.0975,1.234,49.42
ACCUMULATION_VCP,F6_REGIME_NONBEAR,7994,49.64,0.0802,1.188,62.3
ACCUMULATION_VCP,F7_TREND_SMA,6176,50.1,0.0918,1.218,57.91
ACCUMULATION_VCP,F8_MOMENTUM_RSI,3131,51.42,0.1356,1.323,34.57
ACCUMULATION_VCP,F9_ADX_TRENDING,6956,52.26,0.1421,1.355,48.05
REVERSAL,F_BASE,10579,41.02,-0.0174,0.974,323.29
REVERSAL,F1_CPOS_70,7597,40.61,-0.0315,0.953,324.7
REVERSAL,F1_CPOS_75,6040,40.43,-0.0396,0.941,353.68
REVERSAL,F2_RS_70,2313,40.6,-0.0246,0.963,115.62
REVERSAL,F2_RS_80,1330,40.53,-0.0234,0.965,83.67
REVERSAL,F3_VOL_14X,2154,44.48,0.0759,1.122,28.16
REVERSAL,F3_VOL_18X,697,43.04,0.0174,1.028,29.42
