scanner,timing_mode,n_raw,n_confirmed,n_executed,retention_pct,net_wr,net_er,net_pf,max_dd_r
EOD_BREAKOUT,T0_IMMEDIATE,10471,9601,9601,91.69,51.21,0.0745,1.208,47.16
EOD_BREAKOUT,T1_CONFIRM_GREEN,10471,4215,4215,40.25,52.27,0.0715,1.226,35.12
EOD_BREAKOUT,T2_CONFIRM_DEFENSE,10471,5436,5436,51.91,52.04,0.0758,1.235,42.85
EOD_BREAKOUT,T3_CONFIRM_VOL,10471,3844,3844,36.71,50.73,0.0762,1.206,30.67
EOD_BREAKOUT,T4_CONFIRM_RANGE,10471,4582,4582,43.76,51.03,0.0539,1.161,50.13
ACCUMULATION_VCP,T0_IMMEDIATE,8601,8339,8339,96.95,49.51,0.0804,1.188,75.45
ACCUMULATION_VCP,T1_CONFIRM_GREEN,8601,4028,4028,46.83,51.07,0.0673,1.181,48.79
ACCUMULATION_VCP,T2_CONFIRM_DEFENSE,8601,4951,4951,57.56,51.16,0.0811,1.214,58.01
ACCUMULATION_VCP,T3_CONFIRM_VOL,8601,3183,3183,37.01,49.92,0.0933,1.224,29.23
ACCUMULATION_VCP,T4_CONFIRM_RANGE,8601,4392,4392,51.06,50.14,0.0584,1.15,58.17
REVERSAL,T0_IMMEDIATE,14527,10501,10501,72.29,41.14,-0.0137,0.98,296.59
REVERSAL,T1_CONFIRM_GREEN,14527,6610,6610,45.5,48.02,0.1285,1.23,62.4
REVERSAL,T2_CONFIRM_DEFENSE,14527,8953,8953,61.63,44.74,0.0529,1.087,111.58
REVERSAL,T3_CONFIRM_VOL,14527,3765,3765,25.92,45.84,0.0686,1.116,63.08
REVERSAL,T4_CONFIRM_RANGE,14527,7829,7829,53.89,46.19,0.0885,1.151,68.96
PULLBACK_V2,T0_IMMEDIATE,28294,21170,21170,74.82,41.28,-0.0043,0.993,407.88
PULLBACK_V2,T1_CONFIRM_GREEN,28294,12852,12852,45.42,47.89,0.1403,1.258,124.71
PULLBACK_V2,T2_CONFIRM_DEFENSE,28294,13053,13053,46.13,48.24,0.1597,1.292,98.54
PULLBACK_V2,T3_CONFIRM_VOL,28294,8037,8037,28.41,46.95,0.1122,1.2,59.74
PULLBACK_V2,T4_CONFIRM_RANGE,28294,15148,15148,53.54,46.27,0.1045,1.183,137.29
