scanner,layer_num,layer_name,n,net_wr,net_er,net_pf,max_dd_r
EOD_BREAKOUT,0,L0_RAW_UNFILTERED_BASE,9601,51.21,0.0745,1.208,47.16
EOD_BREAKOUT,1,L1_TIMING_ONLY_T2_CONFIRM_DEFENSE,5436,52.04,0.0758,1.235,42.85
EOD_BREAKOUT,2,L2_COMPOUND_GATED_ONLY,1556,52.25,0.084,1.246,18.65
EOD_BREAKOUT,3,L3_COMPOUND_PLUS_TIMING_T2_CONFIRM_DEFENSE,913,54.65,0.1015,1.34,11.89
EOD_BREAKOUT,4,L4_FULL_CHAMPION_BE5,913,54.65,0.142,1.55,9.49
ACCUMULATION_VCP,0,L0_RAW_UNFILTERED_BASE,8339,49.51,0.0804,1.188,75.45
ACCUMULATION_VCP,1,L1_TIMING_ONLY_T4_CONFIRM_RANGE,4392,50.14,0.0584,1.15,58.17
ACCUMULATION_VCP,2,L2_COMPOUND_GATED_ONLY,1383,52.13,0.1111,1.283,20.34
ACCUMULATION_VCP,3,L3_COMPOUND_PLUS_TIMING_T4_CONFIRM_RANGE,719,53.55,0.0902,1.248,19.67
ACCUMULATION_VCP,4,L4_FULL_CHAMPION_BE5,719,53.55,0.175,1.627,10.03
REVERSAL,0,L0_RAW_UNFILTERED_BASE,10501,41.14,-0.0137,0.98,296.59
REVERSAL,1,L1_TIMING_ONLY_T1_CONFIRM_GREEN,6610,48.02,0.1285,1.23,62.4
REVERSAL,2,L2_COMPOUND_GATED_ONLY,171,50.88,0.2429,1.457,13.03
REVERSAL,3,L3_COMPOUND_PLUS_TIMING_T1_CONFIRM_GREEN,115,60.87,0.3978,1.949,4.61
REVERSAL,4,L4_FULL_CHAMPION_BE5,115,60.87,0.5915,3.623,2.41
PULLBACK_V2,0,L0_RAW_UNFILTERED_BASE,21170,41.28,-0.0043,0.993,407.88
PULLBACK_V2,1,L1_TIMING_ONLY_T1_CONFIRM_GREEN,12852,47.89,0.1403,1.258,124.71
PULLBACK_V2,2,L2_COMPOUND_GATED_ONLY,984,45.83,0.084,1.149,31.8
PULLBACK_V2,3,L3_COMPOUND_PLUS_TIMING_T1_CONFIRM_GREEN,577,53.21,0.2694,1.597,13.65
PULLBACK_V2,4,L4_FULL_CHAMPION_BE5,577,53.21,0.4244,2.432,10.08
