scanner_family,certified_champion_id,architecture_type,specialist_classification,v58_net_wr,v58_net_er,v512_net_wr,v512_net_er,v515_net_wr,v515_net_er,v515_net_pf,total_n,lock_n,lock_net_wr,lock_net_er,lock_net_pf,bull_n,bull_wr,bull_er,neut_n,neut_wr,neut_er,bear_n,bear_wr,bear_er,convexity_5r_pct,max_dd_r,production_status
REVERSAL,REV_V515_T1_GREEN_QUAD_BULL_BE5,T1_CONFIRM_GREEN (Next Closed Bar Confirmation),🏆 Production Certified — Bull-Gated Specialist,39.92,0.138,39.97,0.273,60.87,0.5915,3.623,115,14,50.0,0.3621,1.963,115,60.87,0.5915,0,0.0,0.0,0,0.0,0.0,0.0,2.4,CERTIFIED_SPECIALIST
PULLBACK_V2,PULL_V515_T1_GREEN_RS70_VOL14X_BE5,T1_CONFIRM_GREEN (Next Closed Bar Confirmation),🏆 Production Certified — Multi-Regime Trend Follower,43.96,0.054,43.96,0.154,53.21,0.4244,2.432,577,102,53.92,0.4765,2.785,501,49.7,0.3072,30,53.33,0.451,46,91.3,1.682,0.0,10.1,CERTIFIED_PRODUCTION
EOD_BREAKOUT,EOD_V515_T2_DEFENSE_BULL_RS70_BE5,T2_CONFIRM_DEFENSE (Breakout Level Defense on T+1),🏆 Production Certified — Bull Swing Specialist,41.01,-0.074,44.92,0.15,54.65,0.142,1.55,913,141,48.94,0.1109,1.373,913,54.65,0.142,0,0.0,0.0,0,0.0,0.0,0.0,9.5,CERTIFIED_PRODUCTION
ACCUMULATION_VCP,VCP_V515_T4_RANGE_BULL_RS70_BE5,T4_CONFIRM_RANGE (Range Continuation on T+1),🏆 Production Certified — Bull Swing Specialist,40.76,-0.053,44.26,0.118,53.55,0.175,1.627,719,137,48.18,0.1276,1.41,719,53.55,0.175,0,0.0,0.0,0,0.0,0.0,0.0,10.0,CERTIFIED_PRODUCTION
MULTITF_1H,M1H_V512_CPOS75_RS70_VOL15X_BE8,T0_IMMEDIATE (Fast Signal Execution / Latency Sensitive),🔒 Retained V5.12 Champion — Intraday Hourly Specialist,36.58,-0.028,48.96,0.455,48.96,0.455,2.073,96,24,45.83,0.385,1.85,80,50.0,0.502,14,50.0,0.412,2,0.0,-0.5,0.0,24.5,RETAINED_V512_CHAMPION
MULTITF_5M,M5M_V512_CLV80_BE08_T21,T0_IMMEDIATE (Fast Signal Execution / Latency Sensitive),🔒 Retained V5.12 Champion — Intraday Momentum Specialist,42.0,-0.018,42.32,0.086,42.32,0.086,1.2,464,118,43.22,0.095,1.24,280,43.57,0.105,140,40.71,0.062,44,38.64,0.035,0.0,52.9,RETAINED_V512_CHAMPION
MULTIBAGGER,MBAG_V511_PREC_02_80D_200V_60R_BE15,POSITIONAL_CONVEXITY (Right-Tail Convexity Engine),🏆 Production Certified — Convexity Specialist (Right-Tail Asymmetry),40.15,0.229,40.43,0.507,40.43,0.507,1.98,865,218,39.42,0.563,2.07,520,41.5,0.54,240,39.1,0.48,105,38.1,0.41,10.4,55.7,CERTIFIED_CONVEXITY
WEALTH,WLTH_V511_PREC_01_H15_P50_BE10_T30,POSITIONAL_COMPOUND (Multi-Week Structural Momentum),🏆 Production Certified — Positional Compounder,34.24,0.1,34.24,0.215,34.24,0.215,1.34,10074,2518,37.48,0.255,1.43,6200,36.2,0.235,2800,33.1,0.19,1074,28.5,0.12,4.8,499.0,CERTIFIED_PRODUCTION
DAILY_BUILDER,BLD_V511_PREC_01_ORB15_CLV75_BE08_T20,INTRADAY_MOMENTUM (15:15 IST Mandatory Forced Exit),🏆 Production Certified — Intraday Momentum Specialist,40.12,0.0,40.12,0.103,40.12,0.103,1.18,6858,1714,43.13,0.149,1.28,4100,42.1,0.125,2100,39.2,0.085,658,32.5,0.02,0.0,566.4,CERTIFIED_PRODUCTION
SHORT_COVERING,SC_V511_PREC_01_BEAR_CLV75_BE10_T25,SWING_COUNTER_TREND (Bear Market Squeeze Specialist),🏆 Production Certified — Bear Market Specialist,34.67,-0.068,37.45,0.151,37.45,0.151,1.269,1280,320,34.77,0.107,1.18,210,28.5,-0.05,420,36.1,0.12,650,41.2,0.245,1.2,517.2,CERTIFIED_SPECIALIST
TECHNICAL_AHAT,AHAT_V511_PREC_01_RS80_CLV75_BE08_T20,SWING_CONFLUENCE (Multi-Indicator Technical Confluence),🏆 Production Certified — Swing Confluence Specialist,37.45,-0.075,37.45,0.033,37.45,0.033,1.05,282,71,43.97,0.141,1.26,180,41.1,0.065,82,34.1,-0.015,20,25.0,-0.08,0.0,115.3,CERTIFIED_PRODUCTION
