target,n,wr,avg_win,avg_loss,wl_ratio,expectancy,pf,dd,r5_pct
1.00R,4285,59.74,0.685,0.72,0.95,0.1195,1.412,14.61,0.0
1.25R,4285,52.32,0.806,0.609,1.32,0.1311,1.451,15.19,0.0
1.50R,4285,46.3,0.899,0.542,1.66,0.1255,1.431,17.42,0.0
1.75R,4285,42.03,0.976,0.502,1.94,0.119,1.409,23.04,0.0
2.00R,4285,38.34,1.027,0.473,2.17,0.1024,1.351,29.14,0.0
2.50R,4285,33.26,1.086,0.437,2.48,0.0691,1.237,45.55,0.0
3.00R,4285,29.38,1.064,0.414,2.57,0.0204,1.07,69.73,0.0
4.00R,4285,25.3,0.96,0.392,2.45,-0.0496,0.83,228.86,0.0
5.00R,4285,23.2,0.815,0.381,2.14,-0.1037,0.646,456.77,0.0
RUNNER_EOD,4285,20.37,0.247,0.368,0.67,-0.2427,0.172,1038.7,0.0
