scanner,gross_wr,net_wr,gross_er,net_er,gross_pf,net_pf,friction_drag_er
REVERSAL,63.48,60.87,0.842,0.7188,5.14,4.22,0.1232
PULLBACK_V2,55.81,53.21,0.654,0.538,3.82,3.01,0.116
EOD_BREAKOUT,57.28,54.65,0.334,0.221,2.48,1.95,0.113
ACCUMULATION_VCP,56.19,53.55,0.368,0.251,2.65,2.08,0.117
MULTITF_1H,51.45,48.96,0.648,0.5502,3.1,2.45,0.0978
MULTITF_5M,45.66,43.1,0.262,0.1801,2.05,1.62,0.0819
MULTIBAGGER,42.2,40.43,0.814,0.7018,2.95,2.41,0.1122
WEALTH,35.8,34.24,0.395,0.299,1.92,1.58,0.096
DAILY_BUILDER,45.88,43.52,0.559,0.471,4.76,3.82,0.088
SHORT_COVERING,40.33,38.2,0.362,0.246,1.98,1.54,0.116
TECHNICAL_AHAT,40.74,38.5,0.268,0.16,1.76,1.39,0.108
