scanner,ablation,n,wr,er,pf,mdd,delta_er
DAILY_BUILDER,FULL_V516_CHAMPION,972,43.52,0.471,3.818,9.32,0.0
DAILY_BUILDER,LOCO_MINUS_BE_MOD,972,38.1,0.2885,2.15,14.8,-0.1825
DAILY_BUILDER,LOCO_MINUS_ORB_MOD,3134,42.6,0.2295,1.904,15.18,-0.2415
DAILY_BUILDER,LOCO_MINUS_RS_MOD,1450,39.8,0.321,2.38,13.2,-0.15
DAILY_BUILDER,LOCO_MINUS_CLV_MOD,1380,40.2,0.342,2.52,12.5,-0.129
DAILY_BUILDER,LOCO_MINUS_TGT_MOD,972,45.8,0.382,2.89,11.2,-0.089
REVERSAL,FULL_V516_CHAMPION,115,60.87,0.7188,4.22,2.1,0.0
REVERSAL,LOCO_MINUS_TGT30_MOD,115,60.87,0.5915,3.623,2.4,-0.1273
REVERSAL,LOCO_MINUS_BE10_MOD,115,58.26,0.6878,3.98,2.3,-0.031
PULLBACK_V2,FULL_V516_CHAMPION,577,53.21,0.538,3.01,4.2,0.0
PULLBACK_V2,LOCO_MINUS_TGT25_MOD,577,53.21,0.4244,2.432,4.8,-0.1136
PULLBACK_V2,LOCO_MINUS_BE10_MOD,577,51.1,0.497,2.75,4.5,-0.041
MULTIBAGGER,FULL_V516_CHAMPION,109,40.43,0.7018,2.41,5.2,0.0
MULTIBAGGER,LOCO_MINUS_RUNNER_MOD,109,40.43,0.507,1.98,5.8,-0.1948
