scanner,role,configuration,n,wr,avg_win,avg_loss,wl_ratio,expectancy,pf,net_expectancy,mdd,r5_pct,classification
REVERSAL,CONTROL_V515,REV_V515_T1_GREEN_QUAD_BULL_BE5,115,60.87,1.185,0.332,3.57,0.5915,3.623,0.5915,2.4,0.0,CONTROL
REVERSAL,CHALLENGER_V516_CHAMPION,REV_V516_T1_GREEN_QUAD_BULL_BE10_T30,115,60.87,1.38,0.31,4.45,0.7188,4.22,0.7188,2.1,2.6,TRUE_UPGRADE
PULLBACK_V2,CONTROL_V515,PULL_V515_T1_GREEN_RS70_VOL14X_BE5,577,53.21,1.12,0.37,3.03,0.4244,2.432,0.4244,4.8,0.0,CONTROL
PULLBACK_V2,CHALLENGER_V516_CHAMPION,PULL_V516_T1_GREEN_RS70_VOL14X_BE10_T25,577,53.21,1.31,0.34,3.85,0.538,3.01,0.538,4.2,1.8,TRUE_UPGRADE
EOD_BREAKOUT,CONTROL_V515,EOD_V515_T2_DEFENSE_BULL_RS70_BE5,913,54.65,0.605,0.415,1.46,0.142,1.55,0.142,9.5,0.0,CONTROL
EOD_BREAKOUT,CHALLENGER_V516_CHAMPION,EOD_V516_T2_DEFENSE_BULL_RS70_BE08_T22,913,54.65,0.72,0.38,1.89,0.221,1.95,0.221,8.4,0.5,TRUE_UPGRADE
ACCUMULATION_VCP,CONTROL_V515,VCP_V515_T4_RANGE_BULL_RS70_BE5,719,53.55,0.672,0.4,1.68,0.175,1.627,0.175,10.0,0.0,CONTROL
ACCUMULATION_VCP,CHALLENGER_V516_CHAMPION,VCP_V516_T4_RANGE_BULL_RS70_BE08_T25,719,53.55,0.79,0.37,2.14,0.251,2.08,0.251,8.8,0.8,TRUE_UPGRADE
MULTITF_1H,CONTROL_V515,M1H_V512_CPOS75_RS70_VOL15X_BE8,241,48.96,1.345,0.4,3.36,0.455,2.073,0.455,4.2,0.0,CONTROL
MULTITF_1H,CHALLENGER_V516_CHAMPION,M1H_V516_CPOS75_RS70_VOL15X_BE10_T25,241,48.96,1.52,0.38,4.0,0.5502,2.45,0.5502,3.8,1.5,TRUE_UPGRADE
MULTITF_5M,CONTROL_V515,M5M_V512_CLV80_BE08_T21,541,42.32,0.72,0.378,1.9,0.086,1.2,0.086,7.4,0.0,CONTROL
MULTITF_5M,CHALLENGER_V516_CHAMPION,M5M_V516_CLV80_BE10_T25,541,43.1,0.88,0.35,2.51,0.1801,1.62,0.1801,6.2,0.0,TRUE_UPGRADE
MULTIBAGGER,CONTROL_V515,MBAG_V511_PREC_02_80D_200V_60R_BE15,109,40.43,2.21,0.65,3.4,0.507,1.98,0.507,5.8,10.4,CONTROL
MULTIBAGGER,CHALLENGER_V516_CHAMPION,MBAG_V516_PREC_02_80D_200V_60R_BE15_RUNNER,109,40.43,2.65,0.62,4.27,0.7018,2.41,0.7018,5.2,14.8,TRUE_UPGRADE
WEALTH,CONTROL_V515,WLTH_V511_PREC_01_H15_P50_BE10_T30,10074,34.24,1.48,0.443,3.34,0.215,1.34,0.215,14.2,4.2,CONTROL
WEALTH,CHALLENGER_V516_CHAMPION,WLTH_V516_PREC_01_H15_P50_BE12_T35,10074,34.24,1.68,0.42,4.0,0.299,1.58,0.299,12.1,6.1,TRUE_UPGRADE
DAILY_BUILDER,CONTROL_V515,BLD_V511_PREC_01_ORB15_CLV75_BE08_T20,4285,33.35,1.126,0.438,2.57,0.0839,1.288,0.0839,32.7,0.0,CONTROL
DAILY_BUILDER,CHALLENGER_V516_CHAMPION,BLD_V516_ORB15_PREC_RS70_CLV75_BE10_T25,972,43.52,1.466,0.296,4.95,0.471,3.818,0.471,9.32,1.2,TRUE_UPGRADE
SHORT_COVERING,CONTROL_V515,SC_V511_PREC_01_BEAR_CLV75_BE10_T25,243,37.45,1.24,0.5,2.48,0.151,1.269,0.151,6.8,0.0,CONTROL
SHORT_COVERING,CHALLENGER_V516_CHAMPION,SC_V516_PREC_01_BEAR_CLV75_BE10_T28,243,38.2,1.42,0.48,2.96,0.246,1.54,0.246,5.9,0.8,TRUE_UPGRADE
TECHNICAL_AHAT,CONTROL_V515,AHAT_V511_PREC_01_RS80_CLV75_BE08_T20,243,37.45,0.94,0.51,1.84,0.033,1.05,0.033,8.5,0.0,CONTROL
TECHNICAL_AHAT,CHALLENGER_V516_CHAMPION,AHAT_V516_PREC_01_RS80_CLV75_BE10_T25,243,38.5,1.15,0.46,2.5,0.16,1.39,0.16,7.1,0.4,TRUE_UPGRADE
