excluded_scanner,portfolio_total_r,portfolio_mdd,marginal_r_lost,marginal_dd_change,role
NONE_FULL_11,4683.5,12.0,0.0,0.0,COMPLETE_ENSEMBLE
WEALTH,1671.4,9.4,-3012.1,-2.6,ANCHOR_COMPOUNDER
DAILY_BUILDER,4225.7,11.2,-457.8,-0.8,INTRADAY_VELOCITY
PULLBACK_V2,4373.1,11.5,-310.4,-0.5,SWING_TREND_ENGINE
EOD_BREAKOUT,4481.7,11.1,-201.8,-0.9,HIGH_LIQUIDITY_BASE
ACCUMULATION_VCP,4503.0,11.2,-180.5,-0.8,VOLATILITY_SQUEEZE
MULTITF_1H,4550.9,11.8,-132.6,-0.2,INTRADAY_IGNITION
MULTITF_5M,4586.1,11.7,-97.4,-0.3,MICROSTRUCTURE_SCALP
REVERSAL,4600.8,11.9,-82.7,-0.1,HIGH_WR_SPECIALIST
MULTIBAGGER,4607.0,11.6,-76.5,-0.4,RIGHT_TAIL_CONVEXITY
SHORT_COVERING,4623.7,11.8,-59.8,-0.2,BEAR_HEDGE_SPECIALIST
TECHNICAL_AHAT,4644.6,11.9,-38.9,-0.1,CONFLUENCE_CONFIRMATION
