scanner,ctrl_er,entry_delta,exit_delta,be_delta,tgt_delta,trail_delta,interaction,final_er,primary_driver
DAILY_BUILDER,0.0839,0.1456,0.032,0.1825,0.089,0.0,-0.062,0.471,BE_EXPANSION_AND_ENTRY_GATING
REVERSAL,0.5915,0.0,0.021,0.031,0.0825,0.0,-0.0072,0.7188,TARGET_EXPANSION_TO_3R
PULLBACK_V2,0.4244,0.0,0.015,0.041,0.068,0.0,-0.0104,0.538,TARGET_AND_BE_EXPANSION
EOD_BREAKOUT,0.142,0.0,0.012,0.018,0.054,0.0,-0.005,0.221,TARGET_EXPANSION_TO_2.2R
ACCUMULATION_VCP,0.175,0.0,0.014,0.019,0.048,0.0,-0.005,0.251,TARGET_EXPANSION_TO_2.5R
MULTITF_1H,0.455,0.0,0.018,0.024,0.058,0.0,-0.0048,0.5502,TARGET_AND_BE_RELAXATION
MULTITF_5M,0.086,0.021,0.011,0.028,0.039,0.0,-0.0049,0.1801,TARGET_AND_BE_RELAXATION
MULTIBAGGER,0.507,0.0,0.045,0.038,0.125,0.012,-0.0252,0.7018,CONVEXITY_RUNNER_EXTENSION
WEALTH,0.215,0.0,0.018,0.021,0.049,0.0,-0.004,0.299,HOLDING_TARGET_EXPANSION
SHORT_COVERING,0.151,0.012,0.014,0.022,0.051,0.0,-0.004,0.246,TARGET_EXPANSION_TO_2.8R
TECHNICAL_AHAT,0.033,0.015,0.018,0.031,0.068,0.0,-0.005,0.16,TARGET_AND_BE_EXPANSION
