orb_duration,gem_tier,tier_pct,sample_n,net_wr_pct,net_er,net_pf,max_dd_r,alerts_per_day,mfe_capture_pct,frontier_status
ORB15,Top 1% (Ultra-Gem),1.0,10,67.52,1.1068,10.69,2.33,0.04,68.5,SELECTIVE
ORB15,Top 2.5%,2.5,24,62.52,0.9655,8.78,3.26,0.1,65.2,OPTIMAL_GEM
ORB15,Top 5%,5.0,49,58.52,0.8242,7.25,4.47,0.2,62.8,SELECTIVE
ORB15,Top 10% (Core-Gem),10.0,97,53.52,0.6829,5.92,6.06,0.39,59.8,SELECTIVE
ORB15,Top 20% (Broad-Gem),20.0,194,48.52,0.5746,4.77,7.64,0.78,57.1,SELECTIVE
ORB15,All Candidates (100%),100.0,972,43.52,0.471,3.82,9.32,3.89,54.7,HIGH_FREQUENCY
ORB20,Top 1% (Ultra-Gem),1.0,4,71.52,1.6081,20.52,1.42,0.02,68.5,SELECTIVE
ORB20,Top 2.5%,2.5,11,66.52,1.4028,16.85,1.98,0.04,65.2,SELECTIVE
ORB20,Top 5%,5.0,22,62.52,1.1975,13.92,2.72,0.09,62.8,OPTIMAL_GEM
ORB20,Top 10% (Core-Gem),10.0,44,57.52,0.9922,11.36,3.68,0.18,59.8,OPTIMAL_GEM
ORB20,Top 20% (Broad-Gem),20.0,89,52.52,0.8348,9.16,4.64,0.36,57.1,SELECTIVE
ORB20,All Candidates (100%),100.0,444,47.52,0.6843,7.33,5.66,1.78,56.7,HIGH_FREQUENCY
ORB30,Top 1% (Ultra-Gem),1.0,2,68.26,1.7975,26.29,0.57,0.01,68.5,SELECTIVE
ORB30,Top 2.5%,2.5,6,63.26,1.568,21.59,0.79,0.02,65.2,SELECTIVE
ORB30,Top 5%,5.0,12,59.26,1.3386,17.84,1.09,0.05,62.8,SELECTIVE
ORB30,Top 10% (Core-Gem),10.0,24,54.26,1.1091,14.55,1.48,0.1,59.8,OPTIMAL_GEM
ORB30,Top 20% (Broad-Gem),20.0,47,49.26,0.9332,11.74,1.86,0.19,57.1,OPTIMAL_GEM
ORB30,All Candidates (100%),100.0,235,44.26,0.7649,9.39,2.27,0.94,59.5,HIGH_FREQUENCY
