orb_duration,quantile,sample_n,net_wr_pct,avg_win_r,avg_loss_r,wl_ratio,net_er,net_pf,step_behavior,monotonic_check
ORB15,Q1 (Top 20%),194,58.76,1.62,0.28,5.79,0.835,6.85,Peak,PASS
ORB15,Q2 (20-40%),194,49.48,1.34,0.32,4.19,0.501,3.42,Step 1 (-40%),PASS
ORB15,Q3 (40-60%),195,42.05,1.12,0.38,2.95,0.25,1.88,Step 2 (-50%),PASS
ORB15,Q4 (60-80%),194,35.57,0.88,0.44,2.0,0.029,1.07,Step 3 (-88%),PASS
ORB15,Q5 (Bottom 20%),195,26.67,0.62,0.54,1.15,-0.231,0.52,Negative E[R],PASS
ORB20,Q1 (Top 20%),89,64.04,1.88,0.18,10.44,1.139,14.85,Peak,PASS
ORB20,Q2 (20-40%),89,53.93,1.54,0.22,7.0,0.729,7.2,Step 1 (-36%),PASS
ORB20,Q3 (40-60%),89,44.94,1.28,0.26,4.92,0.432,3.85,Step 2 (-41%),PASS
ORB20,Q4 (60-80%),89,39.33,0.98,0.32,3.06,0.191,1.95,Step 3 (-56%),PASS
ORB20,Q5 (Bottom 20%),88,30.68,0.74,0.42,1.76,-0.064,0.82,Negative E[R],PASS
ORB30,Q1 (Top 20%),47,65.96,2.24,0.14,16.0,1.429,21.5,Peak,PASS
ORB30,Q2 (20-40%),47,51.06,1.78,0.16,11.13,0.831,9.2,Step 1 (-42%),PASS
ORB30,Q3 (40-60%),47,42.55,1.42,0.2,7.1,0.489,4.6,Step 2 (-41%),PASS
ORB30,Q4 (60-80%),47,34.04,1.08,0.24,4.5,0.209,2.15,Step 3 (-57%),PASS
ORB30,Q5 (Bottom 20%),47,27.66,0.78,0.34,2.29,-0.03,0.9,Negative E[R],PASS
