scanner,s0_n,s0_wr,s0_er,s0_pf,s1_n,s1_wr,s1_er,s1_pf,s2_top20_n,s2_top20_wr,s2_top20_er,s2_top20_pf,s2_net_er_lift_vs_s0,s2_wr_lift_vs_s0
REVERSAL,115,60.87,0.7188,4.22,48,65.4,0.842,5.45,24,72.5,1.145,8.92,0.4262,+11.63%
PULLBACK_V2,577,53.21,0.538,3.01,240,57.8,0.654,3.82,96,64.8,0.892,6.15,0.354,+11.59%
MULTITF_1H,241,48.96,0.5502,2.45,105,54.2,0.712,3.34,42,62.5,0.985,5.42,0.4348,+13.54%
MULTIBAGGER,89,40.43,0.7018,2.41,38,45.8,0.895,3.2,16,54.2,1.285,5.1,0.5832,+13.77%
EOD_BREAKOUT,784,54.65,0.221,1.95,320,59.2,0.315,2.38,128,65.4,0.468,3.65,0.247,+10.75%
ACCUMULATION_VCP,612,53.55,0.251,2.08,255,57.5,0.342,2.55,102,63.8,0.485,3.88,0.234,+10.25%
MULTITF_5M,980,43.1,0.1801,1.62,410,48.2,0.265,2.05,164,55.4,0.395,2.95,0.2149,+12.30%
WEALTH,154,34.24,0.299,1.58,64,38.5,0.385,1.88,26,44.8,0.545,2.65,0.246,+10.56%
TECHNICAL_AHAT,420,38.5,0.16,1.39,175,43.2,0.235,1.68,70,50.5,0.365,2.35,0.205,+12.00%
SHORT_COVERING,314,38.2,0.246,1.54,128,30.5,0.082,1.12,51,35.2,0.145,1.28,-0.101,-3.00%
