scanner,fwd_normal_er,fwd_normal_wr,fwd_gem_er,fwd_gem_wr,fwd_gem_top20_er,fwd_gem_top20_wr,pure_fwd_er_lift,pure_fwd_wr_lift,forward_verdict
Reversal,0.685,58.5,0.795,62.4,0.945,66.67,0.26,+8.17%,Positive Forward Alpha Preservation
Pullback V2,0.512,51.8,0.624,56.1,0.782,62.16,0.27,+10.36%,High-Frequency Continuation Confirmed
MultiTF 1H,0.524,47.5,0.685,52.8,0.825,59.38,0.301,+11.88%,Intraday Morning Ignition Confirmed
Multibagger,0.665,38.8,0.845,43.5,1.165,50.0,0.5,+11.20%,Convex Right-Tail Persistence Confirmed
EOD Breakout,0.208,53.2,0.295,57.4,0.415,61.46,0.207,+8.26%,Closing Range Continuation Confirmed
Accumulation VCP,0.238,52.1,0.318,55.6,0.432,60.26,0.194,+8.16%,Base Contraction Expansion Confirmed
MultiTF 5M,0.165,41.8,0.245,46.5,0.345,52.42,0.18,+10.62%,Microstructure Edge Intact
Wealth,0.285,33.5,0.365,36.8,0.485,40.0,0.2,+6.50%,Positional Compounding Stable
Technical Ahat,0.148,37.2,0.215,41.5,0.312,48.15,0.164,+10.95%,Multi-Factor Confluence Validated
Short Covering,0.215,35.71,0.042,26.5,0.095,30.2,-0.12,-5.51%,Decoupled Regime Anti-Correlation Confirmed
