scanner_family,strong_catalyst_er_wr_pf,normal_momentum_er_wr_pf,weak_chop_er_wr_pf,failed_trap_er_wr_pf,regime_elasticity
Reversal (After-Hours),+0.925R / 68.2% / 5.80,+0.685R / 59.4% / 3.45,+0.410R / 51.2% / 2.15,+0.110R / 42.0% / 1.15,Very High (+0.815R delta)
Pullback V2 (After-Hours),+0.810R / 63.5% / 4.90,+0.510R / 52.8% / 2.90,+0.320R / 47.5% / 1.95,+0.080R / 39.5% / 1.10,Very High (+0.730R delta)
Multibagger (After-Hours),+1.185R / 52.5% / 4.10,+0.680R / 44.2% / 2.30,+0.380R / 38.0% / 1.65,-0.050R / 31.0% / 0.90,Exceptional (+1.235R delta)
EOD Breakout (After-Hours),+0.545R / 64.2% / 3.85,+0.380R / 57.8% / 2.95,+0.210R / 49.0% / 1.75,-0.085R / 38.0% / 0.85,High (+0.630R delta)
Accumulation VCP (After-Hours),+0.560R / 63.0% / 3.90,+0.390R / 56.5% / 3.05,+0.225R / 48.5% / 1.80,-0.040R / 39.0% / 0.92,High (+0.600R delta)
MultiTF 1H (Intraday),+0.940R / 61.8% / 4.80,+0.520R / 48.5% / 2.40,+0.280R / 44.0% / 1.60,+0.020R / 37.5% / 1.02,Very High (+0.920R delta)
MultiTF 5M (Intraday),+0.410R / 56.2% / 2.80,+0.265R / 47.8% / 1.85,+0.140R / 43.0% / 1.35,-0.020R / 38.0% / 0.95,Moderate (+0.430R delta)
Wealth Engine (After-Hours),+0.620R / 46.5% / 2.65,+0.410R / 38.0% / 1.80,+0.240R / 33.5% / 1.30,+0.050R / 28.0% / 1.08,Moderate (+0.570R delta)
Technical Ahat (After-Hours),+0.420R / 53.0% / 2.45,+0.250R / 43.5% / 1.55,+0.120R / 38.0% / 1.20,-0.050R / 32.0% / 0.88,Moderate (+0.470R delta)
Short Covering (Inverse),-0.110R / 29.5% / 0.72,+0.185R / 39.0% / 1.35,+0.360R / 46.5% / 2.10,+0.680R / 58.2% / 3.95,INVERTED (-0.790R delta)
