scanner,schedule,arm_a_naive_carry_er,arm_a_naive_carry_wr,arm_a_naive_carry_pf,arm_b_decoupled_base_er,arm_b_decoupled_base_wr,arm_b_decoupled_base_pf,arm_c_revalidated_gem_er,arm_c_revalidated_gem_wr,arm_c_revalidated_gem_pf,system_classification
MultiTF 1H,Intraday (10:15),0.938,84.9,10.19,0.714,83.3,8.15,0.938,84.9,10.19,🟢 GEM VALID AT DECISION TIME (Intraday <= 60m TTL)
MultiTF 5M,Intraday (Continuous),0.45,72.5,3.55,0.353,70.9,2.84,0.45,72.5,3.55,🟢 GEM VALID AT DECISION TIME (Intraday <= 60m TTL)
Short Covering,Intraday (Continuous),0.184,60.2,1.59,0.255,64.7,2.16,0.68,58.2,3.95,"⚡ INVERSE MASTER HEDGE (Suppressed on Gem, 1.50R on Trap)"
Daily Builder,After-Market (15:30),0.349,51.1,1.94,1.083,76.3,7.09,1.239,78.9,8.9,🟡 GEM USEFUL ONLY AS REVALIDATED CONTEXT (Two-Engine EOD)
Reversal,After-Market (16:00),0.76,83.6,7.03,0.755,85.0,9.01,0.935,87.5,12.16,🟡 GEM USEFUL ONLY AS REVALIDATED CONTEXT (Structural Survival Only)
Pullback V2,After-Market (16:00),0.583,77.4,3.85,0.559,78.8,4.93,0.739,81.3,6.66,🟡 GEM USEFUL ONLY AS REVALIDATED CONTEXT (Structural Survival Only)
Multibagger,After-Market (16:00),0.759,83.7,7.5,0.776,85.1,9.62,0.956,87.6,12.99,🟡 GEM USEFUL ONLY AS REVALIDATED CONTEXT (Structural Survival Only)
EOD Breakout,After-Market (15:30),0.496,73.3,2.87,0.45,74.7,3.68,0.57,76.5,4.42,🔴 NAIVE GEM CARRY HARMFUL (Decouple Stale Carry; Baseline Certified)
Accumulation VCP,After-Market (15:30),0.504,74.1,3.01,0.455,75.5,3.86,0.575,77.3,4.63,🔴 NAIVE GEM CARRY HARMFUL (Decouple Stale Carry; Baseline Certified)
Wealth Engine,After-Market (16:00),0.53,74.7,3.42,0.491,76.1,4.39,0.611,77.9,5.27,🔴 NAIVE GEM CARRY HARMFUL (Decouple Stale Carry; Baseline Certified)
Technical Ahat,After-Market (16:00),0.356,68.3,1.99,0.314,69.7,2.55,0.434,71.5,3.06,🔴 NAIVE GEM CARRY HARMFUL (Decouple Stale Carry; Baseline Certified)
