sample_name,event_id,symbol,sector,session_date,decision_timestamp,regime,v529_rank,v530_rank,v529_selected,v530_selected,v529_r,v530_r,cause,paired_delta_r,entry_price,stop_loss,target_price
SAMPLE_A,EVT_SAMPLE_A_000001,BRITANNIA,NIFTY_FMCG,2023-01-02,2023-01-02T15:30:00,CHOPPY_RANGE,5,17,1,0,-0.465,0.0,DYNAMIC_CAPACITY,0.465,2878.5,2818.93,3234.85
SAMPLE_A,EVT_SAMPLE_A_000002,ITC,NIFTY_FMCG,2023-01-02,2023-01-02T15:30:00,CHOPPY_RANGE,3,14,1,0,-0.83,0.0,DYNAMIC_CAPACITY,0.83,501.3,489.84,542.62
SAMPLE_A,EVT_SAMPLE_A_000022,SBIN,NIFTY_BANK,2023-01-02,2023-01-02T15:30:00,CHOPPY_RANGE,2,16,1,0,1.39,0.0,DYNAMIC_CAPACITY,-1.39,2528.1,2446.1,2812.94
SAMPLE_A,EVT_SAMPLE_A_000036,ASIANPAINT,NIFTY_CONSUMPTION,2023-01-03,2023-01-03T15:30:00,NEUTRAL_BULL,4,16,1,0,0.927,0.0,DYNAMIC_CAPACITY,-0.927,1297.3,1273.34,1383.91
SAMPLE_A,EVT_SAMPLE_A_000076,HAL,NIFTY_INFRA,2023-01-04,2023-01-04T15:30:00,CHOPPY_RANGE,2,5,1,0,-0.94,0.0,DYNAMIC_CAPACITY,0.94,2696.04,2615.4,2932.9
SAMPLE_A,EVT_SAMPLE_A_000111,TRENT,NIFTY_CONSUMPTION,2023-01-05,2023-01-05T15:30:00,CHOPPY_RANGE,5,12,1,0,1.625,0.0,DYNAMIC_CAPACITY,-1.625,1961.5,1895.53,2177.46
SAMPLE_A,EVT_SAMPLE_A_000113,TITAN,NIFTY_CONSUMPTION,2023-01-05,2023-01-05T15:30:00,CHOPPY_RANGE,3,7,1,0,1.392,0.0,DYNAMIC_CAPACITY,-1.392,1299.96,1248.37,1426.64
SAMPLE_A,EVT_SAMPLE_A_000114,PRESTIGE,NIFTY_REALTY,2023-01-05,2023-01-05T15:30:00,CHOPPY_RANGE,4,9,1,0,-0.798,0.0,45M_CONFIRMATION,0.798,2324.16,2254.22,2599.74
SAMPLE_A,EVT_SAMPLE_A_000133,TECHM,NIFTY_IT,2023-01-05,2023-01-05T15:30:00,CHOPPY_RANGE,,1,0,1,0.0,1.575,VETO_PRUNING,1.575,2552.0,2480.95,2833.05
SAMPLE_A,EVT_SAMPLE_A_000166,TECHM,NIFTY_IT,2023-01-06,2023-01-06T15:30:00,NEUTRAL_BULL,5,10,1,0,1.79,0.0,DYNAMIC_CAPACITY,-1.79,2696.19,2619.02,2862.37
