scanner,challenger_id,challenger_tier,control_net_wr,challenger_net_wr,delta_wr,control_net_er,challenger_net_er,delta_er,control_net_pf,challenger_net_pf,control_n,challenger_n,control_dd,challenger_dd,decision
ACCUMULATION_VCP,VCP_V59_F60_CAPACITY,FRONTIER_60,45.9,42.6,-3.3,-0.008,-0.054,-0.046,0.98,0.86,183,115,15.2,15.9,G_REJECT_NEGATIVE
ACCUMULATION_VCP,VCP_V59_F70_BALANCED,FRONTIER_70,45.9,40.0,-5.9,-0.008,-0.089,-0.081,0.98,0.79,183,60,15.2,11.9,G_REJECT_NEGATIVE
ACCUMULATION_VCP,VCP_V59_F80_PRECISION,FRONTIER_80,45.9,41.9,-4.0,-0.008,-0.115,-0.107,0.98,0.72,183,31,15.2,5.3,G_REJECT_NEGATIVE
ACCUMULATION_VCP,VCP_V59_F90_ULTRA_PINCH,FRONTIER_90,45.9,46.2,0.3,-0.008,-0.319,-0.311,0.98,0.31,183,13,15.2,4.2,F_FALSE_PRECISION
DAILY_BUILDER,BUILD_V59_F60_BALANCED,FRONTIER_60,39.7,41.8,2.1,-0.105,-0.067,0.038,0.76,0.83,1419,784,165.5,66.2,G_REJECT_NEGATIVE
DAILY_BUILDER,BUILD_V59_F70_PRECISION,FRONTIER_70,39.7,41.3,1.6,-0.105,-0.066,0.039,0.76,0.81,1419,574,165.5,53.4,G_REJECT_NEGATIVE
DAILY_BUILDER,BUILD_V59_F80_SURGE_PINCH,FRONTIER_80,39.7,43.3,3.6,-0.105,-0.006,0.099,0.76,0.98,1419,330,165.5,12.4,G_REJECT_NEGATIVE
EOD_BREAKOUT,EOD_V59_F60_CAPACITY,FRONTIER_60,44.7,50.0,5.3,0.002,0.251,0.249,1.0,1.96,103,8,10.1,0.4,F_FALSE_PRECISION
EOD_BREAKOUT,EOD_V59_F70_BALANCED,FRONTIER_70,44.7,0.0,-44.7,0.002,-0.444,-0.446,1.0,0.0,103,1,10.1,0.0,F_FALSE_PRECISION
MULTIBAGGER,MBAG_V59_CONVEX_A_75D_180V_5R,CONVEXITY_75D,40.4,42.8,2.4,0.048,0.097,0.049,1.12,1.26,839,664,37.8,25.5,C_TRADEOFF
MULTIBAGGER,MBAG_V59_CONVEX_B_90D_200V_55R,CONVEXITY_90D,40.4,44.0,3.6,0.048,0.08,0.032,1.12,1.24,839,523,37.8,21.1,C_TRADEOFF
MULTITF_1H,M1H_V59_F60_CAPACITY,FRONTIER_60,37.4,37.8,0.4,-0.119,-0.146,-0.027,0.74,0.71,286,230,35.2,40.5,G_REJECT_NEGATIVE
MULTITF_1H,M1H_V59_F70_BALANCED,FRONTIER_70,37.4,38.1,0.7,-0.119,-0.126,-0.007,0.74,0.73,286,189,35.2,30.2,G_REJECT_NEGATIVE
MULTITF_1H,M1H_V59_F80_PINCH,FRONTIER_80,37.4,40.4,3.0,-0.119,-0.087,0.032,0.74,0.8,286,146,35.2,22.2,G_REJECT_NEGATIVE
MULTITF_5M,M5M_V59_F60_CAPACITY,FRONTIER_60,41.1,42.5,1.4,0.149,0.113,-0.036,1.24,1.18,3113,2465,47.1,47.3,C_TRADEOFF
MULTITF_5M,M5M_V59_F70_BALANCED,FRONTIER_70,41.1,46.2,5.1,0.149,0.131,-0.018,1.24,1.25,3113,1044,47.1,18.3,B_QUALITY_IMPROVE
MULTITF_5M,M5M_V59_F80_OPENING_SURGE,FRONTIER_80,41.1,46.0,4.9,0.149,0.099,-0.05,1.24,1.22,3113,457,47.1,11.6,C_TRADEOFF
PULLBACK_V2,PULL_V59_F60_CAPACITY,FRONTIER_60,39.8,40.8,1.0,-0.02,-0.043,-0.023,0.97,0.93,2281,1244,141.8,114.2,G_REJECT_NEGATIVE
PULLBACK_V2,PULL_V59_F70_BALANCED,FRONTIER_70,39.8,41.4,1.6,-0.02,-0.08,-0.06,0.97,0.87,2281,844,141.8,97.1,G_REJECT_NEGATIVE
PULLBACK_V2,PULL_V59_F80_PRECISION,FRONTIER_80,39.8,40.0,0.2,-0.02,-0.148,-0.128,0.97,0.74,2281,533,141.8,95.9,G_REJECT_NEGATIVE
PULLBACK_V2,PULL_V59_F90_ENGULF_BOUNCE,FRONTIER_90,39.8,36.2,-3.6,-0.02,-0.22,-0.2,0.97,0.59,2281,246,141.8,65.2,G_REJECT_NEGATIVE
REVERSAL,REV_V59_F60_ALPHA,FRONTIER_60,39.7,43.3,3.6,0.287,0.236,-0.051,1.43,1.41,343,171,29.1,12.5,B_QUALITY_IMPROVE
REVERSAL,REV_V59_F70_BALANCED,FRONTIER_70,39.7,42.5,2.8,0.287,0.115,-0.172,1.43,1.2,343,113,29.1,7.4,C_TRADEOFF
REVERSAL,REV_V59_F80_PRECISION,FRONTIER_80,39.7,42.2,2.5,0.287,-0.029,-0.316,1.43,0.95,343,45,29.1,11.3,G_REJECT_NEGATIVE
REVERSAL,REV_V59_F90_ULTRA_EXHAUST,FRONTIER_90,39.7,38.1,-1.6,0.287,-0.234,-0.521,1.43,0.63,343,21,29.1,7.4,G_REJECT_NEGATIVE
SHORT_COVERING_EOD,SC_V59_F60_BALANCED,FRONTIER_60,43.0,44.0,1.0,0.216,0.161,-0.055,1.36,1.28,149,141,9.0,8.9,C_TRADEOFF
SHORT_COVERING_EOD,SC_V59_F70_PRECISION,FRONTIER_70,43.0,40.7,-2.3,0.216,-0.0,-0.216,1.36,1.0,149,59,9.0,13.1,C_TRADEOFF
SHORT_COVERING_EOD,SC_V59_F80_SQUEEZE_SURGE,FRONTIER_80,43.0,32.0,-11.0,0.216,-0.266,-0.482,1.36,0.59,149,25,9.0,14.0,G_REJECT_NEGATIVE
TECHNICAL_AHAT,AHAT_V59_F60_BALANCED,FRONTIER_60,36.5,39.4,2.9,-0.147,-0.103,0.044,0.78,0.83,10188,5272,1523.0,557.5,G_REJECT_NEGATIVE
TECHNICAL_AHAT,AHAT_V59_F70_PRECISION,FRONTIER_70,36.5,40.1,3.6,-0.147,-0.119,0.028,0.78,0.77,10188,3568,1523.0,438.6,G_REJECT_NEGATIVE
TECHNICAL_AHAT,AHAT_V59_F80_TRIPLE_CONFL,FRONTIER_80,36.5,41.0,4.5,-0.147,-0.128,0.019,0.78,0.73,10188,2042,1523.0,268.8,G_REJECT_NEGATIVE
WEALTH,WEALTH_V59_F60_QUALITY_BASE,FRONTIER_60,39.3,40.2,0.9,-0.058,-0.033,0.025,0.85,0.91,1046,579,75.8,38.7,G_REJECT_NEGATIVE
WEALTH,WEALTH_V59_F70_STAGE1_TIGHT,FRONTIER_70,39.3,40.5,1.2,-0.058,-0.016,0.042,0.85,0.94,1046,363,75.8,20.2,G_REJECT_NEGATIVE
