scanner,variant_id,tier,capacity_tier,sha256,n,gross_wr,net_wr,gross_er,net_er_base,net_pf_base,net_er_adverse,net_pf_adverse,net_er_severe,net_pf_severe,ci_low,ci_high,max_dd_r,dev_net_wr,dev_net_er,val_net_wr,val_net_er,decision
ACCUMULATION_VCP,VCP_V58_CONTROL,CONTROL,Capacity,c274e2cb3c326c51,183,53.0,45.9,0.168,-0.008,0.98,-0.063,0.85,-0.118,0.75,-0.144,0.134,15.2,47.1,-0.104,34.3,-0.26,CONTROL_BASELINE
ACCUMULATION_VCP,VCP_V59_F60_CAPACITY,FRONTIER_60,Capacity,aaa11fb98e3b9ce2,115,51.3,42.6,0.12,-0.054,0.86,-0.108,0.74,-0.162,0.65,-0.218,0.109,15.9,47.4,-0.105,35.0,-0.259,G_REJECT_NEGATIVE
ACCUMULATION_VCP,VCP_V59_F70_BALANCED,FRONTIER_70,Balanced,9df6ef3718cc201b,60,48.3,40.0,0.086,-0.089,0.79,-0.143,0.68,-0.197,0.6,-0.321,0.138,11.9,66.7,0.299,25.0,-0.427,G_REJECT_NEGATIVE
ACCUMULATION_VCP,VCP_V59_F80_PRECISION,FRONTIER_80,Precision,1be44405f810473a,31,48.4,41.9,0.059,-0.115,0.72,-0.168,0.62,-0.222,0.54,-0.398,0.167,5.3,40.0,-0.032,26.3,-0.391,G_REJECT_NEGATIVE
ACCUMULATION_VCP,VCP_V59_F90_ULTRA_PINCH,FRONTIER_90,Ultra Precision,d631331477c1e122,13,53.8,46.2,-0.135,-0.319,0.31,-0.377,0.25,-0.436,0.2,-0.685,0.114,4.2,100.0,1.15,16.7,-0.403,F_FALSE_PRECISION
DAILY_BUILDER,BUILD_V58_CONTROL,CONTROL,Capacity,e8f0734a0ca7c649,1419,47.4,39.7,0.069,-0.105,0.76,-0.157,0.67,-0.209,0.59,-0.155,-0.054,165.5,51.5,0.052,41.2,-0.137,CONTROL_BASELINE
DAILY_BUILDER,BUILD_V59_F60_BALANCED,FRONTIER_60,Balanced,7c7d679bef4058ae,784,50.4,41.8,0.102,-0.067,0.83,-0.117,0.73,-0.166,0.64,-0.131,-0.008,66.2,49.5,-0.017,38.8,-0.177,G_REJECT_NEGATIVE
DAILY_BUILDER,BUILD_V59_F70_PRECISION,FRONTIER_70,Precision,946c87375906a1c2,574,52.8,41.3,0.099,-0.066,0.81,-0.113,0.7,-0.16,0.61,-0.132,-0.007,53.4,48.8,-0.02,37.2,-0.204,G_REJECT_NEGATIVE
DAILY_BUILDER,BUILD_V59_F80_SURGE_PINCH,FRONTIER_80,Ultra Precision,e889b5eaa77bbf40,330,53.6,43.3,0.153,-0.006,0.98,-0.05,0.85,-0.095,0.73,-0.086,0.075,12.4,43.8,-0.187,41.0,-0.117,G_REJECT_NEGATIVE
EOD_BREAKOUT,EOD_V58_CONTROL,CONTROL,Capacity,e6f08868d4e043c1,103,50.5,44.7,0.189,0.002,1.0,-0.059,0.88,-0.12,0.77,-0.217,0.216,10.1,55.6,0.079,35.0,-0.16,CONTROL_BASELINE
EOD_BREAKOUT,EOD_V59_F60_CAPACITY,FRONTIER_60,Capacity,38f8e253803a7913,8,62.5,50.0,0.419,0.251,1.96,0.199,1.69,0.148,1.46,-0.437,1.046,0.4,50.0,0.251,25.0,-0.21,F_FALSE_PRECISION
EOD_BREAKOUT,EOD_V59_F70_BALANCED,FRONTIER_70,Balanced,527bd12dbc57ac98,1,0.0,0.0,-0.293,-0.444,0.0,-0.487,0.0,-0.529,0.0,-0.444,-0.444,0.0,0.0,-0.444,0.0,-0.285,F_FALSE_PRECISION
MULTIBAGGER,MBAG_V58_CONTROL,CONTROL,Capacity,133f228640dd2e3b,839,47.2,40.4,0.214,0.048,1.12,-0.002,1.0,-0.052,0.89,-0.036,0.138,37.8,56.9,0.24,51.0,0.089,CONTROL_BASELINE
MULTIBAGGER,MBAG_V59_CONVEX_A_75D_180V_5R,CONVEXITY_75D,Balanced,42c5ca48ff94f0c6,664,50.9,42.8,0.259,0.097,1.26,0.048,1.12,-0.0,1.0,0.003,0.198,25.5,54.3,0.282,49.5,0.068,C_TRADEOFF
MULTIBAGGER,MBAG_V59_CONVEX_B_90D_200V_55R,CONVEXITY_90D,Precision,9c49bf981f40c5d1,523,51.8,44.0,0.238,0.08,1.24,0.034,1.09,-0.012,0.97,-0.014,0.173,21.1,40.7,-0.225,51.5,0.103,C_TRADEOFF
MULTITF_1H,M1H_V58_CONTROL,CONTROL,Capacity,8a60eebb2f650676,286,43.0,37.4,0.034,-0.119,0.74,-0.175,0.64,-0.231,0.56,-0.239,-0.007,35.2,37.4,-0.119,41.1,-0.029,CONTROL_BASELINE
MULTITF_1H,M1H_V59_F60_CAPACITY,FRONTIER_60,Capacity,a930efaeec73a75c,230,41.3,37.8,0.01,-0.146,0.71,-0.204,0.62,-0.262,0.55,-0.278,-0.012,40.5,37.8,-0.146,41.1,0.002,G_REJECT_NEGATIVE
MULTITF_1H,M1H_V59_F70_BALANCED,FRONTIER_70,Balanced,2c627deb06003186,189,41.8,38.1,0.027,-0.126,0.73,-0.183,0.64,-0.239,0.56,-0.267,0.014,30.2,38.1,-0.126,39.8,-0.074,G_REJECT_NEGATIVE
MULTITF_1H,M1H_V59_F80_PINCH,FRONTIER_80,Precision,fe219e5bbd443a5f,146,45.2,40.4,0.063,-0.087,0.8,-0.142,0.7,-0.197,0.61,-0.228,0.063,22.2,40.4,-0.087,36.1,-0.179,G_REJECT_NEGATIVE
MULTITF_5M,M5M_V58_CONTROL,CONTROL,Capacity,01699c9e18af2c5a,3113,42.1,41.1,0.293,0.149,1.24,0.094,1.14,0.039,1.06,0.098,0.205,47.1,46.2,0.463,37.9,0.096,CONTROL_BASELINE
MULTITF_5M,M5M_V59_F60_CAPACITY,FRONTIER_60,Capacity,dcd30fc35dbbc92a,2465,43.9,42.5,0.256,0.113,1.18,0.058,1.09,0.003,1.0,0.056,0.171,47.3,47.5,0.372,38.6,0.027,C_TRADEOFF
MULTITF_5M,M5M_V59_F70_BALANCED,FRONTIER_70,Balanced,158dee4cfe930c87,1044,47.8,46.2,0.27,0.131,1.25,0.078,1.14,0.026,1.04,0.055,0.205,18.3,51.7,0.41,39.1,-0.037,B_QUALITY_IMPROVE
MULTITF_5M,M5M_V59_F80_OPENING_SURGE,FRONTIER_80,Precision,a41cf966f6b8638d,457,49.9,46.0,0.234,0.099,1.22,0.048,1.1,-0.003,0.99,-0.009,0.196,11.6,58.2,0.514,42.7,-0.042,C_TRADEOFF
PULLBACK_V2,PULL_V58_CONTROL,CONTROL,Capacity,bc3a314f38597ceb,2281,42.9,39.8,0.181,-0.02,0.97,-0.087,0.87,-0.154,0.79,-0.075,0.039,141.8,41.1,0.051,35.6,-0.148,CONTROL_BASELINE
PULLBACK_V2,PULL_V59_F60_CAPACITY,FRONTIER_60,Capacity,49447226d92bdafa,1244,44.3,40.8,0.155,-0.043,0.93,-0.109,0.84,-0.175,0.76,-0.119,0.034,114.2,41.2,-0.016,35.6,-0.205,G_REJECT_NEGATIVE
