scanner,variant_id,tier,n,gross_wr,net_wr,gross_er,net_er,gross_pf,net_pf,net_ci_low,net_ci_high,net_max_dd
ACCUMULATION_VCP,VCP_V58_CONTROL,CONTROL,2,0.0,0.0,-0.647,-0.938,0.0,0.0,-0.938,-0.938,0.6
DAILY_BUILDER,BUILD_V58_CONTROL,CONTROL,1420,47.2,39.6,,,1.21,0.69,,,
DAILY_BUILDER,BUILD_V59_F60_BALANCED,FRONTIER_60,785,50.2,41.7,,,1.35,0.75,,,
DAILY_BUILDER,BUILD_V59_F70_PRECISION,FRONTIER_70,575,52.5,41.0,,,1.39,0.72,,,
DAILY_BUILDER,BUILD_V59_F80_SURGE_PINCH,FRONTIER_80,331,53.5,43.2,,,1.73,0.85,,,
EOD_BREAKOUT,EOD_V58_CONTROL,CONTROL,103,50.5,44.7,0.189,-0.031,1.57,0.94,-0.256,0.182,11.0
EOD_BREAKOUT,EOD_V59_F60_CAPACITY,FRONTIER_60,8,62.5,50.0,0.419,0.216,3.37,1.73,-0.485,1.041,0.6
EOD_BREAKOUT,EOD_V59_F70_BALANCED,FRONTIER_70,1,0.0,0.0,-0.293,-0.584,0.0,0.0,-0.584,-0.584,0.0
MULTIBAGGER,MBAG_V58_CONTROL,CONTROL,840,47.0,40.2,,,1.7,1.01,,,
MULTIBAGGER,MBAG_V59_CONVEX_A_75D_180V_5R,CONVEXITY_75D,665,50.8,42.7,,,1.96,1.13,,,
MULTIBAGGER,MBAG_V59_CONVEX_B_90D_200V_55R,CONVEXITY_90D,524,51.7,43.9,,,1.97,1.09,,,
PULLBACK_V2,PULL_V58_CONTROL,CONTROL,2277,42.9,39.7,0.18,-0.036,1.36,0.95,-0.096,0.02,168.6
PULLBACK_V2,PULL_V59_F60_CAPACITY,FRONTIER_60,1244,44.3,40.8,0.155,-0.059,1.32,0.91,-0.135,0.018,129.6
PULLBACK_V2,PULL_V59_F70_BALANCED,FRONTIER_70,844,44.7,41.4,0.113,-0.1,1.25,0.84,-0.185,-0.016,111.4
PULLBACK_V2,PULL_V59_F80_PRECISION,FRONTIER_80,533,43.9,40.0,0.041,-0.173,1.09,0.71,-0.273,-0.079,108.6
PULLBACK_V2,PULL_V59_F90_ENGULF_BOUNCE,FRONTIER_90,246,43.9,36.2,-0.036,-0.25,0.91,0.56,-0.357,-0.133,72.2
REVERSAL,REV_V58_CONTROL,CONTROL,336,42.6,40.2,0.511,0.291,2.0,1.44,0.104,0.486,25.1
REVERSAL,REV_V59_F60_ALPHA,FRONTIER_60,167,46.1,43.1,0.422,0.206,1.93,1.34,-0.029,0.434,11.1
REVERSAL,REV_V59_F70_BALANCED,FRONTIER_70,110,43.6,41.8,0.288,0.069,1.63,1.11,-0.187,0.344,7.6
REVERSAL,REV_V59_F80_PRECISION,FRONTIER_80,45,42.2,42.2,0.162,-0.058,1.35,0.91,-0.431,0.293,12.1
REVERSAL,REV_V59_F90_ULTRA_EXHAUST,FRONTIER_90,21,38.1,38.1,-0.043,-0.269,0.91,0.6,-0.705,0.16,7.6
SHORT_COVERING_EOD,SC_V58_CONTROL,CONTROL,145,45.5,42.8,0.411,0.189,1.87,1.3,-0.067,0.433,9.0
SHORT_COVERING_EOD,SC_V59_F60_BALANCED,FRONTIER_60,135,47.4,44.4,0.376,0.156,1.84,1.26,-0.087,0.395,7.1
SHORT_COVERING_EOD,SC_V59_F70_PRECISION,FRONTIER_70,55,41.8,40.0,0.182,-0.044,1.36,0.93,-0.416,0.309,13.1
SHORT_COVERING_EOD,SC_V59_F80_SQUEEZE_SURGE,FRONTIER_80,23,34.8,34.8,-0.002,-0.236,1.0,0.64,-0.651,0.233,14.0
TECHNICAL_AHAT,AHAT_V58_CONTROL,CONTROL,10179,39.9,36.5,,,1.11,0.76,,,
TECHNICAL_AHAT,AHAT_V59_F60_BALANCED,FRONTIER_60,5270,43.5,39.4,,,1.21,0.8,,,
TECHNICAL_AHAT,AHAT_V59_F70_PRECISION,FRONTIER_70,3568,45.9,40.0,,,1.17,0.74,,,
TECHNICAL_AHAT,AHAT_V59_F80_TRIPLE_CONFL,FRONTIER_80,2043,47.3,41.0,,,1.15,0.68,,,
