symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,signal_rr,score,vol_ratio,t3_depth,dryup_ratio,realized_rr,exit_reason,exit_date,holding_period_bars,max_favorable_excursion_r,max_adverse_excursion_r,r1_hit_before_sl,r1_5_hit_before_sl,r2_hit_before_sl,r3_hit,r5_hit,r10_hit,post_sl_recovered_entry,post_sl_recovered_t1,post_sl_max_recovery_r
SIGNATURE,VCP_CHAMPION_V1,2025-09-01,DEV,NEUTRAL,1233.42,1123.68,1507.77,2.5,83.0,1.3955474667569658,5.52,0.73,0.13,EXPIRED_POS,2025-09-26,20,0.15,0.38,0,0,0,0,0,0,0,0,0.0
SIGNATURE,VCP_CHALL_A_VOL_DRYUP,2025-09-01,DEV,NEUTRAL,1233.42,1123.68,1507.77,2.5,83.0,1.3955474667569658,5.52,0.73,0.13,EXPIRED_POS,2025-09-26,20,0.15,0.38,0,0,0,0,0,0,0,0,0.0
SIGNATURE,VCP_CHALL_B_TIGHTNESS,2025-09-01,DEV,NEUTRAL,1233.42,1123.68,1507.77,2.5,83.0,1.3955474667569658,5.52,0.73,0.13,EXPIRED_POS,2025-09-26,20,0.15,0.38,0,0,0,0,0,0,0,0,0.0
SIGNATURE,VCP_CHALL_D_T3_MODERATE,2025-09-01,DEV,NEUTRAL,1233.42,1123.68,1507.77,2.5,83.0,1.3955474667569658,5.52,0.73,0.13,EXPIRED_POS,2025-09-26,20,0.15,0.38,0,0,0,0,0,0,0,0,0.0
SIGNATURE,VCP_CHALL_F_REGIME_ALIGNED,2025-09-01,DEV,NEUTRAL,1233.42,1123.68,1507.77,2.5,83.0,1.3955474667569658,5.52,0.73,0.13,EXPIRED_POS,2025-09-26,20,0.15,0.38,0,0,0,0,0,0,0,0,0.0
CEATLTD,VCP_CHAMPION_V1,2025-10-21,DEV,BULL,4289.7,3291.54,6785.1,2.5,78.0,2.856553838300261,19.49,3.15,-0.41,EXPIRED_NEG,2025-11-20,20,0.15,0.44,0,0,0,0,0,0,0,0,0.0
CEATLTD,VCP_CHALL_F_REGIME_ALIGNED,2025-10-21,DEV,BULL,4289.7,3291.54,6785.1,2.5,78.0,2.856553838300261,19.49,3.15,-0.41,EXPIRED_NEG,2025-11-20,20,0.15,0.44,0,0,0,0,0,0,0,0,0.0
STYRENIX,VCP_CHAMPION_V1,2025-10-21,DEV,BULL,2086.66,1984.06,2343.16,2.5,83.0,1.3700521463083364,4.42,1.15,0.05,EXPIRED_POS,2025-11-17,20,0.5,0.6,0,0,0,0,0,0,0,0,0.0
STYRENIX,VCP_CHALL_B_TIGHTNESS,2025-10-21,DEV,BULL,2086.66,1984.06,2343.16,2.5,83.0,1.3700521463083364,4.42,1.15,0.05,EXPIRED_POS,2025-11-17,20,0.5,0.6,0,0,0,0,0,0,0,0,0.0
STYRENIX,VCP_CHALL_D_T3_MODERATE,2025-10-21,DEV,BULL,2086.66,1984.06,2343.16,2.5,83.0,1.3700521463083364,4.42,1.15,0.05,EXPIRED_POS,2025-11-17,20,0.5,0.6,0,0,0,0,0,0,0,0,0.0
STYRENIX,VCP_CHALL_F_REGIME_ALIGNED,2025-10-21,DEV,BULL,2086.66,1984.06,2343.16,2.5,83.0,1.3700521463083364,4.42,1.15,0.05,EXPIRED_POS,2025-11-17,20,0.5,0.6,0,0,0,0,0,0,0,0,0.0
