symbol,variant_id,date,partition,regime,entry_price,stop_loss,target_price,risk,target_r,r_multiple,outcome_type,bars_held
360ONE,VCP_ABL_3_NO_VOL_THRUST,2026-02-11,VAL,BULL,1142.2184926365298,1087.22,1279.71,55.0,2.5,-1.0,SL_HIT,7
3MINDIA,VCP_ABL_1_NO_BB_PINCH,2025-10-22,DEV,BULL,1519.8930784930562,1454.15,1684.25,65.74,2.5,0.3117,EXPIRED_POS,20
3MINDIA,VCP_ABL_1_NO_BB_PINCH,2025-12-16,DEV,BULL,1646.1804056447527,1547.02,1894.08,99.16,2.5,0.0006,EXPIRED_POS,20
3MINDIA,VCP_ABL_3_NO_VOL_THRUST,2026-01-12,VAL,BULL,1676.0867918652953,1599.42,1867.75,76.67,2.5,0.555,EXPIRED_POS,20
3MINDIA,VCP_V55_PRECISION_C_TIGHT_28R,2026-03-02,VAL,BULL,1812.432308102259,1727.44,2050.41,84.99,2.8,1.1912,EXPIRED_POS,20
3MINDIA,VCP_V55_BALANCED_A_15D_25R,2026-03-02,VAL,BULL,1812.432308102259,1727.44,2024.91,84.99,2.5,1.1912,EXPIRED_POS,20
3MINDIA,VCP_V55_BALANCED_B_20D_28R,2026-03-02,VAL,BULL,1812.432308102259,1727.44,2050.41,84.99,2.8,1.1912,EXPIRED_POS,20
3MINDIA,VCP_V55_BALANCED_C_12D_FAST,2026-03-02,VAL,BULL,1812.432308102259,1727.44,2024.91,84.99,2.5,1.1912,EXPIRED_POS,20
3MINDIA,VCP_V55_CAPACITY_A_BROAD_COIL,2026-03-02,VAL,BULL,1812.432308102259,1727.44,2024.91,84.99,2.5,1.1912,EXPIRED_POS,20
3MINDIA,VCP_V55_CAPACITY_B_HYBRID_SL,2026-03-02,VAL,BULL,1812.432308102259,1792.67,1861.84,19.76,2.5,-1.0,SL_HIT,1
3MINDIA,VCP_V55_CAPACITY_C_12D_22R,2026-03-02,VAL,BULL,1812.432308102259,1727.44,1999.42,84.99,2.2,1.1912,EXPIRED_POS,20
3MINDIA,VCP_ABL_1_NO_BB_PINCH,2026-03-02,VAL,BULL,1812.432308102259,1727.44,2024.91,84.99,2.5,1.1912,EXPIRED_POS,20
3MINDIA,VCP_ABL_2_NO_VOL_DRYUP,2026-03-02,VAL,BULL,1812.432308102259,1727.44,2024.91,84.99,2.5,1.1912,EXPIRED_POS,20
3MINDIA,VCP_ABL_3_NO_VOL_THRUST,2026-03-02,VAL,BULL,1812.432308102259,1727.44,2024.91,84.99,2.5,1.1912,EXPIRED_POS,20
3MINDIA,VCP_ABL_4_NO_CLV_REQ,2026-03-02,VAL,BULL,1812.432308102259,1727.44,2024.91,84.99,2.5,1.1912,EXPIRED_POS,20
3MINDIA,VCP_ABL_5_STOP_FIXED_15ATR,2026-03-02,VAL,BULL,1812.432308102259,1792.67,1861.84,19.76,2.5,-1.0,SL_HIT,1
3MINDIA,VCP_ABL_6_TARGET_30R,2026-03-02,VAL,BULL,1812.432308102259,1727.44,2067.41,84.99,3.0,1.1912,EXPIRED_POS,20
3MINDIA,VCP_ABL_4_NO_CLV_REQ,2026-07-16,HOLDOUT,BULL,1953.192713723226,1874.14,2150.82,79.05,2.5,-0.2512,EXPIRED_NEG,20
AADHARHFC,VCP_V55_CAPACITY_A_BROAD_COIL,2026-01-02,VAL,NEUTRAL,500.54998779296875,471.56,573.02,28.99,2.5,-1.0,SL_HIT,10
AADHARHFC,VCP_V55_CAPACITY_B_HYBRID_SL,2026-01-02,VAL,NEUTRAL,500.54998779296875,482.74,545.07,17.81,2.5,-1.0,SL_HIT,5
AADHARHFC,VCP_V55_CAPACITY_C_12D_22R,2026-01-02,VAL,NEUTRAL,500.54998779296875,471.56,564.33,28.99,2.2,-1.0,SL_HIT,10
AADHARHFC,VCP_ABL_2_NO_VOL_DRYUP,2026-01-02,VAL,NEUTRAL,500.54998779296875,471.56,573.02,28.99,2.5,-1.0,SL_HIT,10
AADHARHFC,VCP_V55_CAPACITY_A_BROAD_COIL,2026-05-05,VAL,BULL,517.4500122070312,479.63,612.0,37.82,2.5,-1.0,SL_HIT,7
AADHARHFC,VCP_V55_CAPACITY_B_HYBRID_SL,2026-05-05,VAL,BULL,517.4500122070312,496.18,570.63,21.27,2.5,-1.0,SL_HIT,1
AADHARHFC,VCP_V55_CAPACITY_C_12D_22R,2026-05-05,VAL,BULL,517.4500122070312,479.63,600.65,37.82,2.2,-1.0,SL_HIT,7
AADHARHFC,VCP_ABL_1_NO_BB_PINCH,2026-05-05,VAL,BULL,517.4500122070312,479.63,612.0,37.82,2.5,-1.0,SL_HIT,7
