variant_id,partition,n,win_pct,er,pf,ci_low,ci_high,max_dd_r,avg_win,avg_loss,avg_bars,bear_er,neut_er,bull_er,bear_n,neut_n,bull_n
VCP_ABL_3_NO_VOL_THRUST,DEV,273,45.4,0.056,1.13,-0.071,0.183,17.77,1.03,-0.76,16.5,N/A,+0.047R,+0.058R,0,64,209
VCP_ABL_3_NO_VOL_THRUST,VAL,320,49.1,0.153,1.4,0.034,0.266,11.41,1.09,-0.75,16.3,N/A,-0.066R,+0.220R,0,75,245
VCP_ABL_3_NO_VOL_THRUST,HOLDOUT,213,58.7,0.282,1.96,0.142,0.429,5.62,0.98,-0.71,17.2,N/A,+0.364R,+0.266R,0,34,179
VCP_ABL_1_NO_BB_PINCH,DEV,444,44.1,0.055,1.15,-0.034,0.151,18.64,0.97,-0.67,17.0,N/A,-0.084R,+0.089R,0,88,356
VCP_ABL_1_NO_BB_PINCH,VAL,611,44.5,0.029,1.08,-0.045,0.109,34.46,0.9,-0.67,16.9,N/A,-0.214R,+0.083R,0,112,499
VCP_ABL_1_NO_BB_PINCH,HOLDOUT,343,54.8,0.186,1.65,0.085,0.292,10.36,0.86,-0.63,17.7,N/A,+0.272R,+0.176R,0,36,307
VCP_V55_PRECISION_C_TIGHT_28R,DEV,134,39.6,-0.032,0.93,-0.213,0.154,20.91,1.11,-0.78,16.2,N/A,-0.130R,+0.008R,0,39,95
VCP_V55_PRECISION_C_TIGHT_28R,VAL,138,45.7,0.066,1.15,-0.117,0.267,17.55,1.08,-0.79,15.5,N/A,-0.350R,+0.207R,0,35,103
VCP_V55_PRECISION_C_TIGHT_28R,HOLDOUT,117,58.1,0.31,2.09,0.115,0.507,7.54,1.02,-0.68,17.2,N/A,+0.683R,+0.251R,0,16,101
VCP_V55_BALANCED_A_15D_25R,DEV,195,43.1,0.043,1.1,-0.108,0.198,13.0,1.09,-0.75,16.2,N/A,-0.053R,+0.076R,0,49,146
VCP_V55_BALANCED_A_15D_25R,VAL,214,45.8,0.113,1.28,-0.035,0.261,16.05,1.13,-0.74,15.9,N/A,-0.277R,+0.226R,0,48,166
VCP_V55_BALANCED_A_15D_25R,HOLDOUT,163,57.7,0.265,1.91,0.095,0.431,6.96,0.97,-0.69,17.0,N/A,+0.357R,+0.248R,0,26,137
VCP_V55_BALANCED_B_20D_28R,DEV,191,46.1,0.126,1.34,-0.027,0.281,9.8,1.07,-0.68,17.1,N/A,+0.136R,+0.123R,0,35,156
VCP_V55_BALANCED_B_20D_28R,VAL,239,47.3,0.145,1.37,0.007,0.284,18.62,1.12,-0.73,16.3,N/A,-0.168R,+0.213R,0,43,196
VCP_V55_BALANCED_B_20D_28R,HOLDOUT,171,52.6,0.174,1.55,0.023,0.334,6.33,0.93,-0.67,17.3,N/A,+0.233R,+0.164R,0,25,146
VCP_V55_BALANCED_C_12D_FAST,DEV,205,44.4,0.04,1.09,-0.11,0.195,11.85,1.06,-0.77,15.9,N/A,-0.161R,+0.118R,0,57,148
VCP_V55_BALANCED_C_12D_FAST,VAL,209,45.9,0.099,1.24,-0.048,0.253,14.42,1.12,-0.77,15.8,N/A,-0.194R,+0.194R,0,51,158
VCP_V55_BALANCED_C_12D_FAST,HOLDOUT,168,57.1,0.283,1.96,0.123,0.45,7.23,1.01,-0.69,16.9,N/A,+0.412R,+0.259R,0,26,142
VCP_V55_CAPACITY_A_BROAD_COIL,DEV,393,45.0,0.068,1.17,-0.034,0.167,14.15,1.03,-0.72,16.7,N/A,-0.012R,+0.092R,0,91,302
VCP_V55_CAPACITY_A_BROAD_COIL,VAL,420,46.0,0.102,1.26,0.002,0.206,20.1,1.09,-0.74,16.2,N/A,-0.110R,+0.153R,0,81,339
VCP_V55_CAPACITY_A_BROAD_COIL,HOLDOUT,285,53.3,0.187,1.6,0.07,0.303,10.15,0.94,-0.67,17.3,N/A,+0.272R,+0.169R,0,51,234
VCP_V55_CAPACITY_B_HYBRID_SL,DEV,405,34.1,0.138,1.21,-0.014,0.297,17.02,2.29,-0.98,6.7,N/A,-0.030R,+0.190R,0,95,310
VCP_V55_CAPACITY_B_HYBRID_SL,VAL,451,31.7,0.066,1.1,-0.078,0.204,22.6,2.33,-0.99,6.2,N/A,-0.286R,+0.144R,0,82,369
VCP_V55_CAPACITY_B_HYBRID_SL,HOLDOUT,298,39.3,0.143,1.24,-0.026,0.314,23.3,1.89,-0.99,8.6,N/A,+0.070R,+0.159R,0,52,246
VCP_V55_CAPACITY_C_12D_22R,DEV,405,43.7,0.035,1.09,-0.063,0.133,13.74,1.02,-0.73,16.2,N/A,-0.081R,+0.074R,0,100,305
VCP_V55_CAPACITY_C_12D_22R,VAL,417,46.5,0.097,1.24,-0.007,0.205,21.68,1.06,-0.74,16.0,N/A,-0.112R,+0.158R,0,95,322
VCP_V55_CAPACITY_C_12D_22R,HOLDOUT,297,53.2,0.162,1.5,0.052,0.273,8.42,0.91,-0.69,16.9,N/A,+0.154R,+0.164R,0,51,246
VCP_ABL_2_NO_VOL_DRYUP,DEV,455,45.5,0.057,1.14,-0.039,0.156,21.07,1.01,-0.74,16.3,N/A,+0.011R,+0.071R,0,108,347
VCP_ABL_2_NO_VOL_DRYUP,VAL,473,45.9,0.094,1.23,-0.008,0.194,35.76,1.1,-0.76,15.9,N/A,-0.298R,+0.198R,0,99,374
VCP_ABL_2_NO_VOL_DRYUP,HOLDOUT,344,55.2,0.199,1.68,0.093,0.302,9.66,0.9,-0.66,17.3,N/A,+0.333R,+0.168R,0,66,278
VCP_ABL_4_NO_CLV_REQ,DEV,326,46.9,0.112,1.28,-0.008,0.233,16.53,1.1,-0.76,16.3,N/A,-0.065R,+0.163R,0,73,253
VCP_ABL_4_NO_CLV_REQ,VAL,351,49.0,0.165,1.43,0.048,0.277,9.63,1.11,-0.75,16.3,N/A,-0.136R,+0.236R,0,67,284
VCP_ABL_4_NO_CLV_REQ,HOLDOUT,235,57.4,0.265,1.84,0.13,0.403,9.27,1.01,-0.74,16.8,N/A,+0.316R,+0.254R,0,41,194
VCP_ABL_5_STOP_FIXED_15ATR,DEV,195,35.9,0.177,1.28,-0.059,0.392,11.99,2.26,-0.99,6.7,N/A,-0.080R,+0.263R,0,49,146
VCP_ABL_5_STOP_FIXED_15ATR,VAL,214,31.8,0.062,1.09,-0.153,0.276,23.33,2.32,-0.99,6.7,N/A,-0.365R,+0.185R,0,48,166
VCP_ABL_5_STOP_FIXED_15ATR,HOLDOUT,163,44.8,0.286,1.52,0.058,0.523,16.38,1.87,-1.0,9.1,N/A,+0.293R,+0.284R,0,26,137
VCP_ABL_6_TARGET_30R,DEV,195,43.1,0.051,1.12,-0.11,0.209,13.37,1.11,-0.75,16.6,N/A,-0.020R,+0.074R,0,49,146
VCP_ABL_6_TARGET_30R,VAL,214,45.8,0.108,1.27,-0.044,0.259,15.55,1.11,-0.74,16.1,N/A,-0.266R,+0.216R,0,48,166
VCP_ABL_6_TARGET_30R,HOLDOUT,163,57.7,0.275,1.94,0.113,0.432,6.96,0.98,-0.69,17.3,N/A,+0.402R,+0.251R,0,26,137
VCP_V55_BALANCED_D_MULTI_REG,DEV,160,40.6,0.015,1.03,-0.158,0.195,15.69,1.16,-0.77,16.2,+0.094R,-0.138R,+0.064R,8,40,112
VCP_V55_BALANCED_D_MULTI_REG,VAL,206,45.6,0.066,1.16,-0.082,0.212,18.98,1.03,-0.74,16.0,-0.104R,-0.257R,+0.224R,38,42,126
VCP_V55_BALANCED_D_MULTI_REG,HOLDOUT,164,61.0,0.313,2.15,0.157,0.475,5.71,0.96,-0.69,17.2,+0.267R,+0.542R,+0.279R,24,22,118
VCP_V55_PRECISION_A_BENCH,DEV,65,33.8,-0.136,0.7,-0.366,0.119,14.39,0.96,-0.7,17.0,N/A,-0.046R,-0.166R,0,16,49
VCP_V55_PRECISION_A_BENCH,VAL,87,44.8,0.058,1.13,-0.177,0.32,15.98,1.14,-0.82,15.4,N/A,-0.483R,+0.252R,0,23,64
VCP_V55_PRECISION_A_BENCH,HOLDOUT,76,61.8,0.38,2.29,0.141,0.634,3.0,1.09,-0.77,17.1,N/A,+0.805R,+0.300R,0,12,64
VCP_V55_PRECISION_B_CLV65,DEV,117,38.5,-0.085,0.83,-0.276,0.123,23.26,1.07,-0.81,16.2,N/A,-0.207R,-0.031R,0,36,81
VCP_V55_PRECISION_B_CLV65,VAL,126,46.0,0.054,1.13,-0.131,0.248,14.1,1.03,-0.78,15.7,N/A,-0.289R,+0.171R,0,32,94
VCP_V55_PRECISION_B_CLV65,HOLDOUT,110,60.0,0.355,2.28,0.147,0.563,5.49,1.05,-0.69,17.2,N/A,+0.967R,+0.265R,0,14,96
