symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,hit_sl,hit_t1
ABDL,VCP_CHAMP_G_RUNNER,2026-06-24,HOLDOUT,NEUTRAL,1642.9823452306748,1572.63,1854.04,3.0,0,1
ABLBL,VCP_CHALL_J_EXTREME_DRYUP,2026-05-07,VAL,NEUTRAL,117.58560943603516,111.78,137.91,-1.0,1,0
ABLBL,VCP_CHALL_K_PRECISION_IGNITION,2026-05-07,VAL,NEUTRAL,117.58560943603516,112.42,132.05,-1.0,1,0
ACC,VCP_CHAMP_G_RUNNER,2025-10-15,DEV,BULL,2571.9106811207953,2447.45,2945.29,2.22,0,0
ACMESOLAR,VCP_CHALL_J_EXTREME_DRYUP,2026-03-13,VAL,NEUTRAL,255.61000061035156,237.63,318.54,-1.0,1,0
ACUTAAS,VCP_CHAMP_G_RUNNER,2026-02-26,VAL,BULL,2722.23297072297,2578.32,3153.97,0.68,0,0
ACUTAAS,VCP_CHALL_H_TIGHT_COIL_40,2026-02-26,VAL,BULL,2722.23297072297,2578.32,3153.97,0.68,0,0
ACUTAAS,VCP_CHAMP_G_RUNNER,2026-03-02,VAL,BULL,2762.9126883520307,2578.32,3316.69,0.16,0,0
ADANIENSOL,VCP_CHAMP_G_RUNNER,2026-01-01,VAL,BULL,1046.4000244140625,966.79,1285.23,-1.0,1,0
ADANIENT,VCP_CHAMP_G_RUNNER,2026-07-01,HOLDOUT,BULL,3143.60009765625,2928.78,3788.06,-0.55,0,0
ADANIENT,VCP_CHALL_H_TIGHT_COIL_40,2026-07-01,HOLDOUT,BULL,3143.60009765625,2928.78,3788.06,-0.55,0,0
ADANIGREEN,VCP_CHALL_J_EXTREME_DRYUP,2025-10-29,DEV,NEUTRAL,1112.5999755859375,1062.89,1286.58,-1.0,1,0
ADANIGREEN,VCP_CHALL_K_PRECISION_IGNITION,2025-10-29,DEV,NEUTRAL,1112.5999755859375,1068.42,1236.3,-1.0,1,0
ADANIPORTS,VCP_CHAMP_G_RUNNER,2025-10-16,DEV,BULL,1473.2908935546875,1373.28,1773.32,0.28,0,0
ADANIPORTS,VCP_CHAMP_G_RUNNER,2025-11-12,DEV,BULL,1500.575927734375,1411.92,1766.54,-0.1,0,0
ADANIPOWER,VCP_CHAMP_G_RUNNER,2025-08-18,DEV,BULL,1906.2652745911923,1825.5,2148.56,0.53,0,0
ADANIPOWER,VCP_CHAMP_G_RUNNER,2026-04-21,VAL,BULL,2525.986342999051,2410.46,2872.57,1.28,0,0
ADANIPOWER,VCP_CHALL_H_TIGHT_COIL_40,2026-04-21,VAL,BULL,2525.986342999051,2410.46,2872.57,1.28,0,0
ADFFOODS,VCP_CHALL_K_PRECISION_IGNITION,2026-06-16,HOLDOUT,BULL,301.25,279.78,361.37,0.53,0,0
ADVENZYMES,VCP_CHALL_J_EXTREME_DRYUP,2025-11-12,DEV,BULL,329.4286804199219,311.23,393.12,-1.0,1,0
ADVENZYMES,VCP_CHALL_K_PRECISION_IGNITION,2025-11-12,DEV,BULL,329.4286804199219,313.25,374.73,-1.0,1,0
AEGISVOPAK,VCP_CHAMP_G_RUNNER,2025-10-06,DEV,BULL,1234.9092934304801,1175.0,1414.64,1.86,0,0
AEROFLEX,VCP_CHALL_K_PRECISION_IGNITION,2026-03-16,VAL,BULL,246.67568969726562,228.2,298.41,-1.0,1,0
AETHER,VCP_CHALL_K_PRECISION_IGNITION,2026-02-02,VAL,BULL,1038.0,988.49,1176.63,-1.0,1,0
AFFLE,VCP_CHALL_J_EXTREME_DRYUP,2026-05-11,VAL,NEUTRAL,1637.5,1545.34,1960.06,-1.0,1,0
AFFLE,VCP_CHALL_K_PRECISION_IGNITION,2026-05-11,VAL,NEUTRAL,1637.5,1555.58,1866.88,-1.0,1,0
AHLUCONT,VCP_CHAMP_G_RUNNER,2025-12-01,DEV,BULL,2407.185353372702,2234.19,2926.17,-0.5,0,0
AHLUCONT,VCP_CHALL_H_TIGHT_COIL_40,2025-12-01,DEV,BULL,2407.185353372702,2234.19,2926.17,-0.5,0,0
AJANTPHARM,VCP_CHAMP_G_RUNNER,2025-11-03,DEV,NEUTRAL,2511.2314453125,2343.8,3013.53,0.46,0,0
AJANTPHARM,VCP_CHALL_H_TIGHT_COIL_40,2025-11-03,DEV,NEUTRAL,2511.2314453125,2343.8,3013.53,0.46,0,0
AJANTPHARM,VCP_CHALL_I_ULTRA_PINCH_30,2025-11-03,DEV,NEUTRAL,2511.2314453125,2343.8,3013.53,0.46,0,0
AJANTPHARM,VCP_CHALL_K_PRECISION_IGNITION,2025-11-03,DEV,NEUTRAL,2511.2314453125,2425.9,2750.16,0.91,0,0
AJANTPHARM,VCP_CHAMP_G_RUNNER,2025-12-22,DEV,BULL,2700.800048828125,2533.07,3203.99,0.07,0,0
AKUMS,VCP_CHAMP_G_RUNNER,2025-12-22,DEV,NEUTRAL,441.0644226074219,413.46,523.88,-1.0,1,0
AKUMS,VCP_CHALL_H_TIGHT_COIL_40,2025-12-22,DEV,NEUTRAL,441.0644226074219,413.46,523.88,-1.0,1,0
AKUMS,VCP_CHALL_I_ULTRA_PINCH_30,2025-12-22,DEV,NEUTRAL,441.0644226074219,413.46,523.88,-1.0,1,0
AKUMS,VCP_CHALL_J_EXTREME_DRYUP,2025-12-22,DEV,NEUTRAL,441.0644226074219,425.25,496.41,-1.0,1,0
AKUMS,VCP_CHALL_K_PRECISION_IGNITION,2025-12-22,DEV,NEUTRAL,441.0644226074219,427.01,480.42,-1.0,1,0
AKUMS,VCP_CHAMP_G_RUNNER,2026-07-07,HOLDOUT,BULL,649.8499755859375,601.72,794.24,0.36,0,0
AKUMS,VCP_CHALL_H_TIGHT_COIL_40,2026-07-07,HOLDOUT,BULL,649.8499755859375,601.72,794.24,0.36,0,0
AKUMS,VCP_CHALL_I_ULTRA_PINCH_30,2026-07-07,HOLDOUT,BULL,649.8499755859375,601.72,794.24,0.36,0,0
AKUMS,VCP_CHALL_K_PRECISION_IGNITION,2026-07-07,HOLDOUT,BULL,649.8499755859375,621.43,729.43,0.62,0,0
ALIVUS,VCP_CHAMP_G_RUNNER,2025-11-17,DEV,NEUTRAL,946.75,881.57,1142.29,-1.0,1,0
ALKYLAMINE,VCP_CHAMP_G_RUNNER,2026-04-23,VAL,NEUTRAL,2434.5458353967797,2328.09,2753.91,-1.0,1,0
ALKYLAMINE,VCP_CHALL_H_TIGHT_COIL_40,2026-04-23,VAL,NEUTRAL,2434.5458353967797,2328.09,2753.91,-1.0,1,0
AMBER,VCP_CHAMP_G_RUNNER,2026-07-14,HOLDOUT,BULL,1268.4383687175525,1184.41,1520.52,0.4,0,0
AMBER,VCP_CHALL_H_TIGHT_COIL_40,2026-07-14,HOLDOUT,BULL,1268.4383687175525,1184.41,1520.52,0.4,0,0
ANANTRAJ,VCP_CHAMP_G_RUNNER,2025-12-03,DEV,BULL,886.2403446079705,823.65,1074.01,-0.6,0,0
ANANTRAJ,VCP_CHAMP_G_RUNNER,2026-02-11,VAL,BULL,985.1196293608532,937.35,1128.43,0.22,0,0
ANUP,VCP_CHALL_J_EXTREME_DRYUP,2026-06-17,HOLDOUT,BULL,2118.64990234375,1959.19,2676.76,-0.28,0,0
ANUP,VCP_CHALL_K_PRECISION_IGNITION,2026-06-17,HOLDOUT,BULL,2118.64990234375,1976.91,2515.52,0.34,0,0
APARINDS,VCP_CHALL_K_PRECISION_IGNITION,2025-10-27,DEV,BULL,8991.0,8597.46,10092.91,-1.0,1,0
APCOTEXIND,VCP_CHAMP_G_RUNNER,2026-05-05,VAL,BULL,410.1800231933594,379.04,503.6,3.0,0,1
APLAPOLLO,VCP_CHAMP_G_RUNNER,2025-10-29,DEV,BULL,1804.800048828125,1701.55,2114.55,-1.0,1,0
APLAPOLLO,VCP_CHALL_H_TIGHT_COIL_40,2025-10-29,DEV,BULL,1804.800048828125,1701.55,2114.55,-1.0,1,0
APLLTD,VCP_CHAMP_G_RUNNER,2025-11-04,DEV,NEUTRAL,960.7000122070312,886.05,1184.65,-1.0,1,0
APOLLOHOSP,VCP_CHAMP_G_RUNNER,2025-10-17,DEV,BULL,7891.02392578125,7571.85,8848.55,-1.0,1,0
APOLLOHOSP,VCP_CHAMP_G_RUNNER,2026-01-06,VAL,NEUTRAL,7338.2578125,6893.16,8673.55,-1.0,1,0
APOLLOTYRE,VCP_CHAMP_G_RUNNER,2025-07-30,DEV,BULL,934.4117387767375,877.08,1106.41,-0.3,0,0
APOLLOTYRE,VCP_CHALL_H_TIGHT_COIL_40,2025-07-30,DEV,BULL,934.4117387767375,877.08,1106.41,-0.3,0,0
APOLLOTYRE,VCP_CHAMP_G_RUNNER,2026-03-10,VAL,BULL,1059.4735537836848,1010.23,1207.2,1.01,0,0
ARVIND,VCP_CHALL_K_PRECISION_IGNITION,2025-10-23,DEV,BULL,321.8500061035156,306.71,364.24,-1.0,1,0
ARVIND,VCP_CHALL_J_EXTREME_DRYUP,2026-05-07,VAL,BULL,447.8999938964844,422.0,538.55,1.75,0,0
ARVIND,VCP_CHALL_K_PRECISION_IGNITION,2026-05-07,VAL,BULL,447.8999938964844,424.88,512.36,2.8,0,1
ARVINDFASN,VCP_CHAMP_G_RUNNER,2026-02-09,VAL,BULL,1101.558269342754,1044.37,1273.12,1.6,0,0
ARVINDFASN,VCP_CHAMP_G_RUNNER,2026-03-25,VAL,BULL,1250.9290074991684,1210.22,1373.06,-1.0,1,0
ASHOKA,VCP_CHAMP_G_RUNNER,2025-10-30,DEV,BULL,197.0,187.66,225.02,-1.0,1,0
ASIANPAINT,VCP_CHAMP_G_RUNNER,2026-01-12,VAL,BULL,2871.48681640625,2708.87,3359.34,-1.0,1,0
ASKAUTOLTD,VCP_CHAMP_G_RUNNER,2025-08-15,DEV,BULL,1886.4647203792204,1765.74,2248.64,0.51,0,0
ASKAUTOLTD,VCP_CHAMP_G_RUNNER,2025-10-03,DEV,BULL,2055.3207719359516,1954.43,2357.99,1.04,0,0
ATLANTAELE,VCP_CHAMP_G_RUNNER,2025-12-15,DEV,NEUTRAL,1769.0384545132747,1674.67,2052.14,0.44,0,0
ATLANTAELE,VCP_CHAMP_G_RUNNER,2026-03-17,VAL,BULL,2179.648894065837,2013.72,2677.44,-1.0,1,0
ATULAUTO,VCP_CHALL_J_EXTREME_DRYUP,2026-01-01,VAL,NEUTRAL,473.79998779296875,449.81,557.76,-1.0,1,0
