symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,exit_reason,holding_period_bars
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-07-25,DEV,BULL,737.29,724.33,776.17,3.0,T1_HIT,8
SAMHI,WEALTH_CHAMPION_V1,2025-07-25,DEV,BULL,737.29,724.33,776.17,3.0,T1_HIT,8
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-08-01,DEV,BULL,734.56,721.88,772.61,3.0,T1_HIT,2
SAMHI,WEALTH_CHAMPION_V1,2025-08-01,DEV,BULL,734.56,721.88,772.61,3.0,T1_HIT,2
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-08-08,DEV,BULL,762.72,749.51,802.36,-1.0,SL_HIT,1
SAMHI,WEALTH_CHAMPION_V1,2025-08-08,DEV,BULL,762.72,749.51,802.36,-1.0,SL_HIT,1
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-08-15,DEV,BULL,734.92,723.1,770.39,-1.0,SL_HIT,2
SAMHI,WEALTH_CHAMPION_V1,2025-08-15,DEV,BULL,734.92,723.1,770.39,-1.0,SL_HIT,2
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-08-22,DEV,BULL,734.44,721.82,772.3,-1.0,SL_HIT,4
SAMHI,WEALTH_CHAMPION_V1,2025-08-22,DEV,BULL,734.44,721.82,772.3,-1.0,SL_HIT,4
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-08-29,DEV,BULL,728.59,714.63,770.45,3.0,T1_HIT,10
SAMHI,WEALTH_CHAMPION_V1,2025-08-29,DEV,BULL,728.59,714.63,770.45,3.0,T1_HIT,10
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-09-05,DEV,BULL,752.71,738.44,795.5,-1.0,SL_HIT,1
SAMHI,WEALTH_CHAMPION_V1,2025-09-05,DEV,BULL,752.71,738.44,795.5,-1.0,SL_HIT,1
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-09-12,DEV,BULL,782.78,769.66,822.14,-1.0,SL_HIT,14
SAMHI,WEALTH_CHAMPION_V1,2025-09-12,DEV,BULL,782.78,769.66,822.14,-1.0,SL_HIT,14
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-09-19,DEV,BULL,797.68,785.85,833.17,-1.0,SL_HIT,2
SAMHI,WEALTH_CHAMPION_V1,2025-09-19,DEV,BULL,797.68,785.85,833.17,-1.0,SL_HIT,2
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-09-26,DEV,BULL,791.11,777.71,831.33,-1.0,SL_HIT,2
SAMHI,WEALTH_CHAMPION_V1,2025-09-26,DEV,BULL,791.11,777.71,831.33,-1.0,SL_HIT,2
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-10-03,DEV,BULL,759.25,745.99,799.01,-1.0,SL_HIT,19
SAMHI,WEALTH_CHAMPION_V1,2025-10-03,DEV,BULL,759.25,745.99,799.01,-1.0,SL_HIT,19
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-10-10,DEV,BULL,776.04,762.24,817.45,-1.0,SL_HIT,4
SAMHI,WEALTH_CHAMPION_V1,2025-10-10,DEV,BULL,776.04,762.24,817.45,-1.0,SL_HIT,4
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-10-17,DEV,BULL,765.33,752.84,802.79,-1.0,SL_HIT,7
SAMHI,WEALTH_CHAMPION_V1,2025-10-17,DEV,BULL,765.33,752.84,802.79,-1.0,SL_HIT,7
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-10-24,DEV,BULL,778.31,765.77,815.91,-1.0,SL_HIT,1
SAMHI,WEALTH_CHAMPION_V1,2025-10-24,DEV,BULL,778.31,765.77,815.91,-1.0,SL_HIT,1
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-10-31,DEV,BULL,746.25,733.36,784.91,-1.0,SL_HIT,4
SAMHI,WEALTH_CHAMPION_V1,2025-10-31,DEV,BULL,746.25,733.36,784.91,-1.0,SL_HIT,4
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-11-07,DEV,BULL,732.57,718.2,775.68,3.0,T1_HIT,9
SAMHI,WEALTH_CHAMPION_V1,2025-11-07,DEV,BULL,732.57,718.2,775.68,3.0,T1_HIT,9
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-11-14,DEV,BULL,746.72,733.13,787.47,3.0,T1_HIT,4
SAMHI,WEALTH_CHAMPION_V1,2025-11-14,DEV,BULL,746.72,733.13,787.47,3.0,T1_HIT,4
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-11-21,DEV,BULL,802.98,790.35,840.86,-1.0,SL_HIT,3
SAMHI,WEALTH_CHAMPION_V1,2025-11-21,DEV,BULL,802.98,790.35,840.86,-1.0,SL_HIT,3
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-11-28,DEV,BULL,786.75,774.14,824.61,-1.0,SL_HIT,3
SAMHI,WEALTH_CHAMPION_V1,2025-11-28,DEV,BULL,786.75,774.14,824.61,-1.0,SL_HIT,3
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-12-05,DEV,BULL,792.72,779.71,831.78,-1.0,SL_HIT,14
SAMHI,WEALTH_CHAMPION_V1,2025-12-05,DEV,BULL,792.72,779.71,831.78,-1.0,SL_HIT,14
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-12-12,DEV,BULL,797.79,784.26,838.36,-1.0,SL_HIT,8
SAMHI,WEALTH_CHAMPION_V1,2025-12-12,DEV,BULL,797.79,784.26,838.36,-1.0,SL_HIT,8
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-12-19,DEV,BULL,811.92,797.58,854.96,-1.0,SL_HIT,3
SAMHI,WEALTH_CHAMPION_V1,2025-12-19,DEV,BULL,811.92,797.58,854.96,-1.0,SL_HIT,3
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2025-12-26,DEV,BULL,775.41,760.43,820.34,3.0,T1_HIT,24
SAMHI,WEALTH_CHAMPION_V1,2025-12-26,DEV,BULL,775.41,760.43,820.34,3.0,T1_HIT,24
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2026-01-02,VAL,BULL,776.72,763.13,817.5,-1.0,SL_HIT,11
SAMHI,WEALTH_CHAMPION_V1,2026-01-02,VAL,BULL,776.72,763.13,817.5,-1.0,SL_HIT,11
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2026-01-09,VAL,BULL,783.72,770.68,822.82,-1.0,SL_HIT,5
SAMHI,WEALTH_CHAMPION_V1,2026-01-09,VAL,BULL,783.72,770.68,822.82,-1.0,SL_HIT,5
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2026-01-16,VAL,BULL,768.55,756.15,805.74,3.0,T1_HIT,5
SAMHI,WEALTH_CHAMPION_V1,2026-01-16,VAL,BULL,768.55,756.15,805.74,3.0,T1_HIT,5
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2026-01-23,VAL,BULL,806.82,793.72,846.11,-1.0,SL_HIT,1
SAMHI,WEALTH_CHAMPION_V1,2026-01-23,VAL,BULL,806.82,793.72,846.11,-1.0,SL_HIT,1
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2026-01-30,VAL,BULL,819.91,807.06,858.45,-1.0,SL_HIT,2
SAMHI,WEALTH_CHAMPION_V1,2026-01-30,VAL,BULL,819.91,807.06,858.45,-1.0,SL_HIT,2
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2026-02-06,VAL,BULL,826.77,812.51,869.55,-1.0,SL_HIT,2
SAMHI,WEALTH_CHAMPION_V1,2026-02-06,VAL,BULL,826.77,812.51,869.55,-1.0,SL_HIT,2
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2026-02-13,VAL,BULL,801.19,787.62,841.91,-1.0,SL_HIT,5
SAMHI,WEALTH_CHAMPION_V1,2026-02-13,VAL,BULL,801.19,787.62,841.91,-1.0,SL_HIT,5
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2026-02-20,VAL,BULL,784.59,770.9,825.64,3.0,T1_HIT,10
SAMHI,WEALTH_CHAMPION_V1,2026-02-20,VAL,BULL,784.59,770.9,825.64,3.0,T1_HIT,10
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2026-02-27,VAL,BULL,809.81,795.82,851.75,-1.0,SL_HIT,2
SAMHI,WEALTH_CHAMPION_V1,2026-02-27,VAL,BULL,809.81,795.82,851.75,-1.0,SL_HIT,2
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2026-03-06,VAL,BULL,825.09,810.08,870.12,-1.0,SL_HIT,7
SAMHI,WEALTH_CHAMPION_V1,2026-03-06,VAL,BULL,825.09,810.08,870.12,-1.0,SL_HIT,7
SAMHI,WEALTH_CHALL_A_QUALITY_MOMENTUM,2026-03-13,VAL,BULL,822.38,808.48,864.1,-1.0,SL_HIT,22
SAMHI,WEALTH_CHAMPION_V1,2026-03-13,VAL,BULL,822.38,808.48,864.1,-1.0,SL_HIT,22
